sample	MEgreen	MEmagenta	MEpink	MEred	MEblue	MEturquoise	MEblack	MEbrown	MEyellow	MEgrey
LV3003047101	-0.0330026126141071	-0.0194239198782953	-0.0466096198164225	-0.0324041747081488	-0.059214201606566	-0.00251406048646375	-0.0511458153710439	-0.0586877557303217	-0.0306198101864693	-0.0149566417077959
LV3003047100	0.047044243727968	-0.0298954588238713	-0.0466096198164225	-0.027364930154895	-0.0399009538861008	0.0252775929043958	-0.0427495596622974	-0.0577753657137971	-0.0295447475676738	-0.00409959000083936
LV3003047080	0.00152008711293275	-0.0298954588238713	-0.0466096198164225	-0.0262704304461837	-0.0178822430080896	0.0313744134374449	-0.0478734434062548	-0.0575875074133477	-0.0316266361646392	0.0123218807503357
LV3003047091	0.0218829006067986	-0.0236248764575716	-0.0466096198164225	-0.0324534726634056	-0.0867895204099239	-0.00867115547241307	-0.0517089558745214	-0.0604857878796966	-0.0302361025564962	0.00896763683576353
LV3003047090	-0.0476199187642878	-0.0298954588238713	-0.0434820559495799	-0.0314769748749949	-0.121072376029498	-0.100981694073864	-0.0589574165188726	-0.0615880885401773	-0.0325307865357179	-0.00610739058668435
LV3003047089	-0.000542567481028462	0.0348485863860729	-0.0466096198164225	-0.0315868421574152	-0.121970388640749	-0.103114342693372	-0.0506733143858285	-0.0635546177287285	-0.0281171790327825	-0.00844216114779245
LV3003047088	-0.0368150904572978	-0.0250340054076921	-0.0466096198164225	-0.0322873154094954	-0.123107270312325	-0.13053248746968	-0.0571697689332864	-0.0635546177287285	-0.0314256553077021	-0.0213007445805553
LV3003047087	-0.0484823736114658	-0.0269851031321672	-0.0466096198164225	-0.0322017923686884	-0.0952372158043169	-0.119308746937025	-0.0589574165188726	-0.05866504896998	-0.0325307865357179	-0.0233335586537274
LV3003047064	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.0313695507589899	-0.138264913103629	-0.184897934858267	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0157940709439385
LV3003047079	0.0343797076107061	0.0748866225703187	-0.0466096198164225	-0.021351522874613	-0.0770111212451449	-0.0499041747123712	-0.0358891087014718	-0.0598454893811807	-0.0280121361516589	-0.0116337182898221
LV3003047078	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.0324556082516574	-0.124656257949757	-0.178618760127001	-0.0589574165188726	-0.0617500206697348	-0.0325307865357179	-0.0256029914955019
LV3003047077	-0.057152085634216	-0.0272161221130758	-0.0466096198164225	-0.0285305416038813	-0.101357860831358	-0.13871960255869	-0.0589574165188726	-0.0573675804168527	-0.0309414758468871	-0.0215775396018678
LV3003047074	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.0302080223703308	-0.138504655973883	-0.186877423328314	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0272224203014596
LV3003047073	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.033329110812266	-0.139547194980098	-0.191615814005746	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0284745894226048
LV3003047162	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.0276192637591359	-0.129180566896926	-0.173664303181308	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0174451528886462
LV3003047063	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.0317003396597745	-0.119506209104948	-0.175649040871455	-0.0589574165188726	-0.0625253828290228	-0.0325307865357179	-0.0243185268769268
LV3003047062	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.0241944792625592	-0.110339262955167	-0.13994328361819	-0.0589574165188726	-0.0613044016562392	-0.0325307865357179	-0.0229726362244234
LV3003047061	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.030991429719945	-0.113584422511547	-0.127046835672665	-0.0589574165188726	-0.0618089412394922	-0.0325307865357179	-0.0225505932687688
LV3003047060	-0.0512745457148629	-0.0298954588238713	-0.0466096198164225	-0.032326264744778	-0.0992016092985088	-0.0940916144886217	-0.0589574165188726	-0.0614493348961333	-0.031542362337136	-0.0195458340101482
LV3003047059	-0.0557541656733237	-0.0298954588238713	-0.0466096198164225	-0.0323515283962451	-0.101060453586868	-0.102330841255939	-0.0567221085637236	-0.061578943227093	-0.0325307865357179	-0.00741739114824545
LV7001898100	0.139944200473326	0.159215830156525	-0.0396358104238356	-0.0277526834691398	0.00875516634172944	0.058971832897253	0.0611020508930957	-0.0197424284352059	-0.0150807728604661	-0.0291314707395735
LV7001898088	0.100456359484386	0.105856936069306	-0.00686180208101946	-0.0243264152941973	0.0757724439482803	0.0758303710326707	0.0739767188664059	0.104807805154712	0.0228016724319625	-0.023656871221937
LV7001898076	0.0639318143957766	0.0163924500663827	-0.00630827803069948	0.235485925847038	0.120939719198704	0.0934129035457198	0.193820256195226	0.193270877142384	0.284082648724241	-0.030570747303846
LV7001898064	-0.029628599776659	-0.0298954588238713	-0.0438592172023118	0.203477453714043	0.0553735249286584	0.0519648448408291	0.0562916831119501	0.0320061646437736	0.0197457440761833	-0.0168877215240428
LV3003061546	-0.0505668543831095	-0.0298954588238713	-0.0466096198164225	0.264686299417342	-0.0260985704902028	-0.00184460824503456	-0.0475954169365341	-0.0386568065412323	-0.00530623088004992	-0.00887521963534785
LV3003061533	-0.0449365718045126	-0.0298954588238713	-0.0466096198164225	0.285251243944297	0.0210648112061669	0.0276260985816483	-0.0143738835051956	-0.0131267050768218	-0.0188590491182139	-0.0128193955328417
LV3003061518	0.0261447818532041	-0.0105834914566346	-0.00969070289520552	0.0382625058586867	0.0951098986786239	0.074642442538694	0.156589732720013	0.152283826753555	0.180992007525408	-0.0298637676038532
LV3003061506	-0.0510047648770479	-0.0298954588238713	-0.0412615750106643	0.131157372219563	0.00934339424208803	0.0226614574695396	-0.0316741302773005	-0.02396717087039	-0.0241619571535799	-0.0259953377812515
LV3003061492	0.0242834347054007	0.000590206139389755	0.0143827324823883	0.151861920189403	0.124750174430506	0.0962554673702233	0.195915421438161	0.204641736799317	0.309077573632187	-0.0378146382362986
LV3003061477	0.0292105916356542	0.0159525382205036	0.00116484158749615	0.0344643092368615	0.117083463743496	0.0871969131153508	0.193607840190031	0.19279408809511	0.295976206937833	-0.040016858654229
