core	mg	al	si	p	s	cl	ar	k	ca	ti	v	cr	mn	fe	ni	cu	zn	ge	as	se	br	rb	sr	y	zr	nb	mo	sn	sb	ba	la	ce	nd	sm	eu	tm	yb	hg	pb	at	u	depth_in_core_cm	ga	ru	bi	ag	cd	te	y_bp
GeoB25202	77	1268	12138	97	1125	21884	NA	6401	37599	12442	NA	160	1467	83424	2447	283	533	NA	NA	NA	1466	1302	7511	NA	4802	603	-23	992	NA	1922	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	71	79	18198	26	149729	136	885	21956
GeoB25202	81	1026	10151	134	1076	22202	NA	5661	35163	13055	NA	201	1583	85681	2378	266	510	NA	NA	NA	1253	2175	7069	NA	5333	896	348	1221	NA	1924	NA	NA	NA	NA	NA	NA	NA	NA	73	NA	NA	72	98	18976	15	150922	55	751	22425
GeoB25202	94	1033	10234	155	1249	23432	NA	5953	35157	12852	NA	121	1490	86174	2385	223	565	NA	NA	NA	1304	2585	6718	NA	5467	550	-11	1174	NA	2534	NA	NA	NA	NA	NA	NA	NA	NA	68	NA	NA	73	161	19126	41	151035	39	797	22951
GeoB25202	88	1817	17739	178	1092	20554	NA	13153	46798	8054	NA	-40	1540	61714	2627	255	499	NA	NA	NA	1490	2185	9100	NA	4534	458	146	1764	NA	1844	NA	NA	NA	NA	NA	NA	NA	NA	85	NA	NA	76	127	21033	26	163629	91	893	24290
GeoB25202	50	1462	14932	95	1158	22241	NA	12599	33946	7774	NA	-57	1361	60675	2511	227	486	NA	NA	NA	1574	2270	8050	NA	4777	643	165	1010	NA	2247	NA	NA	NA	NA	NA	NA	NA	NA	66	NA	NA	77	130	21077	7	163816	37	850	24688
GeoB25202	86	751	8167	93	1426	28142	NA	9056	24944	6182	NA	0	1165	52573	2519	201	425	NA	NA	NA	1686	2146	7991	NA	4497	724	235	1125	NA	2228	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	NA	78	93	20202	36	162950	97	708	25126
GeoB25202	76	1344	13177	120	1233	22802	NA	12591	30185	6903	NA	-40	1161	57603	2419	229	561	NA	NA	NA	1314	2725	7366	NA	5055	815	229	1008	NA	2722	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	79	117	19305	21	159429	135	917	25605
GeoB25202	53	1422	14757	101	1098	22287	NA	13491	30768	6637	NA	-98	1291	57424	2454	221	508	NA	NA	NA	1410	2895	7471	NA	5439	939	445	1265	NA	2870	NA	NA	NA	NA	NA	NA	NA	NA	101	NA	NA	80	99	20274	15	157194	51	665	26074
GeoB25202	88	1634	15626	144	1165	22069	NA	13888	32232	7069	NA	-68	1048	58493	2454	230	563	NA	NA	NA	1375	2782	7533	NA	5474	594	129	1273	NA	2669	NA	NA	NA	NA	NA	NA	NA	NA	73	NA	NA	81	164	20069	27	155147	69	1047	26418
GeoB25202	122	1720	17000	145	1110	21112	NA	13987	36934	6859	NA	-16	1166	56723	2450	179	428	NA	NA	NA	1255	2757	8842	NA	5591	771	346	2089	NA	1934	NA	NA	NA	NA	NA	NA	NA	NA	106	NA	NA	82	92	18189	24	153703	123	898	26753
GeoB25202	86	1566	16154	106	1245	22516	NA	13398	36697	6698	NA	85	1139	54058	2514	168	435	NA	NA	NA	1205	2477	8810	NA	5731	705	360	847	NA	2538	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	83	93	18361	25	153127	82	835	27123
