sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003046939	grey	0.00352318084631316	7	4	4	2	0.571428571428571	0.571428571428571	0.285714285714286	0.520253873436625	0.520253873436625	0.382116856449505	ko	1	IG-D	ST8	2.42
LV3003046939	leiden5	0.00432817867268749	2	2	2	2	1	1	1	1	1	1	ko	1	IG-D	ST8	2.42
LV3003046949	leiden1	0.064534801475789	265	236	223	200	0.890566037735849	0.841509433962264	0.754716981132076	0.906785786224629	0.858419138121023	0.767396945389054	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	leiden2	0.194733038940185	218	207	200	172	0.94954128440367	0.91743119266055	0.788990825688074	0.966045855960922	0.946608708627345	0.830174306054573	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	leiden3	0.0313815449905374	110	106	100	83	0.963636363636364	0.909090909090909	0.754545454545455	0.978265107212476	0.882017543859649	0.756700779727096	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	leiden4	0.688840205692875	268	265	253	220	0.988805970149254	0.944029850746269	0.82089552238806	0.999258476457738	0.971230440651475	0.838431122675524	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	grey	0.00224809313528703	14	13	13	13	0.928571428571429	0.928571428571429	0.928571428571429	0.963605442176871	0.963605442176871	0.963605442176871	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	leiden5	0.0164454894764008	32	31	26	29	0.96875	0.8125	0.90625	0.986748500488213	0.913656018970568	0.969777281815223	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	leiden6	0.00181682628892585	9	8	8	7	0.888888888888889	0.888888888888889	0.777777777777778	0.794191919191919	0.794191919191919	0.72979797979798	ko	3	IG-A	ST8	22.3686666666667
LV3003046950	leiden1	0.057981312567371	186	163	157	138	0.876344086021505	0.844086021505376	0.741935483870968	0.859066277615673	0.832159233013756	0.736327636515215	ko	3	IG-A	ST8	18.099
LV3003046950	leiden2	0.244606698666357	225	211	204	171	0.937777777777778	0.906666666666667	0.76	0.966173288408904	0.944653037833351	0.820338514134398	ko	3	IG-A	ST8	18.099
LV3003046950	leiden4	0.631955219768268	253	250	238	203	0.988142292490119	0.940711462450593	0.802371541501976	0.998141306592625	0.937326464581565	0.795518866120532	ko	3	IG-A	ST8	18.099
LV3003046950	leiden6	0.0102875138367242	22	21	21	20	0.954545454545455	0.954545454545455	0.909090909090909	0.899565370609656	0.899565370609656	0.863385410548573	ko	3	IG-A	ST8	18.099
LV3003046950	leiden3	0.0302897373801824	95	89	83	69	0.936842105263158	0.873684210526316	0.726315789473684	0.933971673648514	0.876560941551965	0.726191901057251	ko	3	IG-A	ST8	18.099
LV3003046950	leiden5	0.0211224544052746	36	34	25	31	0.944444444444444	0.694444444444445	0.861111111111111	0.986326448881515	0.786028949024544	0.961725499170433	ko	3	IG-A	ST8	18.099
LV3003046950	grey	0.00375706337582235	18	17	17	16	0.944444444444444	0.944444444444444	0.888888888888889	0.957542618205211	0.957542618205211	0.904792537793503	ko	3	IG-A	ST8	18.099
LV3003046952	leiden3	0.303315248057641	194	172	160	125	0.88659793814433	0.824742268041237	0.644329896907217	0.932112969513801	0.861621504046891	0.61034790672116	ko	1	IG-D	ST8	10.26
LV3003046952	leiden4	0.563267502929815	208	206	197	169	0.990384615384615	0.947115384615385	0.8125	0.992710246957723	0.958862983466285	0.767002231619959	ko	1	IG-D	ST8	10.26
LV3003046952	leiden2	0.0705169495203785	107	103	99	82	0.962616822429906	0.925233644859813	0.766355140186916	0.902575339767579	0.880958243056923	0.76733307071105	ko	1	IG-D	ST8	10.26
LV3003046952	leiden6	0.00727114892139416	11	11	11	11	1	1	1	1	1	1	ko	1	IG-D	ST8	10.26
LV3003046952	leiden1	0.0275897391379834	55	51	50	46	0.927272727272727	0.909090909090909	0.836363636363636	0.95934805864955	0.950286325593103	0.848341828708074	ko	1	IG-D	ST8	10.26
LV3003046952	grey	0.0278084986327532	15	12	12	8	0.8	0.8	0.533333333333333	0.910719860148592	0.910719860148592	0.280264718736343	ko	1	IG-D	ST8	10.26
LV3003046952	leiden5	0.000230912800034724	1	1	1	1	1	1	1	1	1	1	ko	1	IG-D	ST8	10.26
LV3003046953	leiden1	0.0064390028429954	51	46	44	33	0.901960784313725	0.862745098039216	0.647058823529412	0.91671959912485	0.898510833509775	0.70386054061684	ko	1	IG-D	ST8	1.5215
LV3003046953	leiden3	0.0649280889399481	128	120	112	83	0.9375	0.875	0.6484375	0.977574646191749	0.916667833195683	0.625131234514327	ko	1	IG-D	ST8	1.5215
LV3003046953	leiden4	0.874965462332129	220	218	206	177	0.990909090909091	0.936363636363636	0.804545454545455	0.998980968734126	0.828922205636562	0.906931594020437	ko	1	IG-D	ST8	1.5215
LV3003046953	leiden2	0.0373811177116432	113	110	104	84	0.973451327433628	0.920353982300885	0.743362831858407	0.98608021201843	0.900713617078182	0.733591062158844	ko	1	IG-D	ST8	1.5215
LV3003046953	leiden5	0.0145203626818681	4	4	4	4	1	1	1	1	1	1	ko	1	IG-D	ST8	1.5215
LV3003046953	grey	0.000730289898277479	2	2	2	1	1	1	0.5	1	1	0.924704418170504	ko	1	IG-D	ST8	1.5215
LV3003046953	leiden6	0.001035675593139	1	1	1	1	1	1	1	1	1	1	ko	1	IG-D	ST8	1.5215
LV3003046965	leiden1	0.0665505382532902	334	285	266	241	0.853293413173653	0.796407185628743	0.721556886227545	0.852324632368734	0.801328770457767	0.68325720585919	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	leiden2	0.214692880686631	239	225	218	187	0.941422594142259	0.912133891213389	0.782426778242678	0.965588333854857	0.925415498787181	0.784093758807642	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	leiden3	0.0362607476751289	128	121	112	93	0.9453125	0.875	0.7265625	0.965744694829512	0.904198147296498	0.759647854937258	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	leiden4	0.652748727145557	269	264	252	219	0.981412639405205	0.936802973977695	0.814126394052045	0.998264241178506	0.960201634153427	0.790952740352962	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	leiden5	0.0232858750558646	63	61	45	55	0.968253968253968	0.714285714285714	0.873015873015873	0.985124710985616	0.658359421357396	0.955026292636016	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	leiden6	0.00341000159136584	20	19	19	18	0.95	0.95	0.9	0.813609054072936	0.813609054072936	0.774626240044712	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	grey	0.00305122959216248	29	18	18	18	0.620689655172414	0.620689655172414	0.620689655172414	0.710649594003748	0.710649594003748	0.710649594003748	ko	3	IG-A	ST8	21.8323333333333
LV3003046966	leiden1	0.0731596843201466	159	144	138	126	0.905660377358491	0.867924528301887	0.792452830188679	0.942736112778473	0.924471350906378	0.850554802860622	ko	3	IG-A	ST8	17.373
LV3003046966	leiden4	0.595533305730167	255	251	240	205	0.984313725490196	0.941176470588235	0.803921568627451	0.996816574878962	0.948966176898151	0.839063217640094	ko	3	IG-A	ST8	17.373
LV3003046966	leiden2	0.23655412102734	211	200	194	162	0.947867298578199	0.919431279620853	0.767772511848341	0.962256545169092	0.947071116391565	0.800589807782068	ko	3	IG-A	ST8	17.373
LV3003046966	grey	0.00552816150361978	17	14	14	13	0.823529411764706	0.823529411764706	0.764705882352941	0.91625056740808	0.91625056740808	0.890149795733091	ko	3	IG-A	ST8	17.373
LV3003046966	leiden6	0.0251000614797807	32	32	32	30	1	1	0.9375	1	1	0.968857785553612	ko	3	IG-A	ST8	17.373
LV3003046966	leiden3	0.0239620581924945	71	71	66	54	1	0.929577464788732	0.76056338028169	1	0.955911613781548	0.779400984396272	ko	3	IG-A	ST8	17.373
LV3003046966	leiden5	0.0401626077464524	42	42	29	39	1	0.690476190476191	0.928571428571429	1	0.859637613245861	0.983848797250859	ko	3	IG-A	ST8	17.373
LV3003046978	leiden1	0.0567054923903407	258	231	214	193	0.895348837209302	0.829457364341085	0.748062015503876	0.910176898032953	0.85931097659103	0.76219655612087	ko	3	IG-A	ST8	21.296
LV3003046978	leiden2	0.174142952509914	225	212	203	173	0.942222222222222	0.902222222222222	0.768888888888889	0.966696092776898	0.924669157808601	0.78094881066112	ko	3	IG-A	ST8	21.296
LV3003046978	leiden3	0.0410158567035269	111	108	103	87	0.972972972972973	0.927927927927928	0.783783783783784	0.991168920075304	0.967876091049119	0.876912544925552	ko	3	IG-A	ST8	21.296
