sample	MEblack	MEmagenta	MEred	MEgreen	MEblue	MEbrown	MEyellow	MEpurple	MEpink	MEturquoise	MEgrey
LV3003061506	-0.0515266557350564	-0.0345562337855558	-0.0591784464744482	0.132489055641076	0.00954848085629451	-0.0335567901914521	-0.0342869839745136	0.0576245295003343	-0.0543255476570072	-0.0280454180022075	-0.031442724143213
LV3003061492	0.00408779659983579	-0.0205859727715713	-0.00150907820178439	0.146244198985316	0.129520035960406	0.295315192196134	0.20807430089808	0.0945945050888044	0.0857272517898912	0.161466804771189	-0.0385797963673062
LV3003061477	-0.0237155135876575	-0.0103485597179965	0.00378055865201011	0.0294133534481838	0.121910959809629	0.291643085613787	0.196605487785015	0.0782373416739368	0.0915549522394821	0.151960186982241	-0.0450479273634854
LV3003061572	-0.0307206496096962	-0.0207098396252122	-0.030556881955346	0.0579080017693778	0.125407636550745	0.26255635257163	0.191684423836641	0.0683653813321232	0.0669620798098161	0.144395444893218	-0.0321276218333624
LV3003061559	0.167650589454364	-0.0345562337855558	-0.0245198913453845	-0.0112044240855566	0.0637471393632229	0.000622439525081711	0.0723286239475908	0.0485702953340826	0.039239836938469	0.0529562183602521	-0.0246761223318217
LV3003061545	0.281065804689963	-0.0345562337855558	-0.0613015997648201	-0.01102359267177	0.0777456674930883	0.024835713767098	0.144421860699294	0.0558248545840784	0.0258099157433951	0.0723635497097801	-0.0270496964870946
LV3003061531	0.275786474918681	-0.0255105201788971	0.00406310276216004	-0.00538018598730478	0.0828096455081696	0.0315692849651312	0.144973712978489	0.0625255948117428	0.0600193965304422	0.0889154159409424	-0.0165815729370761
LV3003061517	0.178840664690313	-0.00709048693775227	0.0773841292395341	-0.0213439156051971	0.0787076171589988	0.0402986442032853	0.130258479665932	0.0410877566481558	0.0793173362605726	0.084865200770951	-0.0201800349441575
LV3003061505	0.0377038797797547	-0.0345562337855558	-0.0612700195598839	-0.0317203474075498	0.0426074440360868	-0.037003174163584	0.00240316846961492	-0.00231840768762986	0.00174030751707744	0.00198226335463096	-0.0329417027821766
LV3003061488	0.13971604629775	-0.0258596786459067	-0.0263741686079925	-0.0162514295211378	0.0792659481700983	0.00594027799937519	0.143936468887737	0.0323399137273908	0.060855492143537	0.0785526031758251	-0.0285744152370715
LV3003061476	0.0509263692150667	-0.0239465339647568	0.0129432266716602	-0.0325204673656734	0.0413215191085663	-0.0319066133059016	0.0343090463046714	0.0279519353805053	0.0510144840074707	0.0255893511775493	-0.0251366995133348
LV3003061571	0.0410792156449434	-0.0345562337855558	-0.0594058442046377	-0.0140347414625595	0.0408271231102201	-0.031884999226811	0.0192510769529799	0.0397945660797155	-0.0567519452600523	-0.00529721487708533	-0.0116223445555636
LV3003061558	0.0777174149464909	-0.0345562337855558	-0.022162762964471	-0.0318633416391449	0.057227497721438	-0.0268752973000378	0.0448444495927	0.0257471814344482	0.0492528743957478	0.0254577330671706	-0.0284886658965886
LV3003061544	-0.00967094905220962	-0.0314355461613387	-0.0236561113126626	-0.034883102872007	0.0428479827957763	-0.0347337286918921	-0.000622655532912333	-0.00672239476660767	0.0509489630714197	0.010118221275814	-0.0303773568219964
LV3003061530	-0.0339824668691349	-0.0345562337855558	-0.0355895703174792	-0.0380076982203977	-0.000491674259734901	-0.0414716091263822	-0.062133682010811	0.0039700525586935	0.00737918038518231	-0.0394768379673503	-0.0254115099394145
LV3003061516	-0.0313018314772365	-0.031117283637831	-0.0480499947420433	-0.035961323086307	0.016964429450573	-0.0409487663762172	-0.0262007953137014	-0.00547213997889452	0.0181440624865827	-0.0214770763880503	-0.0336085596159469
