sample	rarefaction_depth	rarefied_observed
LV3003047067	10000	566.978562201929
LV3003047068	10000	435.125727809222
LV3003047069	10000	449.856464914396
LV3003047070	10000	488.84561348446
LV3003047071	10000	603.208174383837
LV3003047073	10000	
LV3003047074	10000	
LV3003047077	10000	116.99999999991
LV3003047078	10000	44
LV3003047079	10000	345.90788084363
LV3003047080	10000	458.230667199347
LV3003047081	10000	539.122162430266
LV3003047082	10000	374.759096915759
LV3003047083	10000	441.855700025758
LV3003047084	10000	638.440217999405
LV3003047085	10000	597.419085501596
LV3003047087	10000	141.999999999885
LV3003047088	10000	111.999999999873
LV3003047089	10000	205.987953642858
LV3003047090	10000	160.998940102077
LV3003047091	10000	356.495960852666
LV3003047093	10000	436.922947766808
LV3003047094	10000	450.384028598044
LV3003047095	10000	420.703904381394
LV3003047096	10000	551.31371361744
LV3003047097	10000	518.95537794611
LV3003047098	10000	423.324311950675
LV3003047099	10000	613.464370431604
LV3003047100	10000	445.768283162509
LV3003047101	10000	339.730767951599
LV3003047104	10000	137.999936535452
LV3003047105	10000	113.99999994238
LV3003047106	10000	274.916524239491
LV3003047107	10000	441.494692887661
LV3003047110	10000	344.886024974332
LV3003047112	10000	494.117862161591
LV3003047113	10000	626.538388691281
LV3003047114	10000	418.608597156027
LV3003047117	10000	498.338401737041
LV3003047118	10000	767.415650134738
LV3003047122	10000	125.999999999969
LV3003047123	10000	82
LV3003047124	10000	144.999999447447
LV3003047125	10000	231.998864050449
LV3003047126	10000	355.947222914948
LV3003047127	10000	239.999773411929
LV3003047128	10000	557.230810787679
LV3003047129	10000	545.01312949818
LV3003047130	10000	461.085774194649
LV3003047131	10000	542.964398259575
LV3003047132	10000	887.926724096982
LV3003047133	10000	418.084427502929
LV3003047134	10000	428.084161535436
LV3003047136	10000	466.620629668982
LV3003047137	10000	338.794864103638
LV3003047138	10000	412.370209796809
LV3003047139	10000	349.856352563863
LV3003047140	10000	108
LV3003047141	10000	
LV3003047142	10000	433.720958579833
LV3003047143	10000	535.349717275781
LV3003047144	10000	716.976281736019
LV3003047145	10000	679.073667315431
LV3003047146	10000	582.421803178938
LV3003047147	10000	426.557044059159
LV3003047148	10000	398.530336661198
LV3003047149	10000	359.922395511176
LV3003047150	10000	504.987405007283
LV3003047152	10000	477.518393000723
LV3003047153	10000	535.44205881535
LV3003047154	10000	419.537259922854
LV3003047155	10000	414.685602802854
LV3003047156	10000	650.939964471391
LV3003047158	10000	371.801474606812
LV3003047159	10000	361.923753339604
LV3003047160	10000	
LV3003047161	10000	
LV3003047162	10000	53
LV3003047164	10000	380.84354390339
LV3003047166	10000	533.440714655843
LV3003047167	10000	384.823315283383
LV3003047168	10000	611.63182602087
LV3003047169	10000	655.308509480144
LV3003061473	10000	163.997788059609
LV3003061474	10000	630.708499211366
LV3003061475	10000	468.254500027833
LV3003061476	10000	659.725446554976
LV3003061477	10000	811.900536911721
LV3003061485	10000	807.678042757945
LV3003061486	10000	311.821122161318
LV3003061488	10000	743.097015143734
LV3003061489	10000	293.757491956317
LV3003061492	10000	883.468318767977
LV3003061500	10000	490.668112622103
LV3003061501	10000	551.247760561088
LV3003061503	10000	694.004914408108
LV3003061504	10000	445.350352413905
LV3003061505	10000	519.877618584259
LV3003061506	10000	457.820341025767
LV3003061513	10000	346.72596649673
LV3003061514	10000	836.601747804177
LV3003061515	10000	855.073631008348
LV3003061516	10000	456.848345079745
LV3003061517	10000	783.39714966626
LV3003061518	10000	784.031066306703
LV3003061527	10000	49
LV3003061528	10000	761.380324900149
LV3003061529	10000	788.128652193242
LV3003061530	10000	400.974696573429
LV3003061531	10000	840.199417263885
LV3003061533	10000	546.77381436567
LV3003061539	10000	372.911069515429
LV3003061541	10000	572.079944828314
LV3003061543	10000	746.979540519733
LV3003061544	10000	559.289152150336
LV3003061545	10000	738.38163837179
LV3003061546	10000	441.094696550365
LV3003061555	10000	98.9999999999999
LV3003061556	10000	526.656952305042
LV3003061557	10000	522.694133426223
LV3003061558	10000	614.961756871295
LV3003061559	10000	688.459079388808
LV3003061568	10000	53
LV3003061569	10000	673.02075596477
LV3003061570	10000	583.405111174301
LV3003061571	10000	532.902900259238
