label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst
LV7001897560	ST5	NA	266.5	20743	81.04	1.6644727699585613	mgca_jonkers_2013	4.93056	143765476	57.3	74167999	58.6	7.515089477409546
LV7001897548	ST5	NA	271.5	20935.5	41.76	1.5034308984404938	mgca_jonkers_2013	4.91516	156925635	65.1	68266744	66.2	7.5248174310544735
LV3003061559	ST13	NA	60	21069	362.3	NA	NA	4.90793	96182866	67.5	57351399	75.1	7.531563830075761
LV7001897536	ST5	NA	276.5	21133.5	36.92	1.6822706708717332	mgca_jonkers_2013	4.905995	144998442	64	72873836	66.2	7.5348233262321145
LV3003046978	ST8	NA	124.5	21296	113.8	3.605511617494412	mgca_jonkers_2013	4.90112	72686612	55.3	49044465	56.1	7.543035235153157
LV7001897512	ST5	NA	281.5	21331	29.44	2.654167612518023	mgca_jonkers_2013	4.90007	85471801	66.1	44694544	67.9	7.54480395399769
LV7001897500	ST5	NA	286.5	21526.5	23.94	3.395108211955217	mgca_jonkers_2013	4.894205	112315185	67.6	45664572	71.1	7.554683512115006
LV7001897488	ST5	NA	291.5	21721.5	23.71	3.5971506795711874	mgca_jonkers_2013	4.888355	100607799	63.6	23740571	68.1	7.564537802820258
LV3003046965	ST8	NA	129.5	21832.333333333332	73.24	3.131126047396666	mgca_jonkers_2013	4.8850299999999995	123105827	60	61272397	60.7	7.570138745827943
LV7001897476	ST5	NA	296.5	21918	4.39	3.79706593992115	mgca_jonkers_2013	4.88246	30362275	56.2	3840780	59.2	7.574467895761703
LV7001897504	ST5	NA	306.5	22302.5	30.5	3.988681487059752	mgca_jonkers_2013	4.87395	60859458	59.6	18147650	62.3	7.593898535639495
LV3003046949	ST8	NA	134.5	22368.666666666668	140.56	2.65674047729892	mgca_jonkers_2013	4.872626666666667	61245129	56.4	37969700	57.8	7.59724225650273
LV7001897492	ST5	NA	311.5	22484.5	23.74	3.522673242722518	mgca_jonkers_2013	4.87031	47816080	61.8	14092262	66.4	7.603095873631063
LV7001897480	ST5	NA	316.5	22680.5	69.36	3.1542711250459705	mgca_jonkers_2013	4.86639	136061540	61.2	61643248	62.1	7.613000699160445
LV7001897144	ST5	NA	321.5	22872.5	46.09	3.0136166362443606	mgca_jonkers_2013	4.862550000000001	21152632	62.8	10575303	66	7.622703385393308
LV3003046936	ST8	NA	139.5	22905	189.42	2.182354907201174	mgca_jonkers_2013	4.8619	152063717	62.8	56886217	63.9	7.624345767177516
LV7001897565	ST5	NA	326.5	23058	25.49	2.8936528193567206	mgca_jonkers_2013	4.8571	78415068	65.1	36327159	68	7.632077595269329
LV3003061545	ST13	NA	65	23172	284.94	NA	NA	4.8514	110691172	77.3	54077025	90.3	7.6378385652200915
LV7001897553	ST5	NA	331.5	23245.5	22.74	2.821967236935011	mgca_jonkers_2013	4.8477250000000005	98977951	59.6	37141051	61	7.64155287479361
LV7001897541	ST5	NA	336.5	23435	8.52	2.8354893506068097	mgca_jonkers_2013	4.83825	57759373	63.5	11105990	70.2	7.651129223966149
LV3003047145	ST8	NA	144.5	23446	279.12	3.07806968232358	mgca_jonkers_2013	4.8377	33473724	69.7	25529607	71.1	7.6516851070315735
LV7001897529	ST5	NA	341.5	23627	12.81	3.0478294218301296	mgca_jonkers_2013	4.82865	65263939	60.5	23525273	63.2	7.660831910199012
LV7001897551	ST5	NA	346.5	23817.5	36.65	3.0889032697905017	mgca_jonkers_2013	4.819125	89133831	59.7	30480081	63.6	7.670458794195682
LV3003047132	ST8	NA	149.5	23987	252.49	3.973784457445986	mgca_jonkers_2013	4.81065	102185528	63	55519062	64.2	7.679024446885631
LV7001897539	ST5	NA	351.5	24009	27.76	2.7303559301373292	mgca_jonkers_2013	4.81009	44982628	62.2	15317695	65.2	7.68013621301648
LV7001897527	ST5	NA	356.5	24205.5	19.19	2.523234972909064	mgca_jonkers_2013	4.812055	55946937	58.2	24762765	60.4	7.6900663059579255
LV7001897503	ST5	NA	361.5	24392.5	11.67	2.669442241338917	mgca_jonkers_2013	4.813925	1731798	61	1452079	62.4	7.699516318070142
LV3003047118	ST8	NA	154.5	24528	236.52	4.869499232568392	mgca_jonkers_2013	4.81528	91417437	63.5	42464543	65.7	7.706363786739688
LV7001897491	ST5	NA	366.5	24582	15.58	2.771787329239814	mgca_jonkers_2013	4.81582	44296580	60.4	10408983	65.3	7.709092667242681
LV7001897479	ST5	NA	371.5	24781.5	45.23	2.771787329239814	mgca_jonkers_2013	4.817815	15354534	62.9	10868023	65.4	7.719174364656515
LV7001897467	ST5	NA	376.5	24972	23.47	2.6598884911770995	mgca_jonkers_2013	4.81972	64915793	57.6	15627635	62.3	7.728801248653184
LV3003047099	ST8	NA	159.5	25058	89.55	4.237505425031403	mgca_jonkers_2013	4.8113	28885458	59.3	17167551	60.8	7.733147243528321
LV7001897564	ST5	NA	381.5	25156	33.98	2.2868923643013845	mgca_jonkers_2013	4.796600000000001	61360637	54.2	27540724	56.7	7.738099656293012
LV7001897552	ST5	NA	386.5	25345.5	30.11	2.002484672197151	mgca_jonkers_2013	4.768175	23396794	61	13401849	65.8	7.747676005465551
LV7001897540	ST5	NA	391.5	25538.5	9.79	1.924783327893041	mgca_jonkers_2013	4.739225	42110674	58.9	7661431	65.6	7.757429226522544
LV3003047086	ST8	NA	164.5	25588	357.79	3.605511617494412	mgca_jonkers_2013	4.7318	NA	NA	NA	NA	7.759930700316954
LV7001897528	ST5	NA	396.5	25727.5	17.72	1.8227700994734035	mgca_jonkers_2013	4.710875	25392213	60.1	10963221	62.7	7.766980308283019
LV7001897465	ST5	NA	406.5	26105.5	42.81	1.7994440209627995	mgca_jonkers_2013	4.67844	26875098	63.7	13732578	66.5	7.786082471803968
LV3003047071	ST8	NA	169.5	26141	140.62	4.127205393825051	mgca_jonkers_2013	4.68128	68001919	56.3	20785023	59.2	7.787876458060565
LV7001897562	ST5	NA	411.5	26293	34.45	2.6212225213884786	mgca_jonkers_2013	4.69344	88553233	62.3	35337869	65	7.795557751328249
LV7001897550	ST5	NA	416.5	26481	0.3	3.17550283467502	mgca_jonkers_2013	4.70848	442	61.4	425	62.4	7.805058298264594
LV3003047169	ST8	NA	174.5	26670.333333333332	195.44	4.127631582670341	mgca_jonkers_2013	4.723626666666666	78793387	55.3	25386659	57.5	7.814626224966445
LV7001897538	ST5	NA	421.5	26675	19.67	3.1056207113035756	mgca_jonkers_2013	4.724	63234104	63	16207747	66.4	7.814862054145716
LV7001897526	ST5	NA	426.5	26945.5	19.59	3.0567032249435644	mgca_jonkers_2013	4.74564	45214713	65.4	17916772	69.2	7.828531724072745
LV3003047156	ST8	NA	179.5	27199.666666666668	175.93	4.128057771515632	mgca_jonkers_2013	4.75	57674275	59.1	20077855	61	7.841375991872325
LV7001897502	ST5	NA	431.5	27373	13.94	3.0567032249435644	mgca_jonkers_2013	4.75	30685837	63.6	11541091	66.8	7.850135361388104
LV7008886703	GeoB25202_R1	NA	84.5	27685.5	41.04	7.865927493928572	uk37_alkenone	4.75	139576170	55.3	32441759	57.3	7.865927493928572
LV7008886715	GeoB25202_R2	NA	84.5	27685.5	77.28	7.865927493928572	uk37_alkenone	4.75	163412376	53.6	44513031	55.5	7.865927493928572
LV7001897490	ST5	NA	435.5	27704	11.63	3.1496864770288555	mgca_jonkers_2013	4.75	15705833	65	3727333	76.7	7.868860626843631
LV3003047144	ST8	NA	184.5	27729	145.85	4.1284839603609225	mgca_jonkers_2013	4.75	92057786	60.2	26538281	62.3	7.872824319972088
LV7001897478	ST5	NA	440.5	27863	26.76	3.459630650646493	mgca_jonkers_2013	4.75	74155726	65.6	24188354	70.4	7.894069715140622
LV7001897466	ST5	NA	445.5	28010.5	38.49	3.711474760141571	mgca_jonkers_2013	4.74979	45266682	62.4	17327060	66.9	7.917455504598522
LV7001897563	ST5	NA	450.5	28164	22.06	3.4404182925336144	mgca_jonkers_2013	4.74672	70410571	66.5	28302155	70	7.941792580407253
LV3003047131	ST8	NA	189.5	28245.333333333332	102.07	3.7987812112907706	mgca_jonkers_2013	4.745093333333333	52927950	62	18465157	64.2	7.954687795385168
LV7001897537	ST5	NA	455.5	28311	38.22	3.243068296120177	mgca_jonkers_2013	4.74378	14212078	64.9	8006921	67.3	7.965099096002585
LV3003061531	ST13	NA	76	28445	99.27	6.67825064126309	mgca_jonkers_2013	4.7411	92367510	61.2	35673132	62.1	7.986344491171118
LV7001897525	ST5	NA	460.5	28460	28.45	3.709076540457412	mgca_jonkers_2013	4.7408	39464168	59.9	15106287	63.7	7.9887227070481925
LV7001897501	ST5	NA	465.5	28602.5	NA	4.147318155736301	mgca_jonkers_2013	4.7379500000000005	42247246	61.5	12295085	67.9	8.011315757880402
LV7001897489	ST5	NA	470.5	28746.5	23.76	4.335660109490086	mgca_jonkers_2013	4.73507	2121460	59.5	1809710	60.4	8.034146630300318
LV3003047117	ST8	NA	194.5	28761.666666666668	158.61	3.4690784622206188	mgca_jonkers_2013	4.734766666666667	120673383	62.4	16047191	66.1	8.036551270798249
LV7001897477	ST5	NA	475.5	28890.5	32.43	4.439732848059391	mgca_jonkers_2013	4.73219	22773365	61.8	10495349	66.2	8.056977502720235
LV7001898063	ST5	NA	478.5	28977	65.5	4.047122729204779	mgca_jonkers_2013	4.730460000000001	122084313	59.5	40993322	61.2	8.070691880944699
LV7001898160	ST5	NA	482.5	29092	141.68	3.5236425707319636	mgca_jonkers_2013	4.719880000000001	111089645	65.6	71388517	68.1	8.088924869335605
LV7001898148	ST5	NA	485.5	29177	1.17	3.1531555042032804	mgca_jonkers_2013	4.71053	259	60	225	61.4	8.10240142597236
LV3003047098	ST8	NA	199.5	29278	110.66	3.139375713150467	mgca_jonkers_2013	4.69942	78560973	57.5	14314578	59.5	8.11841474621133
LV7001898136	ST5	NA	490.5	29327	100.6	2.7200358293715485	mgca_jonkers_2013	4.694030000000001	132682311	67.5	68502787	71.3	8.126183584743107
LV7001898112	ST5	NA	495.5	29476	59.45	2.2137167159218403	mgca_jonkers_2013	4.67764	157818087	66.8	50966905	71.5	8.149807195788716
LV3003047085	ST8	NA	204.5	29703	130.79	3.1118182170814994	mgca_jonkers_2013	4.6526700000000005	72934268	58.5	23719130	60.7	8.185797529395112
LV7001898097	ST5	NA	505.5	29764.5	50.59	0.08563926657069909	mgca_jonkers_2013	4.645905	138604245	63.3	50314823	66.4	8.195548214491117
LV7001898085	ST5	NA	510.5	29912.5	67.99	0.94203193227769	mgca_jonkers_2013	4.629625	157677318	67.9	58830296	74.4	8.219013277811587
LV7001898073	ST5	NA	515.5	30052.5	109.41	1.772903989547444	mgca_jonkers_2013	4.62	134412558	71.4	73824078	72.4	8.24120995933095
LV3003047070	ST8	NA	209.5	30128	151.38	3.084260721012532	mgca_jonkers_2013	4.62	68056678	53.6	17883228	56.6	8.253180312578893
LV7001898061	ST5	NA	520.5	30194	180.5	2.3740905708820703	mgca_jonkers_2013	4.62	124419142	67.1	82386929	68	8.263644462438021
LV7001898158	ST5	NA	525.5	30353	99.78	2.907989935841063	mgca_jonkers_2013	4.62	90698904	67.8	46620683	69.8	8.288853550735013
LV3003047168	ST8	NA	214.5	30497	193.15	3.0567032249435644	mgca_jonkers_2013	4.62	56419893	53.7	23672441	55.4	8.31168442315493
LV7001898146	ST5	NA	530.5	30674	74.82	2.8363043534193526	mgca_jonkers_2013	4.62	151561519	71.6	60164919	73.5	8.33974737050441
LV3003061517	ST13	NA	81	30678	343.69	6.457380163505259	mgca_jonkers_2013	4.62	166832578	74.7	79298875	86	8.340381561404962
LV3003047155	ST8	NA	219.5	30947.5	72.49	3.5925935926522437	mgca_jonkers_2013	4.62	58779708	51.8	15672586	53.7	8.383110173329737
LV7001898134	ST5	NA	535.5	31015	79.84	2.7645250617023955	mgca_jonkers_2013	4.6197	117833270	66	49113497	69.2	8.393812144776573
LV7001898110	ST5	NA	540.5	31354	91.25	2.6919023863282128	mgca_jonkers_2013	4.61292	144709322	68.7	59858550	71.5	8.44755982359846
LV3003047143	ST8	NA	224.5	31398	133.26	4.1284839603609225	mgca_jonkers_2013	4.61204	135126726	57.5	24111588	60.5	8.454535923504546
LV7001898098	ST5	NA	545.5	31698.5	41.49	2.648050040814054	mgca_jonkers_2013	4.60603	140184129	73.2	64206542	74.3	8.502179514908608
LV3003047130	ST8	NA	229.5	31936	108.94	4.975696819537702	mgca_jonkers_2013	4.60128	43901456	63.3	16307041	66.4	8.539834599628957
LV7001898086	ST5	NA	550.5	32036.5	109.73	2.863130664040112	mgca_jonkers_2013	4.59927	122642677	70.5	73943773	71.5	8.555768646005356
LV7001898074	ST5	NA	555.5	32380.5	76.42	3.084143644571107	mgca_jonkers_2013	4.59239	147473158	73.5	60009694	77.1	8.610309063452934
LV3003047114	ST8	NA	234.5	32385.5	41.03	4.801820322517458	mgca_jonkers_2013	4.59229	21045484	64.8	12594552	66.9	8.611101802078627
LV7001898062	ST5	NA	560.5	32727	79.08	3.358547840846531	mgca_jonkers_2013	4.58546	144772882	69.8	63244702	71.6	8.66524585021336
LV3003061505	ST13	NA	86	32810	188.85	6.2365096857474285	mgca_jonkers_2013	4.5838	82717700	80.4	45809256	89.7	8.678405311399839
LV3003047097	ST8	NA	239.5	32835	93.56	4.627943825497215	mgca_jonkers_2013	4.5833	84081411	56.6	17377814	59.5	8.682369004528297
LV7001871017	ST5	NA	565.5	33062.5	107.63	3.69210626788707	mgca_jonkers_2013	4.580625	100405524	68.6	53759120	70.6	8.718438611997263
LV3003047084	ST8	NA	244.5	33276	4.13	6.5309629433568785	mgca_jonkers_2013	4.58276	390411795	56.1	31074859	58.4	8.75228855131429
LV7001898147	ST5	NA	570.5	33400	0.83	4.558052771813653	mgca_jonkers_2013	4.584	77	69.1	60	68.4	8.771948469231441
LV7001898135	ST5	NA	575.5	33738.5	102.34	5.3374046253475775	mgca_jonkers_2013	4.587385	135409417	71.9	67588468	74.8	8.825616874190759
LV3003047069	ST8	NA	249.5	33743.68707482993	233.37	6.202121760478459	mgca_jonkers_2013	4.5874368707482995	66820935	59	22512581	61.8	8.826439273105168
LV7001898111	ST5	NA	580.5	34076	124.14	5.3374046253475775	mgca_jonkers_2013	4.5862	120497679	71	68952645	72.4	8.87912673142494
