core	depth_in_core_cm	y_bp	benthic_foraminifera_concentration_n_per_gram_gt_150um	g_bulloides_pct	g_glutinata_pct	g_glutinata_with_bulla_pct	g_glutinata_without_bulla_pct	g_inflata_pct	g_scitula_pct	g_truncatulinoides_dex	g_uvula_pct	mg_ca_subsst_degc_jonkers_2013_calibration	mg_ca_subsst_degc_kozdon_2009_calibration	n_incompta_pct	n_pachyderma_d13c_vpdb_corr	n_pachyderma_d18o_vpdb_corr	n_pachyderma_pct	o_universa	p_to_b_ratio	planktonic_foraminifera_concentration_n_per_gram_gt_150um	polar_planktonic_spp_pct	sub_polar_planktonic_species_pct	t_quinqueloba_pct	total_planktonic_foraminifera_count	transitional_planktonic_species_pct
GeoB25202	840	528595		1.26182965299685	0			0.630914826498423	0		0			2.20820189274448			78.5488958990536				78.5488958990536	19.5583596214511	17.3501577287066	317	1.89274447949527
GeoB25202	846	537937		3.63636363636364	2.72727272727273			0	0		0			3.63636363636364			69.0909090909091				69.0909090909091	24.5454545454545	20.9090909090909	110	6.36363636363636
GeoB25202	850	542929		0.675675675675676	0			0	0		0			1.01351351351351			94.9324324324324				94.9324324324324	4.39189189189189	3.37837837837838	296	0.675675675675676
GeoB25202	854	547572		0	0.65359477124183			0	0		0			1.96078431372549			95.7516339869281				95.7516339869281	3.59477124183007	1.63398692810458	306	0.65359477124183
GeoB25202	860	558435		0.597014925373134	0.597014925373134			0.597014925373134	1.19402985074627		0			1.49253731343284			92.5373134328358				92.5373134328358	4.47761194029851	2.98507462686567	335	2.98507462686567
GeoB25202	865	564823		0.8	8			0	0		0			2.4			66.4				66.4	24.8	22.4	125	8.8
GeoB25202	870	569270		0.298507462686567	1.19402985074627			1.7910447761194	1.7910447761194		0			2.98507462686567			80.8955223880597				80.8955223880597	14.0298507462687	11.044776119403	335	5.07462686567164
GeoB25202	875	573441		1.73913043478261	3.47826086956522			0	0		0			3.91304347826087			64.7826086956522				64.7826086956522	30	26.0869565217391	230	5.21739130434783
GeoB25202	880	579221		4.6583850931677	0.31055900621118			1.86335403726708	3.41614906832298		0.31055900621118			0.93167701863354			58.695652173913				59.0062111801242	30.7453416149068	29.8136645962733	322	10.2484472049689
GeoB25202	885	583243		0.33112582781457	0.662251655629139			0	0.33112582781457		0			0.993377483443709			90.3973509933775				90.3973509933775	8.27814569536424	7.28476821192053	302	1.32450331125828
GeoB25202	890	587050		0.403225806451613	9.2741935483871			0	0.403225806451613		0			0.806451612903226			56.8548387096774				56.8548387096774	33.0645161290323	32.258064516129	248	10.0806451612903
GeoB25202	895	589466		1.71428571428571	0.571428571428571			0.857142857142857	0.571428571428571		0			2.28571428571429			80.8571428571429				80.8571428571429	15.4285714285714	13.1428571428571	350	3.71428571428571
GeoB25202	900	591852		2.31884057971015	0			0.869565217391304	0.579710144927536		0			3.18840579710145			74.2028985507246				74.2028985507246	22.0289855072464	18.8405797101449	345	3.76811594202899
GeoB25202	905	594294		1.52671755725191	4.58015267175572			0	0		0			5.34351145038168			80.1526717557252				80.1526717557252	13.7404580152672	8.3969465648855	131	6.10687022900763
GeoB25202	909	596335		2.5089605734767	0.716845878136201			0	0		0			2.5089605734767			87.8136200716846				87.8136200716846	8.96057347670251	6.45161290322581	279	3.2258064516129
GeoB25202	912	597814		1.30293159609121	0.325732899022801			0	0.325732899022801		0			1.30293159609121			96.4169381107492				96.4169381107492	1.62866449511401	0.325732899022801	307	1.95439739413681
GeoB25202	915	599273		1.67597765363128	2.23463687150838			0	0		0			1.67597765363128			89.9441340782123				89.9441340782123	6.14525139664804	4.46927374301676	179	3.91061452513966
ST13	5	5659	888.888888888889	30.2658486707566		0.204498977505113	4.08997955010225	1.6359918200409	0.408997955010225		0			26.1758691206544			25.1533742331288		108.2	96177.7777777778	25.1533742331288	38.241308793456	12.0654396728016		36.6053169734151
ST13	76	28445	640	5.47112462006079		0	0	0	0		0	6.67825064126309	5.726243638	2.7355623100304	0.203	3.95	88.145896656535		215	137600	88.145896656535	6.38297872340426	3.64741641337386		5.47112462006079
ST13	96	37160	640	8.7890625		0	0	0.390625	2.34375		0	5.79476873023177	5.082777308	14.453125	0.299	4.049	48.828125		184	117760	48.828125	39.6484375	25.1953125		11.5234375
ST13	116	47046	480	5.11182108626198		0	0	0.319488817891374	0		0			1.2779552715655			92.6517571884984		208.666666666667	100160	92.6517571884984	1.91693290734824	0.638977635782748		5.43130990415335
ST13	136	53844	1515.78947368421	13.4935304990758		0.369685767097967	0	0	0		0	8.05083143634111	6.833169646	1.84842883548983	-0.207	3.657	82.4399260628466		49.6666666666667	75284.2105263158	82.4399260628466	3.69685767097967	1.84842883548983		13.8632162661738
ST13	141	55466	206.451612903226																387	79896.7741935484		0			0
ST13	164.8	71001.2	1230.76923076923	12.9449838187702		0.215749730312837	0.431499460625674	0.215749730312837	0.431499460625674		0.107874865156419	7.99066956429404	6.781732677	1.61812297734628	0.193	3.682	82.3085221143474		107	131692.307692308	82.3085221143474	3.34412081984897	1.7259978425027		14.3473570658037
ST13	184.8	81694.6	0	8.01526717557252		0	0	0	0.572519083969466		0	6.59633189146317	5.664404531	2.86259541984733	0.627	3.602	86.0687022900763			22464	86.0687022900763	5.34351145038168	2.48091603053435		8.58778625954198
ST13	204.8	100672.6	114.285714285714	12.7848101265823		0.759493670886076	1.77215189873418	0.506329113924051	0.379746835443038		0	10.4327391364617	9.110550562	23.5443037974684	0.486	3.392	51.6455696202532		159.5	18228.5714285714	51.6455696202532	32.1518987341772	8.60759493670886		16.2025316455696
ST13	224.8	121635.4	290.909090909091	1.62337662337662		0	0	0	0		0	3.88851854099099	3.857016538	2.27272727272727	-0.053	3.878	95.4545454545455		143	41600	95.4545454545455	2.92207792207792	0.649350649350649		1.62337662337662
ST13	254.4	148086	290.909090909091	5.77617328519856		0	0	0	0.36101083032491		0			1.80505415162455			91.3357400722022		171.5	49890.9090909091	91.3357400722022	2.52707581227437	0.72202166064982		6.13718411552347
