sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst
LV3003047099	ST8		159.5	5.70066738023003	501957	89.55	7.46067927302278	7.23470837153319	59.3	60.8	626	5.61611493489588	25.058	4.8113	7.73314724352832
LV3003047100	ST8		519.2	5.50124280532202	317133	84.21	7.97856730970308	7.31662590783904	62.5	66.1	448	5.19834172670938	86.61175	4.13341	8.5396208419164
LV3003047101	ST8		514.2	5.31875806775269	208332	13.39	8.10659853460075	7.04462994160658	64.4	71.1	340	4.89123934700211	85.23	3.9753	8.34374151531365
LV3003047104	ST8		509.2	4.94633925514029	88376	1	8.0545486256001	6.67980878206339	60.2	65.9	138	3.78248993207737	83.84125	3.8215875	8.14686985631632
LV3003047105	ST8		504.2	4.79250375103465	62015	68.23	7.21737954306536	6.62042756971581	62.3	66.1	114	3.96472112842204	82.4525	3.813575	7.94999819731899
LV3003047106	ST8		499.2	5.25692450364952	180685	62.43	7.80784349757581	7.04453113713117	57.3	60.7	275	4.57578479313663	81.06375	3.818725	7.9892783476803
LV3003047107	ST8		464.2	5.44116077403512	276159	80.3	7.71242554446954	7.16802934824254	66.1	69.8	443	5.30970065257404	71.517	4.21483	10.3113102251429
LV3003047110	ST8		359.5	5.24679883937363	176521	66.07	7.6760081087901	7.20249856127586	62.5	65.4	345	5.16170858479725	49.1548	4.441424	8.86409767812845
LV3003047112	ST8		319.5	5.51334946702078	326098	82.07	7.56186761886652	7.19633583010049	69.6	72.5	497	5.50602321306988	40.0335	4.54866	8.76480191052874
LV3003047113	ST8		279.5	5.72008484654115	524909	109.94	7.86508552413984	7.39027842015736	60.2	62.8	644	5.3789235017444	36.48927	4.4548927	9.26174520006947
LV3003047114	ST8		234.5	5.34166199968858	219614	41.03	7.32315893865599	7.10018275833049	64.8	66.9	419	5.47795210329336	32.3855	4.59229	8.61110180207863
LV3003047117	ST8		194.5	5.4645282953846	291425	158.61	8.08161149166656	7.20539904885333	62.4	66.1	500	5.5875547526667	28.7616666666667	4.73476666666667	8.03655127079825
LV3003047118	ST8		154.5	6.12054859662214	1319922	236.52	7.96102904589606	7.62802646483084	63.5	65.7	864	5.53722412969276	24.528	4.81528	7.70636378673969
LV3003047121	ST8		489.2			0.18	5.20551291747351	4.43898511919634	81.8	92.5			78.313	4.05	8.3744263877218
LV3003047122	ST8		484.2	4.63982502729579	43633	31.46	7.39135380518593	6.43936317233712	58.2	61.2	126	4.35054935931093	76.951	4.07902	8.14654944891421
LV3003047123	ST8		479.2	4.41490652829503	25995	0.85	8.14291682611608	6.42825680067488	61.2	68.5	82	4.00340158156778	75.589	4.01479	7.91867251010661
LV3003047124	ST8		474.2	4.84189106185163	69484	25.72	7.75519610995641	6.62984571348159	56.2	59.8	145	4.13578570092987	74.227	4.01184	8.74840765343023
LV3003047125	ST8		469.2	5.03220763833021	107697	32.35	7.56593544762643	6.78315935553136	62	66	232	4.70571671587336	72.872	4.22744	9.79667019017442
LV3003047126	ST8		429.5	5.20158009036671	159066	52.91	7.59979005980597	6.90863790651537	69.2	73.6	356	5.31623130687781	64.210824	4.38529888	7.97137649847746
LV3003047127	ST8		354.5	4.98589330299059	96803	56.2	7.70321853093494	7.05624544244435	60.3	63	240	4.83893507451689	47.6248	4.423736	8.72209745713196
LV3003047128	ST8		314.5	5.59266409327141	391438	73.06	7.78600517865414	7.22400376589215	57.4	59.4	564	5.41632924149646	39.57797	4.55	8.83334865482924
LV3003047129	ST8		274.5	5.52106613136895	331944	75.83	7.53102644035134	7.21239657499225	62.9	64.1	549	5.54821954277851	36.0373	4.450373	9.19008638473871
LV3003047130	ST8		229.5	5.40350143461365	253221	108.94	7.64247893383119	7.21237518975985	63.3	66.4	462	5.50765234177344	31.936	4.60128	8.53983459962896
LV3003047131	ST8		189.5	5.54764673575364	352895	102.07	7.72368508147251	7.26635302811126	62	64.2	547	5.56580113818394	28.2453333333333	4.74509333333333	7.95468779538517
LV3003047132	ST8		149.5	6.3723691637988	2357051	252.49	8.00938939755575	7.74444212788334	63	64.2	1077	5.63678693973761	23.987	4.81065	7.67902444688563
