taxon	prevalence	mean_count	median_count	var_log	cor_depth	cor_age	core_eta2	neutral_score	selected
S__GCA_016462945.1	0.0934579439252336	25.3598130841122	0	3.0575643079677	0.0753791398994925	-0.154370791277691	0.028985170228829	0.258735101406012	not_selected
S__GCA_003973205.1	0.0607476635514019	15.7476635514019	0	2.06418106176249	0.132692517090133	-0.0817636854721361	0.0445837116221011	0.25903991418437	not_selected
S__3300020376_9	0.0654205607476636	14.0280373831776	0	2.21025238229437	0.111250844685536	-0.145413135692013	0.0024568544805815	0.25912083485813	not_selected
S__Phycodnaviridae_HM004432_Bathycoccus_sp_RCC1105_virus_BpV1	0.135514018691589	37.696261682243	0	4.47226335849944	0.192932650520742	-0.0466662541566192	0.0221112703593757	0.261710175036737	not_selected
S__3300027976_21	0.0794392523364486	11.9439252336449	0	2.35553611831161	0.192589676608053	-0.0239958084065333	0.045200696357967	0.261786181372554	not_selected
S__Schulz_GVMAG_M_3300021389_45	0.0654205607476636	27.1121495327103	0	2.52577608132935	0.169366151466154	-0.0781661928530098	0.014369253890841	0.261901598210005	not_selected
S__GCA_018655445.1	0.0700934579439252	24.785046728972	0	2.5582979612439	0.10089358077929	-0.147208436681022	0.0142064520899766	0.262308469550289	not_selected
S__GCA_002685755.1	0.0467289719626168	6.14485981308411	0	1.37871618383945	0.144114615917598	0.0543767536260954	0.0643499074668146	0.262841277010508	not_selected
S__3300027849_24	0.158878504672897	35.7056074766355	0	4.87539046656402	0.170779680322758	-0.0907447904021865	0.00152831045465294	0.263052781179598	not_selected
S__GCA_013215465.1	0.0467289719626168	10.0467289719626	0	1.5859598724853	0.17319536016451	-0.0843276260236915	0.0057492542722564	0.263272240460458	not_selected
S__3300025851_30	0.088785046728972	32.5280373831776	0	3.29043051640879	0.244800729272334	-0.00872033980687352	0.0110905167886921	0.2646115858679	not_selected
S__TARA_SOC_28_MAG_00043	0.214953271028037	94.7009345794392	0	6.96958934568974	0.157281060450281	-0.0676391998779472	0.041522583188032	0.266442843516261	not_selected
S__GCA_905478395.1	0.0514018691588785	13.0514018691589	0	1.81838544109937	0.173679760612397	0.0614515593659906	0.0314756146742689	0.266606934652657	not_selected
S__GCF_000336995.1	0.0934579439252336	15.3224299065421	0	2.83318495122536	0.0846199533268151	-0.168832286487345	0.0132043731881996	0.26665661300236	not_selected
S__3300012183_8	0.0560747663551402	8.37383177570093	0	1.71644391737648	0.0964400708060925	-0.169488412461077	0.00187473381326621	0.267803217080436	not_selected
S__GCA_011050075.1	0.0654205607476636	18.2803738317757	0	2.34837977644229	0.123689455993528	-0.0105389289002532	0.133662195537016	0.267890580430797	not_selected
S__GCA_013695465.1	0.0467289719626168	6.78971962616823	0	1.429409645232	0.0751296013976521	-0.176797241862932	0.0163196703129574	0.268246513573541	not_selected
S__Phycodnaviridae_KF481686_Emiliania_huxleyi_virus_145	0.0700934579439252	58.1028037383178	0	3.18710654890338	0.145776716509691	-0.117747821318183	0.00538753167680674	0.268912069504681	not_selected
S__3300010038_14	0.0560747663551402	16.1682242990654	0	2.08974156892744	0.0580677785351733	-0.187199358868422	0.0247819462479503	0.270049083651545	not_selected
S__IMGVR_UViG_GVMAG-M-3300009193-33_000001	0.0560747663551402	11.8317757009346	0	1.89937639047564	0.190855517075818	-0.0506470496909883	0.0293467533332281	0.270849320100034	not_selected
S__IMGVR_UViG_GVMAG-S-1059906-5_000001	0.102803738317757	32.0747663551402	0	3.74110382987693	0.186763090206724	-0.0247192208122913	0.0611575670026232	0.272639878021639	not_selected
S__GCA_016650295.1	0.172897196261682	41.7803738317757	0	5.35064132447842	0.181020444724382	-0.0730493619121145	0.0188241353937795	0.272893942030276	not_selected
S__GCA_012103325.1	0.0700934579439252	14.8878504672897	0	2.34137557569191	0.199577233200671	-0.059273300427935	0.0145604031187713	0.273410936747378	not_selected
S__GCA_902512865.1	0.088785046728972	26.4345794392523	0	3.03741998084643	0.162007071328263	-0.0978370849931556	0.013849163226471	0.27369331954789	not_selected
S__GCA_018663805.1	0.0607476635514019	38.5093457943925	0	2.74874639279005	0.185351017041916	-0.0828754381621728	0.00548647583119227	0.273712931035281	not_selected
S__3300027780_15	0.144859813084112	41.9065420560748	0	4.78592072257188	0.150635602421371	-0.0957895721974054	0.0274598074497739	0.27388498206855	not_selected
S__GCF_900129585.1	0.0560747663551402	13.2289719626168	0	1.91869610219653	0.147680537941701	-0.115236919268964	0.011809988432834	0.274727445643499	not_selected
S__3300025899_14	0.154205607476636	123.210280373832	0	6.675004619315	0.211466475034781	-0.0382223383376524	0.0275418136381569	0.277230627010591	not_selected
