sample	MEbrown	MEblue	MEturquoise	MEyellow	MEgrey
LV3003061473	-0.051960339296071	0.0213437271558266	0.0701081387837792	0.0604652560591206	0.0691294674882654
LV3003061568	-0.0639643760076647	0.0843285925770398	0.144971766624621	0.123892142806704	0.149595123252155
LV3003061555	-0.0345008486778607	0.0723158976781194	0.128948515049559	0.111245039509123	0.133574623841368
LV3003061539	0.079629060543065	0.0260271578967739	0.0514225775779471	0.0436665276450098	0.0481767080369996
LV3003061527	-0.0636052385319412	0.0845843740824898	0.14512602468545	0.124175062657148	0.151152736650352
LV3003061513	0.0512771422439686	0.00330842969995556	0.0261580746050805	0.0185610213937673	0.0215664855894975
LV3003061500	0.0715150299114965	0.00952601981274299	0.0335024672036119	0.0101620050588059	0.0163184348922594
LV7008886714	0.157448647855578	0.0679763241085906	0.0708357119763234	0.10007255422598	0.082853929072899
LV7008886690	-0.0261774351489433	0.0194305677011156	0.0913683587360024	0.0472430402128425	0.0556722242430668
LV7008886751	0.0319791015615067	-0.00722747687407226	0.0409573580340148	-0.0110103886394546	0.0126770171643827
