sample	module	module_abundance	core	age_kyr	state	state_label	index	value	sample_mean	centered	analysis_set
LV3003047028	grey	0.151018004374895	ST8	4.753	2	IG-D	OAP	300.724679665738	470.362544958156	-169.637865292418	include_grey
LV3003047028	green	0.0464411913175164	ST8	4.753	2	IG-D	OAP	820	470.362544958156	349.637455041844	include_grey
LV3003047041	grey	0.21422974392921	ST8	19.097	3	IG-A	OAP	541.771319710855	461.260977808093	80.5103419027619	include_grey
LV3003047041	turquoise	0.676038449498645	ST8	19.097	3	IG-A	OAP	348.318552311354	461.260977808093	-112.942425496739	include_grey
LV3003047041	yellow	0.0692744960033178	ST8	19.097	3	IG-A	OAP	580.841970871506	461.260977808093	119.580993063413	include_grey
LV3003047041	blue	0.0160133136340465	ST8	19.097	3	IG-A	OAP	670.161330129363	461.260977808093	208.90035232127	include_grey
LV3003047041	brown	0.0189961206229069	ST8	19.097	3	IG-A	OAP	-62.0335235924892	461.260977808093	-523.294501400582	include_grey
LV3003047041	green	0.00544787631187347	ST8	19.097	3	IG-A	OAP	688.50621741797	461.260977808093	227.245239609877	include_grey
LV3003047044	grey	0.309383583789876	ST8	12.078	1	G-A	OAP	615.78732154409	580.033028945683	35.7542925984069	include_grey
LV3003047044	turquoise	0.573911624547864	ST8	12.078	1	G-A	OAP	439.31591215426	580.033028945683	-140.717116791423	include_grey
LV3003047044	yellow	0.110618894083021	ST8	12.078	1	G-A	OAP	581.11440895182	580.033028945683	1.08138000613667	include_grey
LV3003047044	green	0.00309129752907723	ST8	12.078	1	G-A	OAP	734.444271481943	580.033028945683	154.41124253626	include_grey
LV3003047044	blue	0.00180703413723185	ST8	12.078	1	G-A	OAP	820	580.033028945683	239.966971054317	include_grey
LV3003047044	brown	0.00118756591292996	ST8	12.078	1	G-A	OAP	289.536259541985	580.033028945683	-290.496769403698	include_grey
LV3003047045	grey	0.177549232955595	ST8	3.5865	5	IG-C	OAP	447.60927662382	572.755849912119	-125.1465732883	include_grey
LV3003047045	green	0.12462361843623	ST8	3.5865	5	IG-C	OAP	651.232407525375	572.755849912119	78.4765576132555	include_grey
LV3003047045	turquoise	0.673032654190356	ST8	3.5865	5	IG-C	OAP	428.250533222433	572.755849912119	-144.505316689686	include_grey
LV3003047045	yellow	0.0226283342537933	ST8	3.5865	5	IG-C	OAP	516.687032188969	572.755849912119	-56.0688177231505	include_grey
LV3003047045	blue	0.00216616016402496	ST8	3.5865	5	IG-C	OAP	820	572.755849912119	247.244150087881	include_grey
LV3003047059	turquoise	0.321071033303149	ST8	107.683	2	IG-D	OAP	506.185053975151	231.20605142329	274.979002551861	include_grey
LV3003047059	grey	0.648480732468055	ST8	107.683	2	IG-D	OAP	70.8841517180094	231.20605142329	-160.321899705281	include_grey
LV3003047059	yellow	0.0270399436563035	ST8	107.683	2	IG-D	OAP	564.755	231.20605142329	333.54894857671	include_grey
LV3003047059	green	0.0034082905724922	ST8	107.683	2	IG-D	OAP	-217	231.20605142329	-448.20605142329	include_grey
LV3003047060	turquoise	0.64129092689573	ST8	106.686	2	IG-D	OAP	510.427821576764	424.656820372246	85.7710012045179	include_grey
LV3003047060	grey	0.295589049261293	ST8	106.686	2	IG-D	OAP	344.262130592375	424.656820372246	-80.3946897798705	include_grey
LV3003047060	yellow	0.0482394516115298	ST8	106.686	2	IG-D	OAP	665.594149692089	424.656820372246	240.937329319844	include_grey
LV3003047060	blue	0.00227785583514285	ST8	106.686	2	IG-D	OAP	-217	424.656820372246	-641.656820372246	include_grey
