sample	total_reads_retained_taxa	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	core	age_kyr	state	state_label
LV3003047150	369577	443.231358306225	-13.8155105579643	0	-1.7141416573021	-3.05172870662795	-0.769324709071846	ko	509	493	469	399	0.988730359302662	0.948941627861041	0.808843623926814	ST8	59.5217933333333	1	G-A
LV3003047152	280073	474.970675088406	-13.8155105579643	0	-1.70495165776766	-2.52699891829759	-0.856863675405108	ko	479	462	442	382	0.985464503897198	0.950316524620367	0.819100734451375	ST8	45.00002	1	G-A
LV3003047153	404947	412.661218676076	-13.8155105579643	0	-1.9503108576083	-2.29368135142171	-0.725213533987747	ko	542	522	496	432	0.987331675503214	0.948166056298725	0.847471397491524	ST8	38.71393	1	G-A
LV3003047154	221684	482.538903641451	-13.8155105579643	7.0993532485117	-1.70459934504184	-2.60243439760596	-0.817944244125094	ko	420	415	397	344	0.995295104743689	0.960191082802548	0.82563919813789	ST8	35.13012	1	G-A
LV3003047155	275074	395.040569875752	-13.8155105579643	0	-3.13049373508895	-1.94044772967763	-0.505192839094628	ko	416	411	396	356	0.997480677926667	0.967496019253001	0.917920268727688	ST8	30.9475	1	G-A
LV3003047156	510882	517.600659569889	-13.8155105579643	0	-1.5145891414528	-2.51372312469219	-0.914548005923147	ko	666	641	611	535	0.986899127391452	0.949624375100317	0.843811291061341	ST8	27.1996666666667	1	G-A
LV3003047158	197348	475.075506402758	-13.8155105579643	0	-1.22500545608482	-2.73860481482386	-0.800363211935566	ko	372	366	347	298	0.991846889758194	0.950807710237753	0.794525406895434	ST8	57.70646	1	G-A
LV3003047159	168854	525.71974348595	-13.8155105579643	0	-1.46343526271111	-2.99101436194032	-0.898490883146562	ko	362	349	333	283	0.984631693652505	0.956263991377166	0.840418349580111	ST8	56.7987933333333	1	G-A
LV3003047160	6403	149.508528697228	-13.8155105579643	0	1.18841517591904	-1.51970383473912	-0.223137705942432	ko	24	24	24	21	1	1	0.939871935030455	ST8	55.8911266666667	2	IG-D
LV3003047161	7628	293.38228683755	-13.8155105579643	0	0.405446815709524	-2.75753233251432	-0.734543833452688	ko	30	30	27	25	1	0.930650235972732	0.886601992658626	ST8	54.98346	2	IG-D
LV3003047162	24615	24.3959885405776	-13.8155105579643	0	-11.2213764903763	-1.45876408731931	-0.376262189813035	ko	53	53	44	45	1	0.6953483648182	0.940767824497258	ST8	102.698	2	IG-D
LV3003047164	192338	478.11077102578	-13.8155105579643	0	-1.55741887671233	-2.31321923523341	-0.851446388550462	ko	381	375	360	310	0.99313708159594	0.960392642119602	0.82693487506369	ST8	43.93302	1	G-A
LV3003047166	363360	424.056219175443	-13.8155105579643	0	-1.69828795754911	-2.55106948797088	-0.745628744810621	ko	538	517	492	425	0.985595552619991	0.949658740642889	0.838617349185381	ST8	38.27343	1	G-A
LV3003047167	191213	493.54584866359	-13.8155105579643	0	-2.0366779304929	-2.53596939210915	-0.826523990295002	ko	385	378	362	315	0.994744081207868	0.947681381496028	0.83298729688881	ST8	34.67812	1	G-A
LV3003047168	498307	478.357795400345	-13.8155105579643	6.359499406167	-2.57108258796158	-2.14306705809354	-0.753051748241801	ko	625	611	587	512	0.995328181221616	0.955625748785387	0.848980648475739	ST8	30.497	1	G-A
LV3003047169	561645	495.569516517491	-13.8155105579643	0	-1.97411062101454	-2.29035936127935	-0.810345665470399	ko	673	650	624	548	0.988966339947832	0.95064854133839	0.867252445940051	ST8	26.6703333333333	1	G-A
LV3003061473	119389	123.862721899514	-13.8155105579643	0	-1.01115879244646	-2.3360126088072	-0.560284051587328	ko	164	164	156	133	1	0.969226645670874	0.914146194373016	ST13	117.088	2	IG-D
LV3003061474	633449	371.492362866315	-13.8155105579643	0	-1.62622157199098	-2.91332400788272	-0.678493895398262	ko	658	622	588	505	0.987579110551915	0.937800833216249	0.867801512039643	ST13	77.7798	4	IG-B
LV3003061475	339939	429.977396366003	-13.8155105579643	0	-1.66505943335831	-2.8628025270731	-0.877118190184062	ko	471	454	433	373	0.986153398109661	0.950873539076128	0.832366983488214	ST13	53.844	1	G-A
LV3003061476	530612	436.883106980921	-13.8155105579643	0	-1.61466707796146	-2.69356386289588	-0.882947696386316	ko	677	637	606	517	0.980015529237937	0.925301350139085	0.844886659178458	ST13	37.16	1	G-A
LV3003061477	2265796	437.284078938784	-5.41631933378388	-3.55937882010041	-1.48320974283081	-2.6337662143677	-0.89089546265773	ko	978	889	833	730	0.980107653116167	0.931057782783622	0.785871278791206	ST13	16.726	3	IG-A
LV3003061485	1607425	397.801593336116	-13.8155105579643	0	-1.22030600921515	-2.70284014250419	-0.788016788352875	ko	930	845	800	686	0.97415493724435	0.933812775090595	0.841663530180257	ST13	75.7796	4	IG-B
LV3003061486	207288	426.562974654481	-13.8155105579643	0	-1.70827346731267	-3.00886482675983	-0.48638065573048	ko	312	304	290	254	0.993149627571302	0.950532592335302	0.877455520821273	ST13	52.105	2	IG-D
LV3003061488	908601	435.836592330087	-5.50141340621541	-8.31409715174886	-1.5031293153291	-2.56326255632779	-0.900187651493649	ko	806	757	721	619	0.98457848934791	0.923824649103402	0.825856454043084	ST13	35.041	1	G-A
LV3003061489	288010	204.663221351435	-13.8155105579643	0	-1.81350891288938	-2.52976497037659	-0.552002515441274	ko	295	290	276	227	0.997079962501302	0.956185549112878	0.887017811881532	ST13	112.6068	2	IG-D
LV3003061492	2256543	469.103165546668	-5.19362313589731	-2.88178801420477	-1.47282342783772	-2.86831145837266	-0.905084546203968	ko	1061	968	906	803	0.978164830007671	0.925632261383896	0.78085505128863	ST13	14.437	3	IG-A
LV3003061500	511586	329.112060298764	-4.87653915106565	-8.93897140689863	-1.74760647564405	-2.38071225154358	-0.633930948744671	ko	501	484	451	396	0.992830139996012	0.913562920017358	0.890538443194302	ST13	148.086	2	IG-D
LV3003061501	603306	318.470423909618	-13.8155105579643	0	-1.48894543131583	-2.60659053681384	-0.370192271802219	ko	572	552	518	441	0.991723934454489	0.951170716021389	0.882076425561821	ST13	105.5872	4	IG-B
