sample	module	module_abundance	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	n_taxa_in_module_sample	module_total_reads	core	age_kyr	state	state_label
LV3003061492	brown	0.0115295830835043	87.2523415151362	-1.68514671108618	-2.53071618581929	-2.77917375854662	-1.12973219738191	-0.678506737904592	ko	55	52	36	43	0.918322635200061	0.616404658492524	0.79478802321559	55	26017	ST13	14.437	3	IG-A
LV3003061500	grey	0.347861356643849	225.470614594866	-13.8155105579643	0	-1.86595657159573	-1.91658107986356	-0.377633578891714	ko	189	175	160	152	0.9825692146032	0.87255634661527	0.934536218609695	189	177961	ST13	148.086	2	IG-D
LV3003061500	turquoise	0.570727111375214	388.283274271898	-13.8155105579643	0	-2.16858178259974	-2.7361712453142	-0.786845835479139	ko	210	209	200	166	0.999623256706031	0.946704523659479	0.873177932432803	210	291976	ST13	148.086	2	IG-D
LV3003061500	yellow	0.0572630994593284	552.354513199578	-13.8155105579643	0	1.66870789832954	-2.52847889918006	-1.06277139142793	ko	61	60	57	43	0.987984297661717	0.967332309267793	0.80815838880355	61	29295	ST13	148.086	2	IG-D
LV3003061500	brown	0.0212965171056284	-46.4155714652833	-1.02732741526098	-12.7881831427033	-1.51186217124068	-0.893957297423508	-0.624209857892512	ko	31	30	24	28	0.990454336851767	0.539054612207435	0.877650298301973	31	10895	ST13	148.086	2	IG-D
LV3003061500	blue	0.000840523391961469	820	-13.8155105579643	0	0	-15.4836560712252	-9.21034037197618	ko	2	2	2	2	1	1	1	2	430	ST13	148.086	2	IG-D
LV3003061500	green	0.00201139202401942	700.165407854985	-13.8155105579643	0	0	-14.7912247103092	-1.31401917746707	ko	8	8	8	5	1	1	0.643343051506317	8	1029	ST13	148.086	2	IG-D
LV3003061501	green	0.0366646444756061	711.471454405541	-13.8155105579643	0	-9.46032522478009	-14.758230144035	-1.64600181182449	ko	51	50	45	34	0.992314647377938	0.91125678119349	0.5874773960217	51	22120	ST13	105.5872	4	IG-B
LV3003061501	grey	0.388305437041899	293.540038322344	-13.8155105579643	0	-1.77500489218078	-2.21996417010805	0.0160238996060006	ko	243	228	214	191	0.983224269743498	0.961812803339779	0.937776127239432	243	234267	ST13	105.5872	4	IG-B
LV3003061501	turquoise	0.54997463973506	311.481379179288	-13.8155105579643	0	-1.03564316647045	-3.10636882882995	-0.678195903795803	ko	222	221	211	177	0.998667884256622	0.947920904874278	0.866664858364753	222	331803	ST13	105.5872	4	IG-B
LV3003061501	yellow	0.0238933476544241	514.18295357204	-13.8155105579643	0	-1.02245092770255	-2.66401658614357	-1.00926308257485	ko	51	49	45	37	0.981477627471384	0.93451266042317	0.809850849809227	51	14415	ST13	105.5872	4	IG-B
LV3003061501	blue	0.00116193109301084	712.427385892116	-13.8155105579643	0	0	-14.6633177648709	-1.64917101561121	ko	5	4	3	2	0.737517831669044	0.534950071326676	0.343794579172611	5	701	ST13	105.5872	4	IG-B
LV3003061503	grey	0.197217192283379	426.812138889339	-13.8155105579643	0	-1.23838908006583	-2.43992347220727	-0.637853141505232	ko	385	338	318	290	0.931489476290164	0.895140764934287	0.86085075702956	385	230242	ST13	73.1472	4	IG-B
LV3003061503	green	0.0300936910576348	664.545179897202	-13.8155105579643	0	-9.56129091934073	-14.6738479326403	-1.53915472792065	ko	57	54	50	38	0.985142174024421	0.898414595963909	0.498391825349387	57	35133	ST13	73.1472	4	IG-B
LV3003061503	turquoise	0.727274907619487	322.913047958718	-13.8155105579643	0	-1.59354661478924	-2.77686463430097	-0.680374738558429	ko	233	232	222	187	0.999029514993051	0.952434456928839	0.882007160860245	233	849060	ST13	73.1472	4	IG-B
LV3003061503	yellow	0.0428436580798901	601.309699250051	-13.8155105579643	0	-1.13078705457895	-3.19779658321062	-1.12859993978218	ko	72	70	66	53	0.980666959894438	0.948898396577232	0.778439761685793	72	50018	ST13	73.1472	4	IG-B
LV3003061503	blue	0.0023024461777509	547.170952138493	-13.8155105579643	0	-12.671228232463	-3.88165343982418	-1.09417830910406	ko	20	19	18	15	0.915550595238095	0.866071428571429	0.730654761904762	20	2688	ST13	73.1472	4	IG-B
LV3003061503	brown	0.000268104781858643	623.08785942492	-13.8155105579643	0	0	-1.42003250075174	-1.07719800546947	ko	2	2	2	2	1	1	1	2	313	ST13	73.1472	4	IG-B
LV3003061504	turquoise	0.675570643339407	403.272515077853	-13.8155105579643	0	-2.01901163211854	-3.20668710494866	-0.941957656064244	ko	211	210	200	171	0.999220320899503	0.932977441533394	0.855054297747884	211	268059	ST13	50.268	1	G-A
LV3003061504	grey	0.261952826313229	340.277820297221	-13.8155105579643	0	-0.522816383471152	-1.93291547356108	-0.719180668782306	ko	159	136	127	118	0.94671926111218	0.917038676159323	0.903723301904945	159	103940	ST13	50.268	1	G-A
LV3003061504	yellow	0.0571664033025109	575.277326774447	-13.8155105579643	0	-0.0780946883975431	-2.74933012997021	-1.19696293662714	ko	68	66	63	50	0.96565710003086	0.935855045628885	0.766256667989243	68	22683	ST13	50.268	1	G-A
LV3003061504	green	0.00531012704485255	677.560642857143	-13.8155105579643	0	0	-14.8136021531421	-0.963926875879213	ko	12	12	12	9	1	1	0.664451827242525	12	2107	ST13	50.268	1	G-A
