state	module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
2	yellow	OAP	exclude_grey	47	73.0072872769824	104.495133429066	1.43433574501386e-06	ok	3.44240578803326e-06	enriched
2	blue	OAP	exclude_grey	14	207.683988227815	71.4494125741194	0.451258974150342	ok	0.451258974150342	no_call
2	brown	OAP	exclude_grey	18	-372.007359156711	-324.605444638952	0.00126976812506266	ok	0.00179261382361787	depleted
4	green	OAP	exclude_grey	43	127.763110317391	135.235706509986	1.16059948351433e-08	ok	5.57087752086877e-08	enriched
4	turquoise	OAP	exclude_grey	43	-184.873855533045	-170.368785075881	1.65142598090235e-08	ok	6.60570392360939e-08	depleted
4	yellow	OAP	exclude_grey	43	33.9197522115608	45.0442886777821	8.91675161018851e-05	ok	0.00017833503220377	enriched
4	blue	OAP	exclude_grey	31	99.4343804615247	55.7370297621051	0.0248449887226706	ok	0.0271036240610952	enriched
4	brown	OAP	exclude_grey	24	-23.0904159249213	-89.7512482265172	0.259078669122514	ok	0.270342959084363	no_call
3	green	MGI	exclude_grey	30	-2.36086077295061	-1.69448293279162	6.4115163065495e-05	ok	0.00025646065226198	depleted
3	turquoise	MGI	exclude_grey	32	-2.3728280008133	-1.79474502613944	2.8888470075022e-05	ok	0.000192589800500147	depleted
3	yellow	MGI	exclude_grey	32	-2.3728280008133	-1.79474502613944	2.8888470075022e-05	ok	0.000192589800500147	depleted
3	blue	MGI	exclude_grey	31	-2.3660924147878	-1.72728835090693	4.30125211914417e-05	ok	0.000215062605957209	depleted
3	brown	MGI	exclude_grey	32	9.41986863928925	6.85137839171212	2.8888470075022e-05	ok	0.000192589800500147	enriched
5	green	MGI	exclude_grey	13	0	0		ok		no_call
5	turquoise	MGI	exclude_grey	13	0	0		ok		no_call
5	yellow	MGI	exclude_grey	13	0	0		ok		no_call
5	blue	MGI	exclude_grey	13	0	0		ok		no_call
5	brown	MGI	exclude_grey	4	0	0		insufficient_n		no_call
