sample	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003047114	419	402	384	326	0.959427207637231	0.916467780429594	0.778042959427208	0.983612155873487	0.943578278251842	0.827192255502837	ko	1	G-A	ST8	32.3855
LV3003047117	500	485	463	395	0.97	0.926	0.79	0.98907780732607	0.947104743930685	0.815163421120357	ko	1	G-A	ST8	28.7616666666667
LV3003047118	864	818	772	673	0.946759259259259	0.893518518518519	0.778935185185185	0.98666966684395	0.954425337254777	0.794426488837977	ko	3	IG-A	ST8	24.528
LV3003047122	126	125	120	109	0.992063492063492	0.952380952380952	0.865079365079365	0.997685238237114	0.934384525473839	0.912978708775468	ko	2	IG-D	ST8	76.951
LV3003047123	82	82	78	68	1	0.951219512195122	0.829268292682927	1	0.969032506251202	0.896403154452779	ko	2	IG-D	ST8	75.589
LV3003047124	145	145	139	123	1	0.958620689655172	0.848275862068966	1	0.973634217949456	0.937222957803235	ko	2	IG-D	ST8	74.227
LV3003047125	232	229	216	184	0.987068965517241	0.931034482758621	0.793103448275862	0.995403771692805	0.938809809001179	0.880720911446001	ko	2	IG-D	ST8	72.872
LV3003047126	356	348	331	279	0.97752808988764	0.929775280898876	0.783707865168539	0.986728779248865	0.949693837778029	0.816032338777614	ko	1	G-A	ST8	64.210824
LV3003047127	240	238	228	202	0.991666666666667	0.95	0.841666666666667	0.994989824695516	0.962428850345547	0.866388438374844	ko	2	IG-D	ST8	47.6248
LV3003047128	564	552	521	448	0.978723404255319	0.923758865248227	0.794326241134752	0.993166223003388	0.942670359035147	0.824327224234745	ko	1	G-A	ST8	39.57797
LV3003047129	549	537	516	445	0.978142076502732	0.939890710382514	0.810564663023679	0.992908442387873	0.951461692333647	0.852926999734895	ko	1	G-A	ST8	36.0373
LV3003047130	462	448	430	363	0.96969696969697	0.930735930735931	0.785714285714286	0.989787576859739	0.954336330715067	0.823462509033611	ko	1	G-A	ST8	31.936
LV3003047131	547	528	510	438	0.96526508226691	0.93235831809872	0.80073126142596	0.988789866674223	0.947998696496125	0.83858654840675	ko	1	G-A	ST8	28.2453333333333
LV3003047132	1077	987	939	827	0.916434540389972	0.871866295264624	0.767873723305478	0.981854444388348	0.927203951038819	0.801556266707848	ko	3	IG-A	ST8	23.987
LV3003047133	419	409	387	333	0.976133651551313	0.9236276849642	0.794749403341289	0.990780323328416	0.924376072493001	0.8558117831231	ko	4	IG-B	ST8	70.162
LV3003047134	429	403	380	318	0.939393939393939	0.885780885780886	0.741258741258741	0.962763449256665	0.893696079429927	0.792050971560495	ko	4	IG-B	ST8	68.807
LV3003047136	468	438	413	356	0.935897435897436	0.882478632478632	0.760683760683761	0.972914397655091	0.909997295460028	0.79654549840286	ko	4	IG-B	ST8	67.8766
LV3003047137	339	336	320	280	0.991150442477876	0.943952802359882	0.825958702064897	0.996001306106046	0.922146032702886	0.875955090045965	ko	1	G-A	ST8	66.9462
LV3003047138	413	395	373	321	0.956416464891041	0.903147699757869	0.777239709443099	0.982204001477055	0.92047819664977	0.813588908657558	ko	4	IG-B	ST8	66.0158
LV3003047139	350	345	326	275	0.985714285714286	0.931428571428571	0.785714285714286	0.993449736436035	0.953008978780253	0.811777011422831	ko	1	G-A	ST8	58.6141266666667
LV3003047140	108	107	102	90	0.990740740740741	0.944444444444444	0.833333333333333	0.995830627798093	0.949249854755477	0.829465841905608	ko	2	IG-D	ST8	46.0948
LV3003047141	27	27	26	21	1	0.962962962962963	0.777777777777778	1	0.983892033086635	0.876360470178494	ko	2	IG-D	ST8	39.15347
LV3003047142	434	426	408	352	0.981566820276498	0.940092165898618	0.811059907834101	0.991784659088097	0.949059937345653	0.825117167588006	ko	1	G-A	ST8	35.5823
LV3003047143	541	521	498	436	0.963031423290203	0.920517560073937	0.805914972273568	0.989150686353375	0.948999662661857	0.874294833536601	ko	1	G-A	ST8	31.398
LV3003047144	744	720	692	599	0.967741935483871	0.93010752688172	0.80510752688172	0.987182089725372	0.953710218765311	0.847760223573172	ko	1	G-A	ST8	27.729
LV3003047145	706	668	618	551	0.946175637393768	0.875354107648725	0.780453257790368	0.984734732791831	0.923779252217742	0.845325623320099	ko	3	IG-A	ST8	23.446
LV3003047146	588	566	544	464	0.962585034013605	0.925170068027211	0.789115646258503	0.980367329356325	0.944806610361977	0.809398618925164	ko	1	G-A	ST8	63.2667
LV3003047147	427	414	396	342	0.969555035128806	0.927400468384075	0.800936768149883	0.987574382511388	0.950219517797628	0.799140131667338	ko	1	G-A	ST8	62.3217
LV3003047148	399	390	372	323	0.977443609022556	0.932330827067669	0.80952380952381	0.987926747529783	0.950284318176904	0.811887310544637	ko	1	G-A	ST8	61.3767
LV3003047149	360	351	330	284	0.975	0.916666666666667	0.788888888888889	0.98741594895419	0.935986723511402	0.830638931013763	ko	1	G-A	ST8	60.4317
LV3003047150	509	493	469	399	0.968565815324165	0.921414538310412	0.783889980353635	0.988730359302662	0.948941627861041	0.808843623926814	ko	1	G-A	ST8	59.5217933333333
