sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003047009	green	0.000664875536387319	3	3	3	2	1	1	0.666666666666667	1	1	0.574642126789366	ko	3	IG-A	ST8	20.142
LV3003047010	green	0.154002613653786	62	58	54	42	0.935483870967742	0.870967741935484	0.67741935483871	0.981160698201401	0.905945710195219	0.601644053815741	ko	5	IG-C	ST8	13.676
LV3003047010	turquoise	0.614169215830857	203	202	193	160	0.995073891625616	0.950738916256158	0.788177339901478	0.999317678776482	0.963399528794193	0.773913932428802	ko	5	IG-C	ST8	13.676
LV3003047010	grey	0.193690727369628	246	225	216	172	0.914634146341463	0.878048780487805	0.699186991869919	0.902165063474354	0.863628139794349	0.697976660736363	ko	5	IG-C	ST8	13.676
LV3003047010	yellow	0.031258715221248	52	52	48	36	1	0.923076923076923	0.692307692307692	1	0.932361733931241	0.74626307922272	ko	5	IG-C	ST8	13.676
LV3003047010	blue	0.00658523942674834	22	21	20	16	0.954545454545455	0.909090909090909	0.727272727272727	0.974279379157428	0.913968957871397	0.749889135254989	ko	5	IG-C	ST8	13.676
LV3003047010	brown	0.00029348849773313	1	1	1	1	1	1	1	1	1	1	ko	5	IG-C	ST8	13.676
LV3003047013	grey	0.199405300624319	171	158	150	121	0.923976608187134	0.87719298245614	0.707602339181287	0.922791902887464	0.898002129081772	0.797671213659132	ko	5	IG-C	ST8	5.885
LV3003047013	green	0.0990995586652669	61	57	52	40	0.934426229508197	0.852459016393443	0.655737704918033	0.98070504624479	0.886721020208226	0.60865450077213	ko	5	IG-C	ST8	5.885
LV3003047013	turquoise	0.678834362894972	192	191	182	151	0.994791666666667	0.947916666666667	0.786458333333333	0.999524881887092	0.927573576645521	0.810902991062446	ko	5	IG-C	ST8	5.885
LV3003047013	yellow	0.0202648666616203	44	43	40	30	0.977272727272727	0.909090909090909	0.681818181818182	0.991636215996752	0.924888347543646	0.721559074299635	ko	5	IG-C	ST8	5.885
LV3003047013	blue	0.0023959111538221	9	8	8	6	0.888888888888889	0.888888888888889	0.666666666666667	0.853021978021978	0.853021978021978	0.56456043956044	ko	5	IG-C	ST8	5.885
LV3003047026	grey	0.4107582756752	404	352	328	297	0.871287128712871	0.811881188118812	0.735148514851485	0.970963614338402	0.933089635603727	0.923238055473897	ko	3	IG-A	ST8	19.565
LV3003047026	turquoise	0.433194051582276	226	225	216	180	0.995575221238938	0.955752212389381	0.79646017699115	0.999534077014646	0.916525722719267	0.880602521909153	ko	3	IG-A	ST8	19.565
LV3003047026	yellow	0.0258558885963771	74	72	68	54	0.972972972972973	0.918918918918919	0.72972972972973	0.94720693078242	0.898339500045122	0.740704810035195	ko	3	IG-A	ST8	19.565
LV3003047026	green	0.00188826620761828	19	19	19	13	1	1	0.68421052631579	1	1	0.701266604881063	ko	3	IG-A	ST8	19.565
LV3003047026	blue	0.00778056678319822	44	27	27	24	0.613636363636364	0.613636363636364	0.545454545454545	0.449317738791423	0.449317738791423	0.402834008097166	ko	3	IG-A	ST8	19.565
LV3003047026	brown	0.120522951155331	82	78	47	67	0.951219512195122	0.573170731707317	0.817073170731707	0.934475264872295	0.46138357961173	0.857484427106273	ko	3	IG-A	ST8	19.565
LV3003047027	green	0.0887700842881602	59	55	52	41	0.932203389830508	0.88135593220339	0.694915254237288	0.955677129213223	0.906826154820962	0.612483966186039	ko	5	IG-C	ST8	12.877
LV3003047027	turquoise	0.610781860485535	207	206	197	162	0.995169082125604	0.951690821256039	0.782608695652174	0.999211618630058	0.970097660461439	0.771528875871487	ko	5	IG-C	ST8	12.877
LV3003047027	grey	0.241959425347908	358	316	302	259	0.88268156424581	0.843575418994413	0.723463687150838	0.89126330292395	0.869343599571358	0.735404346519553	ko	5	IG-C	ST8	12.877
LV3003047027	yellow	0.0515386979235261	69	67	64	50	0.971014492753623	0.927536231884058	0.72463768115942	0.986451235093697	0.951235093696763	0.781223381601363	ko	5	IG-C	ST8	12.877
LV3003047027	blue	0.00636962772729268	22	20	20	16	0.909090909090909	0.909090909090909	0.727272727272727	0.905449063105751	0.905449063105751	0.762868834805083	ko	5	IG-C	ST8	12.877
LV3003047027	brown	0.000580304227578032	2	2	1	2	1	0.5	1	1	0.6548463356974	1	ko	5	IG-C	ST8	12.877
LV3003047028	turquoise	0.802540804307589	29	29	25	22	1	0.862068965517241	0.758620689655172	1	0.894118880385785	0.826187231365971	ko	2	IG-D	ST8	4.753
LV3003047028	grey	0.151018004374895	5	5	5	5	1	1	1	1	1	1	ko	2	IG-D	ST8	4.753
LV3003047028	green	0.0464411913175164	4	4	4	1	1	1	0.25	1	1	0.197463768115942	ko	2	IG-D	ST8	4.753
LV3003047041	grey	0.21422974392921	453	413	391	361	0.911699779249448	0.863134657836645	0.796909492273731	0.948354972311415	0.912519583662959	0.857669815564552	ko	3	IG-A	ST8	19.097
LV3003047041	turquoise	0.676038449498645	233	233	223	187	1	0.957081545064378	0.802575107296137	1	0.951803166195267	0.841370726801372	ko	3	IG-A	ST8	19.097
LV3003047041	yellow	0.0692744960033178	76	74	70	55	0.973684210526316	0.921052631578947	0.723684210526316	0.980505027246911	0.948125335789393	0.748762376237624	ko	3	IG-A	ST8	19.097
LV3003047041	blue	0.0160133136340465	100	86	79	66	0.86	0.79	0.66	0.860961235162281	0.808126504523948	0.635261890927202	ko	3	IG-A	ST8	19.097
LV3003047041	brown	0.0189961206229069	57	54	35	47	0.947368421052632	0.614035087719298	0.824561403508772	0.95633615562242	0.539325449583654	0.878140088167378	ko	3	IG-A	ST8	19.097
LV3003047041	green	0.00544787631187347	26	26	26	20	1	1	0.769230769230769	1	1	0.79565694766378	ko	3	IG-A	ST8	19.097
LV3003047044	grey	0.309383583789876	262	242	230	209	0.923664122137404	0.877862595419847	0.797709923664122	0.948155961869042	0.917760587591811	0.869901547116737	ko	1	G-A	ST8	12.078
LV3003047044	turquoise	0.573911624547864	195	194	186	152	0.994871794871795	0.953846153846154	0.77948717948718	0.998999599839936	0.958099029085318	0.809328994755797	ko	1	G-A	ST8	12.078
