sample	MEblack	MEgreen	MEbrown	MEturquoise	MEred	MEblue	MEyellow	MEgrey
LV3003047064	-0.0262014042893827	-0.0351570192823742	-0.0539204114997123	-0.0581193476621479	-0.125172035795637	-0.161004199942001	-0.222153666666643	-0.00590122362644869
LV3003047079	-0.0218202385911418	-0.019176417605511	0.0814727522542172	-0.0500538714495081	-0.085449035944015	-0.0611823142009917	-0.0382884542220958	-0.00672677583255121
LV3003047078	-0.0280571635757174	-0.0346128555519737	-0.0539204114997123	-0.0581193476621479	-0.125172035795637	-0.159221804125116	-0.215294089707593	-0.0152795848511154
LV3003047077	-0.0234636012605742	-0.0291981182896479	-0.0531130039332977	-0.055180171944821	-0.107836133502872	-0.14003873545432	-0.135426696473655	-0.0127202382245225
LV3003047074	-0.0280571635757174	-0.0324656508236625	-0.0539204114997123	-0.0581193476621479	-0.125172035795637	-0.161004199942001	-0.221560879085579	-0.0158604961686503
LV3003047073	-0.0280571635757174	-0.0360933707551427	-0.0539204114997123	-0.0581193476621479	-0.125172035795637	-0.161004199942001	-0.222735165132025	-0.0168059081540177
LV3003047162	-0.0280571635757174	-0.0260147624670759	-0.0539204114997123	-0.0581193476621479	-0.125172035795637	-0.158534362495511	-0.211848338734651	-0.00546739246006532
LV3003047063	-0.0220784814906576	-0.0360933707551427	-0.0539204114997123	-0.0581193476621479	-0.125172035795637	-0.154252475112274	-0.207140915772333	-0.0135494563884487
LV3003047062	-0.0224109071880725	-0.0207082507337061	-0.0539204114997123	-0.0570663514671461	-0.110746010841264	-0.152880747241323	-0.134425192457171	-0.0139288588896202
LV3003047061	-0.0232479573236971	-0.0344741432503594	-0.0539204114997123	-0.0581193476621479	-0.122914896471962	-0.147681008406728	-0.0842300631481983	-0.0129070005429479
LV3003047060	-0.0280571635757174	-0.034530636413218	-0.0475409791547211	-0.056420771456433	-0.125172035795637	-0.109068130429196	-0.0165384040895707	-0.0101898210575495
LV3003047059	-0.0280571635757174	-0.0345690865665615	-0.0502747003711937	-0.0581193476621479	-0.125172035795637	-0.128371416138872	-0.0314195318655645	0.00580857101670236
LV7001898100	-0.0280571635757174	-0.0296313480834393	0.151078694549619	0.00482830477872651	-0.00617716893167422	0.0245481578588949	0.0100477079161281	-0.0185337768885649
LV7001898088	-0.0280571635757174	-0.0225370082730205	0.0930669280746562	0.0766659487062336	0.0550911768473037	0.0457313047773722	0.0322157330201325	-0.0281171204959126
LV7001898076	0.214621006674893	0.144456116902622	0.0295686042957623	0.220633865259128	0.0731386570956308	0.0466254991740705	0.0240170719953665	-0.0312399128053123
LV7001898064	0.130758765519197	0.252617350705692	-0.0325113165470203	0.0473627767226871	0.0634122834617324	0.0387609243027221	0.0319372173270518	-0.00882500011265755
