sample	MEbrown	MEgrey60	MEpurple	MEsalmon	MEmidnightblue	MEyellow	MElightyellow	MEred	MEmagenta	MElightcyan	MEgreenyellow	MEtan	MEblack	MEgreen	MEturquoise	MEpink	MEblue	MEcyan	MElightgreen	MEgrey
LV3003061546	0.278701529421828	-0.0749253860085081	-0.0108682120563501	-0.0269521148534877	-0.00493999863519692	-0.00767936185209111	-0.016791007275041	0.0132898219214517	-0.0703719417635919	-0.0235385834117471	-0.0109659844825285	-0.0233442001108622	-0.0491847355243783	-0.0281497552324822	0.00567681503205659	-0.0812662250190887	-0.0189949986154678	-0.0360618175617391	-0.0483000144818268	-0.00554842189978852
LV3003061533	0.263274995281286	-0.0928197723673496	-0.0399301377268324	-0.0469414347146762	-0.0185293769259421	-0.0341048925298591	-0.0359209291681204	-0.00171280571642488	-0.0698784229635709	-0.0561137989417029	-0.0350880967057968	-0.0449988426427414	0.0143410820163626	0.028564354386747	0.030722623999531	-0.0512448076111382	-0.0520825980340535	-0.0485798473696191	-0.0816843891260339	-0.0309526526170869
LV3003061518	-0.0215724567479112	-0.00470944956143428	-0.117675848710484	-0.104736004251871	-0.123138848647587	-0.109047496169404	-0.0997029924625493	-0.119334736479511	-0.00402289872147297	-0.0856577655319467	-0.0929697486303223	-0.0935518109857773	0.0980684620655108	0.0680210159593227	0.0393733202461489	0.166488017018553	0.124020260366378	0.089352746212648	0.0696484014256078	-0.109067318139372
LV3003061506	0.119384968505259	-0.04821817461881	-0.0132416797620045	-0.0273926220086641	-0.0143512093495148	-0.0134101451952483	-0.00573294032058943	0.00496793355488655	-0.0575091614580132	-0.0317641338630466	-0.0153514207797292	-0.0237463426907369	0.0242168888506474	0.0484464473798773	0.0440986490274053	-0.0378372069716482	-0.0153976739130783	-0.0237235108128668	-0.0697913328897658	-0.0308430021807496
LV3003061492	0.0479815321705592	-0.0147357059377696	-0.152580862823046	-0.10766878565925	-0.161580235907681	-0.156304318659937	-0.132306157896445	-0.170393923067959	-0.0432123791084969	-0.117717053514665	-0.142383437286098	-0.145613349538498	0.0957720008096194	0.0562687705890546	0.0223036538380077	0.156309841053706	0.246955804664599	0.160194488110981	0.0791088632343324	-0.0897601842490759
LV3003061477	-0.051784603843334	-0.0183448778915534	-0.160795259096434	-0.119775370085762	-0.149916079249495	-0.139027523113601	-0.132805715796525	-0.169037248244214	-0.0234942421307036	-0.0761111225813733	-0.129052755619751	-0.102251096755624	0.108886576191356	0.0738891741382423	0.0366121629184106	0.167318199779728	0.261724696207561	0.169067726914818	0.0925264277052914	-0.104787114297605
LV3003061572	-0.0327310458039428	-0.0166425967661671	-0.163963738729105	-0.136242197238879	-0.126198907902756	-0.127241136352111	-0.0958976910016797	-0.155114530828224	-0.0511563085751979	-0.126803568066753	-0.125873194882059	-0.124073868912018	0.113969748193071	0.0767626820104372	0.0321363198436735	0.163134135019856	0.224570274203655	0.140363691598417	0.0731966834638162	-0.100759893254401
LV3003061559	-0.0575515479404379	0.146459514206188	-0.0606561012608294	0.113499493679772	-0.0499874863551423	-0.0577081542368672	-0.0828296328197603	-0.0800298193872402	-0.0241488969421341	-0.0738505937494344	-0.0605977476274435	-0.0664947878944655	0.0961495761972278	0.0659672485640699	0.0381007493682642	0.0783517196367255	-0.0556455785397678	-0.0282378979133758	0.132233982740704	-0.111553524548385
LV3003061545	-0.0660335725450285	0.136203869123291	0.0173295720162899	0.208904500035371	-0.065283672786972	-0.0806846930564342	-0.0951893894580325	-0.0754729058864876	-0.0690000977767806	-0.103167582843468	-0.0803162038974537	-0.0860676021876292	0.101935499826585	0.0695204500280309	0.0292584633226925	0.0945492661275105	-0.0504012825578167	0.103293905234309	0.158149617676475	-0.11186825088348
LV3003061531	-0.0797940357029346	0.127740347709595	0.0144450928921623	0.193624753170058	-0.106446475840951	-0.104255495978754	-0.112605773982519	-0.101083316811089	-0.0116743477707352	-0.0862993922251964	-0.0877292086373036	-0.101818347031156	0.0881644982664229	0.045709397057028	0.0140917754228782	0.0907883661860195	-0.0812022695704641	0.0117029761200256	0.111482392915319	-0.119905480844587
