sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst	PC1	PC2	PC3	site_group	glacial_class	dedup_fraction	low_reads_50k	low_reads_100k	low_reads_q10	low_reads_q20	low_taxa_150	low_taxa_250	low_taxa_q10	low_taxa_q20	low_reads_or_taxa	low_reads_and_taxa	total_reads_from_counts	observed_taxa	shannon_vegan	vegan_chao1	chao1_gap	rarefaction_slope_per_10k	qc_depth_class	PC1_pc	PC2_pc	PC3_pc	age_bin_10k	focus_age_bin	age_bin_quantile	sequencing_attention
LV3003047068	ST8		294.5	5.47194852470327	296447	99.85	7.65555909311992	7.21106733291829	64.9	69	437	5.16334276332428	37.78969	4.4205155	9.10244349358346	5.38638334325355	-11.3564105079855	-23.9295651430801	ST8	glacial_like	0.359342200271816	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	296447	437	5.16334276332428	437	0	0	adequate_depth	5.38638334325355	-11.3564105079855	-23.9295651430801	[30,40)	other	(33.4,50.5]	FALSE
LV3003047069	ST8		249.5	5.42421171893929	265589	233.37	7.82491255476198	7.352425307708	59	61.8	451	5.4392501632791	33.7436870748299	4.5874368707483	8.82643927310517	2.19516261212809	-10.2834240098652	-21.5165385208418	ST8	glacial_like	0.336909098922365	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	265589	451	5.4392501632791	451	0	0	adequate_depth	2.19516261212809	-10.2834240098652	-21.5165385208418	[30,40)	other	(33.4,50.5]	FALSE
LV3003047070	ST8		209.5	5.48097368136621	302672	151.38	7.83287075276502	7.25244593785315	53.6	56.6	491	5.40940638627859	30.128	4.62	8.25318031257889	1.18102084709544	-25.7500992390037	-29.3289224158868	ST8	glacial_like	0.262769628573409	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	302672	491	5.40940638627859	491	0	0	adequate_depth	1.18102084709544	-25.7500992390037	-29.3289224158868	[30,40)	other	(19.1,33.4]	FALSE
LV3003047071	ST8		169.5	5.64867902703227	445326	140.62	7.83252117496555	7.3177505303126	56.3	59.2	612	5.64619854767014	26.141	4.68128	7.78787645806057	-23.4225275784479	-39.1339992435846	-29.5043331173857	ST8	glacial_like	0.305653477220256	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	445326	612	5.64619854767014	612	0	0	adequate_depth	-23.4225275784479	-39.1339992435846	-29.5043331173857	[20,30)	other	(19.1,33.4]	FALSE
LV3003047073	ST8		579.2	3.66152874013198	4586	16.41	6.92397274178271	5.82869726744958	50.9	55.5	12	2.31729212099697	101.685	3.8789	7.56570434574025	100.749979533448	-13.7430071230861	37.3638689424294	ST8	interglacial_like	0.0803015509040186	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	4586	12	2.31729212099697	12	0	0	insufficient_for_call	100.749979533448	-13.7430071230861	37.3638689424294	[100,110)	90-110 kya	(95.4,148]	TRUE
LV3003047074	ST8		574.2	3.9114772171061	8155	71.25	6.51052771850801	5.96374109096816	51.6	52.8	20	2.6459841973781	100.672	3.88392	7.39278548113664	100.233449534461	-13.4963194356515	37.0329246834708	ST8	interglacial_like	0.283931145385457	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	8155	20	2.6459841973781	20	0	0	insufficient_for_call	100.233449534461	-13.4963194356515	37.0329246834708	[100,110)	90-110 kya	(95.4,148]	TRUE
LV3003047077	ST8		569.2	4.6636255532128	46091	39.39	7.54179709780102	6.6010285122959	60	64.6	117	4.21240076324656	99.7145	3.801435	7.22934045363618	83.7169171841997	-14.8992818890653	21.6279710828271	ST8	interglacial_like	0.114612323816844	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	46091	117	4.21240076324656	117	0	0	low_diversity_but_saturated	83.7169171841997	-14.8992818890653	21.6279710828271	[90,100)	90-110 kya	(95.4,148]	FALSE
LV3003047078	ST8		564.2	4.12700755737133	13396	23.95	7.45915579309656	6.19841760923552	48.2	51.4	44	3.30998870284966	98.757	3.80916	7.06589542613573	97.4211839697388	-13.6315049385564	33.5875819874682	ST8	interglacial_like	0.0548607267147335	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	13396	44	3.30998870284966	44	0	0	low_diversity_but_saturated	97.4211839697388	-13.6315049385564	33.5875819874682	[90,100)	90-110 kya	(95.4,148]	FALSE
LV3003047079	ST8		559.2	5.23429197910824	171510	59.02	7.71104778126797	7.1670618531003	73	78.1	346	5.01545237119558	97.52	3.8664	6.85473981358423	45.2026023735247	27.1572430135195	17.8470810950886	ST8	interglacial_like	0.285768299642755	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	171510	346	5.01545237119558	346	0	0	adequate_depth	45.2026023735247	27.1572430135195	17.8470810950886	[90,100)	90-110 kya	(95.4,148]	FALSE
LV3003047080	ST8		524.2	5.55688237914529	360480	86.42	7.6881739577634	7.28735296597502	63.9	67.4	462	5.05525145317152	87.9935	4.110455	8.44662940914954	11.7117768757728	22.2635255324435	-20.5405904917275	ST8	glacial_like	0.397355285922074	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	360480	462	5.05525145317152	462	0	0	adequate_depth	11.7117768757728	22.2635255324435	-20.5405904917275	[80,90)	other	(71.3,95.4]	FALSE
