core	module	index	n	age_min_kyr	age_max_kyr	mean	median	sd	iqr	spearman_rho_age	spearman_p_age	scope	group_level	state	state_label	spearman_q_age
""	grey	DCI	32	2.324	24.528	-2.07113508567637	-1.92768995547543	0.747769471293204	1.07188434606405	0.203501703542502	0.263943806569372	sample_module	state	3	IG-A	0.445405173585815
""	green	DCI	30	2.324	24.528	-4.7534872664347	-4.51887581382414	4.83706308954945	9.5272799427993	-0.242555579628793	0.196541601981987	sample_module	state	3	IG-A	0.379044518108117
""	turquoise	DCI	32	2.324	24.528	-1.78470226997165	-1.52914327771673	0.700108241834935	1.23655435363747	0.541387865370278	0.00137498063835553	sample_module	state	3	IG-A	0.0123748257451998
""	yellow	DCI	32	2.324	24.528	-2.23245629602648	-1.38135355961983	3.35379790931781	1.16416604261884	0.495004143752032	0.00397276673876733	sample_module	state	3	IG-A	0.017877450324453
""	blue	DCI	31	2.324	24.528	-1.28378265127351	-1.17900618159547	4.14330889054004	1.82570233888633	-0.112314700794449	0.547472255109537	sample_module	state	3	IG-A	0.658363988329629
""	brown	DCI	32	2.324	24.528	-4.44620881078379	-2.24417438572726	4.71954674982016	1.16185400857517	-0.51645432331462	0.00247736466300864	sample_module	state	3	IG-A	0.0167222114753083
""	green	DCI	13	0.692	13.676	-9.21019146104849	-9.16123789352176	0.257812912871725	0.47740537143406	0.825310271821094	0.000512864046616812	sample_module	state	5	IG-C	0.00811945482638292
""	turquoise	DCI	13	0.692	13.676	-1.88448624042044	-1.94118944792038	0.822283604521278	0.76170605710815	0.495186163092657	0.0853260147412098	sample_module	state	5	IG-C	0.191983533167722
""	grey	DCI	13	0.692	13.676	-3.25155019796902	-3.25974534301167	1.41976762506058	1.70586912599892	0.819808203342287	0.000601441098250587	sample_module	state	5	IG-C	0.00811945482638292
""	yellow	DCI	13	0.692	13.676	0.337192464258579	-0.827276480526645	3.26366529067712	1.3673535167264	0.508941334289675	0.0756948009912954	sample_module	state	5	IG-C	0.185796329705907
""	blue	DCI	13	0.692	13.676	2.37649365035473	0	4.8344237831384	0	0.0345032779671177	0.910902678719101	sample_module	state	5	IG-C	0.910902678719101
""	brown	DCI	4	0.692	13.676	-3.80045122977105	0	7.6009024595421	3.80045122977105			sample_module	state	5	IG-C	
""	turquoise	DCI	51	4.753	148.086	-4.31399247055617	-2.04647919306117	5.12434661698081	9.54332546798677	0.0278616943857391	0.846115480556251	sample_module	state	2	IG-D	0.878658383654569
""	grey	DCI	51	4.753	148.086	-2.35579343477066	-1.54001691293033	4.17279407382333	2.19014972987058	-0.0732244832366064	0.609596285490397	sample_module	state	2	IG-D	0.658363988329629
""	green	DCI	26	4.753	148.086	0	0	0	0			sample_module	state	2	IG-D	
""	grey	DCI	75	12.078	147.206	-1.89369852364552	-1.80997830624775	0.585848731581103	0.66124560813518	0.297125055393832	0.0096337339424312	sample_module	state	1	G-A	0.0371586880636632
""	turquoise	DCI	75	12.078	147.206	-1.92500311321517	-1.85486867939507	0.430642157077611	0.540512656157475	-0.225727982907518	0.051505995446871	sample_module	state	1	G-A	0.17383273463319
""	yellow	DCI	75	12.078	147.206	-0.969540614404082	-0.500503585696445	2.92959669898275	0.900887328884821	-0.108909341891855	0.35231335282859	sample_module	state	1	G-A	0.51464821898386
""	green	DCI	67	12.078	147.206	-1.02841767906032	0	3.03482336714642	0	0.2307979427589	0.0602354540486753	sample_module	state	1	G-A	0.180706362146026
""	blue	DCI	66	12.078	147.206	-3.2906400739468	0	6.31049375458921	10.7008430956756	0.113979648960004	0.362159857803457	sample_module	state	1	G-A	0.51464821898386
""	brown	DCI	60	12.078	147.206	-8.63647007458031	-13.1022442865355	6.81254194871509	14.2796047121711	-0.237082776349112	0.0681666275177021	sample_module	state	1	G-A	0.184049894297796
""	yellow	DCI	47	39.15347	148.086	-1.18585959651402	0	4.88987045959	0	-0.0767913310368108	0.607925235980142	sample_module	state	2	IG-D	0.658363988329629
""	blue	DCI	14	53.61018	148.086	0.0289615570421308	0	0.108364223839164	0			sample_module	state	2	IG-D	
""	brown	DCI	18	47.6248	148.086	-4.09909199568509	0	6.62215644727499	10.6608349678462	-0.158848927127531	0.528973524328591	sample_module	state	2	IG-D	0.658363988329629
""	green	DCI	43	30.678	109.6305	-8.30709979341443	-9.32696318427187	3.05562044150952	0.282819739127591	0.147165548014002	0.346329066008635	sample_module	state	4	IG-B	0.51464821898386
""	turquoise	DCI	43	30.678	109.6305	-1.33208279447469	-1.44740628113399	0.470270138407525	0.674622251392103	-0.0846676775799637	0.589325464370119	sample_module	state	4	IG-B	0.658363988329629
""	grey	DCI	43	30.678	109.6305	-2.0519905830069	-1.64325800715817	1.77007628304177	0.687516846477045	0.1148036306169	0.463519751272265	sample_module	state	4	IG-B	0.625751664217558
""	yellow	DCI	43	30.678	109.6305	-2.80517081328938	-1.13078705457895	4.01066833497784	1.03432170343275	-0.187695916525088	0.228093810123646	sample_module	state	4	IG-B	0.410568858222563
""	blue	DCI	33	30.678	109.6305	-1.32857084778455	0	6.24723360335165	0.996019418505701	0.282618544768351	0.111025261838313	sample_module	state	4	IG-B	0.230590928433418
""	brown	DCI	24	30.678	109.6305	-4.71411753675001	0	6.74118838125906	13.2322570726029	0.566474621326337	0.00390283243514758	sample_module	state	4	IG-B	0.017877450324453
""	grey	MII	32	2.324	24.528	-1.81298300512539	-2.03577528001683	0.624209489702783	0.703677251395545	-0.382069865029346	0.0309319777835525	sample_module	state	3	IG-A	0.0996697061914469
""	green	MII	30	2.324	24.528	-14.7635834874581	-14.8191936895329	0.183830005532606	0.0844668020511232	-0.371342754550606	0.043342198365497	sample_module	state	3	IG-A	0.114356918980163
""	turquoise	MII	32	2.324	24.528	-2.75686722401663	-2.73532699295806	0.248057700318429	0.37520023150789	-0.412320118258637	0.019024775389855	sample_module	state	3	IG-A	0.0919530810509657
""	yellow	MII	32	2.324	24.528	-3.21012506939844	-3.20039740500768	0.206390431711509	0.220253703569257	0.276468981028913	0.125583261839099	sample_module	state	3	IG-A	0.242794306222257
""	blue	MII	31	2.324	24.528	-5.19286128860954	-3.33716303713133	4.50251613435321	0.6727275371519	-0.00846944965798495	0.963932926690859	sample_module	state	3	IG-A	0.963932926690859
""	brown	MII	32	2.324	24.528	-0.966139551752322	-1.2438439287774	2.68378964014067	0.813626411721334	-0.222751864688414	0.220421034183913	sample_module	state	3	IG-A	0.37601235243138
""	green	MII	13	0.692	13.676	-14.7842721582844	-14.7860802647917	0.0421144421502281	0.0675606725605995	0.288858595137383	0.338479950562015	sample_module	state	5	IG-C	0.490795928314922
""	turquoise	MII	13	0.692	13.676	-3.09591076731861	-3.36386817136457	0.729714741416272	0.94368776724855	-0.690509594090316	0.00897974497504735	sample_module	state	5	IG-C	0.0651031510690933
""	grey	MII	13	0.692	13.676	-2.74165677957191	-2.83452546790763	0.566146123376699	0.62924706864724	-0.206327567955274	0.498849327646895	sample_module	state	5	IG-C	0.648822551804211
""	yellow	MII	13	0.692	13.676	-2.95589470316684	-2.93393535185108	0.141733593618561	0.20211713284841	-0.602476498429399	0.029319882957085	sample_module	state	5	IG-C	0.0996697061914469
""	blue	MII	13	0.692	13.676	-6.41051125957565	-3.97156200311761	4.9257697691015	1.15473446603964	-0.17331515708243	0.571226618248806	sample_module	state	5	IG-C	0.662622877168615
""	brown	MII	4	0.692	13.676	-4.28230924717983	-7.65979397737025	14.0866166735565	18.8409137211568			sample_module	state	5	IG-C	
""	turquoise	MII	51	4.753	148.086	-4.68034508499949	-3.24015994937324	3.95990012066459	1.29909105292201	-0.117298337666622	0.412360888701135	sample_module	state	2	IG-D	0.569450751063472
""	grey	MII	51	4.753	148.086	-1.90868924590723	-1.87183181926646	0.510092383846377	0.668170978599215	-0.0898291667701561	0.530741735715388	sample_module	state	2	IG-D	0.648822551804211
""	green	MII	26	4.753	148.086	-14.5310566129508	-14.5823292649259	0.297173057355703	0.514507592847801	-0.0681857608703788	0.740669649413936	sample_module	state	2	IG-D	0.767122136893006
""	grey	MII	75	12.078	147.206	-1.92931920405968	-1.87119162591929	0.298075346505214	0.44492405685112	-0.43299145095406	0.000104458419911173	sample_module	state	1	G-A	0.00302929417742402
""	turquoise	MII	75	12.078	147.206	-2.9653460537956	-2.94531997599627	0.372947382722467	0.45782445486512	-0.229810660692649	0.0473201044055845	sample_module	state	1	G-A	0.114356918980163
""	yellow	MII	75	12.078	147.206	-3.23352230231905	-3.19803340483842	0.334121756291895	0.31835440715816	-0.125183151599833	0.284562868225474	sample_module	state	1	G-A	0.43433279887046
""	green	MII	67	12.078	147.206	-14.7991008887894	-14.8163840550347	0.159886237379907	0.114215846250749	0.317987248197348	0.00873386291340933	sample_module	state	1	G-A	0.0651031510690933
""	blue	MII	66	12.078	147.206	-8.51916457455989	-4.30762509930629	6.51033889780656	12.7098415826548	-0.185845441743818	0.13517112215592	sample_module	state	1	G-A	0.244997658907605
""	brown	MII	60	12.078	147.206	-1.36967156957884	-0.782098066397682	9.77372111625759	13.3150519081187	-0.141561090453288	0.280629898899409	sample_module	state	1	G-A	0.43433279887046
""	yellow	MII	47	39.15347	148.086	-8.69548545987041	-3.90696037804176	5.9323036103007	11.6352480485359	0.29561094282013	0.0436570183369497	sample_module	state	2	IG-D	0.114356918980163
""	blue	MII	14	53.61018	148.086	-11.9713210268404	-14.9141228466324	6.10327479763398	0.779283476502501	-0.115823259367507	0.693361226140049	sample_module	state	2	IG-D	0.744721316965238
