sample	MEblue	MEyellow	MEturquoise	MEred	MEblack	MEpink	MEbrown	MEgreen	MEgrey
LV3003047155	-0.0139103240787782	-0.0151181140069586	0.0131074256229333	-0.0554219350678505	0.00971579924494487	-0.0111907358507288	-0.0121200626618421	-0.00815141759627866	0.125007423959732
LV3003047143	0.0397802039654095	0.0675383570812939	-0.0215942863337297	-0.0230941884316114	-0.0255648044393406	-0.0310168751588043	-0.0472290426216486	-0.0281497476648968	0.076655104911241
LV3003047130	0.0285661285964324	0.0593629140175725	-0.00569004619067904	-0.0372231736552359	-0.0131433844547595	-0.0147205778680611	-0.0197866365521486	-0.0196332269851262	0.0645233740371569
LV3003047114	0.0399506607274963	0.0421511674597032	0.00404183572654521	-0.0117925485545107	-0.00406915729132254	-0.00162901076342328	-0.0131760100231628	-0.0142241227416472	0.0536646704787296
LV3003047097	0.0413936073649922	0.0628802719311996	-0.0175814718826416	-0.0270963874783504	-0.0268225178714968	-0.0202179946761045	-0.0410524374356434	-0.0251459538046743	0.0725116906059879
LV3003047084	0.0397417043716613	0.0567296613572131	-0.0397126392725546	0.0519658950211555	-0.0472527811200532	-0.0290879771056008	-0.0791470778802239	-0.0568002297617816	-0.0279797669269223
LV3003047069	0.0506667339477605	0.0555029119044109	-0.00294851959175403	-0.0437312747739857	-0.00938349126339041	-0.0141454715776159	-0.0219980585154972	-0.0121982480034013	0.0218660557339976
LV3003047167	-0.000725120161616244	0.0161016520222871	0.0157314029312875	-0.0466863180829847	0.00605000574621784	-0.000455962370806762	0.00124531680292217	-0.0022008203231337	0.0518410457186389
LV3003047154	0.053626126345575	0.0313155965578691	0.00573932281538254	-0.0254580678605293	-0.00391060244889834	-0.00746119134516379	-0.0129600958690244	-0.00759353801476708	0.0300553771846877
LV3003047142	0.00113831651591738	0.039775517534863	0.00197516926611564	-0.0543968129693286	-0.00299163342524265	-0.0128545102886954	-0.00894261706345139	-0.00188233292506738	0.0481705464798087
LV3003047129	0.0195998944207567	0.0732683502484576	-0.0268902940734729	-0.075095506192839	-0.0219194174616933	-0.0327322409873783	-0.0353449244946272	-0.0225995457375927	0.0392864680305828
LV3003047113	0.0408254756373048	0.077204783196177	-0.0457938234608806	-0.083785329408162	-0.0411157604418451	-0.0556958515249515	-0.052848462113163	-0.0383987032379257	0.0156451199566211
LV3003047096	0.0302795093019953	0.0753900387771035	-0.0310977896233698	-0.07577742551687	-0.0267549720527208	-0.0413078401060006	-0.0425150601521778	-0.0328069529544875	0.0627687355450216
LV3003047083	0.0527943360157139	0.0452823221432951	-0.00268590160521271	-0.0380533550165291	-0.00982819617733509	-0.0161688774469402	-0.0156638613582502	-0.0174307675163268	0.0366265597971384
LV3003047068	0.0540562518838283	0.0403521849451466	0.000849203013605486	-0.05316910828006	-0.00646832926352654	-0.0150151488613485	-0.0123754534541549	-0.0140258270580191	0.0266014018842797
LV3003047166	0.0471985296975959	0.074870317445306	-0.0253305141554232	-0.0320303014360391	-0.0255057781939748	-0.0346173099651385	-0.0459760254804226	-0.0351986541599471	0.0359013079069718
LV3003047153	0.0480909977640909	0.0739263969992065	-0.0258718525077074	-0.0341667000797529	-0.0116324231117125	-0.0321029970269574	-0.0503479637464333	-0.0329152652554971	0.0413644856035582
LV3003047141	-0.179334743161431	-0.110295599113044	0.0911613002260752	0.00807197537679522	0.0783127168455339	0.0630172731438499	0.0990085968840466	0.0621447514585414	0.0641258911456726
LV3003047128	0.0133170627072515	0.0695623936514216	-0.0272804596691646	-0.0768259294311926	-0.0273689033724788	-0.0339599605192567	-0.029574484101218	-0.0324618722231039	0.0317811748922691
LV3003047112	0.0559258487448578	0.0770843287383921	-0.0138911109439891	-0.0441740206800285	-0.0147587779134075	-0.0272386355219765	-0.0366855483572866	-0.0283466960011312	-0.000570391673950622
LV3003047095	0.0528497018793085	0.017782085129253	0.00463262807165639	-0.0180432357707668	-0.00493439447960149	-0.0117722663283595	-0.0105798876418926	-0.0116359071328307	0.0357402252646089
