sample	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	MEgrey
LV3003047077	-0.0473857724742114	-0.0298356017728907	-0.0601981550185024	-0.0438377281408801	-0.0948317639690498	-0.135467411954283	-0.0127429956886057
LV3003047074	-0.0473857724742114	-0.0301748692565135	-0.0600923603700633	-0.0445423116268801	-0.121858455735434	-0.188028867484998	-0.0187293312820113
LV3003047073	-0.0473857724742114	-0.0341389035123499	-0.0605656916631869	-0.0444452326420192	-0.122730392306519	-0.19233713100515	-0.0167984993430038
LV3003047162	-0.0473857724742114	-0.0284668812498971	-0.0600628080918041	-0.0438102994031418	-0.116966319925445	-0.173018781703731	-0.0134072482217408
LV3003047063	-0.0473857724742114	-0.0324732620374491	-0.0605651017577064	-0.0443004497182146	-0.109328478345423	-0.173616522658511	-0.0178002672483683
LV3003047062	-0.0458579323365865	-0.0226273406433289	-0.0604002293082772	-0.0433989896762251	-0.104380218417297	-0.138241139307421	-0.0162860224259088
LV3003047061	-0.0473857724742114	-0.0311720951865782	-0.0606160580576168	-0.0442703521528786	-0.106684695918726	-0.12618619540884	-0.016347482577563
LV3003047060	-0.0473857724742114	-0.0325201124018236	-0.0563427273922807	-0.0430551593228426	-0.0973578113105061	-0.0947990626232181	-0.0174437486243363
LV3003047059	-0.0473857724742114	-0.0284227227080066	-0.0575378033717851	-0.0438721238357759	-0.095902872454546	-0.104161931968851	-0.000704081081933522
LV7001898100	-0.0435045230626271	-0.0288088776658326	0.135192624642289	-0.0186548444488279	-0.00494802897697543	0.0551638167720907	-0.0237996175335509
LV7001898088	-0.0117598830509479	-0.025693581725046	0.105211678682489	0.0604131882554697	0.0771629829883719	0.0770082737051168	-0.028935480184426
LV7001898076	-0.0275079835881541	0.234199424243249	0.106902618896852	0.267953642013773	0.123007274567612	0.0945323968675331	-0.046002090502207
LV7001898064	-0.0440503849599572	0.206955127727288	-0.0048790148872007	0.0171098903593823	0.0565049517950948	0.0513396516858296	-0.0120848856671645
LV3003061546	-0.0473857724742114	0.267123820695565	-0.0492525506677602	-0.0225127292854904	-0.0308902382110152	-0.00408927216285973	-0.0205676686967072
LV3003061533	-0.0473857724742114	0.287156517429626	-0.0396913737347919	-0.0154465062215189	0.020159412331202	0.0262038707343661	-0.0235325018502838
LV3003061518	-0.00216323448898816	0.0393110494237827	0.0596924759827858	0.176444366797571	0.102703084637514	0.0748985540207899	-0.0313570393567713
LV3003061506	-0.0420164812242554	0.126198287717141	-0.0463933666639925	-0.0280187047294458	0.00169199503187322	0.0211056370379396	-0.0209527635690754
LV3003061492	0.0107967767229863	0.150337145627454	0.0797927278496498	0.282871189585814	0.127660931403543	0.0952841086171713	-0.0495232192432515
LV3003061477	-0.0120199227604723	0.0331575063534922	0.0842577678361155	0.265907416801806	0.12205493715729	0.0860801439446473	-0.0456372010366167
LV3003061572	-0.0223987242289545	0.0588092690223864	0.0564643208217544	0.240207116556697	0.118697082900532	0.084757303657872	-0.0404643910841858
LV3003061559	0.159009929882011	-0.0069475459743478	0.0177869163380515	0.0292632361168369	0.0740918651597503	0.0513747148570665	-0.0201685414111746
LV3003061545	0.25723655032749	-0.00545130906448175	0.00977396383086147	0.0773156206053114	0.0852258264288616	0.0566871648323509	-0.0260615629290684
LV3003061531	0.27307723423361	0.00577396583936355	0.0470735312375048	0.0891947250011087	0.105008509809151	0.0699193439065875	-0.0280163376628882
LV3003061517	0.179659512837127	-0.0143573016870121	0.0772721494670238	0.0797819227520956	0.0963596469550119	0.0697920336600247	-0.0255896644132385
LV3003061505	0.0417362698642772	-0.0265017764898269	-0.0381591247005383	-0.0199812722677667	0.046286076204214	0.034825701697892	-0.0198486129303224
LV3003061488	0.156579377693762	-0.0137627571334571	0.0326063178480748	0.0709545634418731	0.0960974238560622	0.0619533055218978	-0.024960361082417
