taxon	module
S__GCA_004124375.1	leiden2
S__GCA_004124405.1	leiden1
S__GCA_004124475.1	leiden3
S__GCA_004124535.1	grey
S__GCA_004124875.1	leiden5
S__GCA_004195515.1	leiden2
S__GCA_004195625.1	leiden2
S__GCA_004195715.1	leiden4
S__GCA_004212795.1	leiden3
S__GCA_004213215.1	leiden1
S__GCA_004356015.1	leiden4
S__GCA_004356105.1	leiden4
S__GCA_004356215.1	leiden1
S__GCA_004356305.1	leiden2
S__GCA_004356335.1	leiden5
S__GCA_004356385.1	leiden4
S__GCA_004356405.1	leiden4
S__GCA_004356415.1	leiden3
S__GCA_004356455.1	leiden4
S__GCA_004356505.1	leiden4
S__GCA_004356555.1	leiden4
S__GCA_004356685.1	leiden1
S__GCA_004356735.1	leiden4
S__GCA_004356775.1	leiden4
S__GCA_004356805.1	leiden5
S__GCA_004356825.1	leiden4
S__GCA_004356895.1	leiden4
S__GCA_004356925.1	leiden5
S__GCA_004357005.1	leiden4
S__GCA_004357015.1	leiden5
S__GCA_004357035.1	leiden5
S__GCA_004357365.1	leiden5
S__GCA_004357385.1	leiden2
S__GCA_004357415.1	leiden5
S__GCA_004357475.1	leiden4
S__GCA_004357495.1	leiden3
S__GCA_004357655.1	leiden4
S__GCA_004375715.1	leiden5
S__GCA_004375725.1	leiden5
S__GCA_004376185.1	leiden5
S__GCA_004376265.1	leiden5
S__GCA_004376485.1	leiden5
S__GCA_004377275.1	leiden5
S__GCA_004402895.1	leiden2
S__GCA_004402915.1	leiden3
S__GCA_004525335.1	leiden5
S__GCA_005116885.1	leiden6
S__GCA_005222975.1	leiden5
S__GCA_005223095.1	leiden5
S__GCA_005223125.1	leiden5
S__GCA_005239465.1	leiden3
S__GCA_005877605.1	grey
S__GCA_005880055.1	grey
S__GCA_005880075.1	grey
S__GCA_005882715.1	leiden3
S__GCA_006222135.1	leiden1
S__GCA_006226895.1	grey
S__GCA_006969625.1	grey
S__GCA_008638035.1	leiden2
S__GCA_008974855.1	leiden4
S__GCA_008974985.1	leiden1
S__GCA_008975185.1	leiden4
S__GCA_009377375.1	grey
S__GCA_009377445.1	grey
S__GCA_009377535.1	grey
S__GCA_009377745.1	leiden4
S__GCA_009379895.1	leiden6
S__GCA_009380075.1	grey
S__GCA_009391235.1	leiden1
S__GCA_009391605.1	leiden1
S__GCA_009392255.1	leiden4
S__GCA_009392435.1	leiden4
S__GCA_009392475.1	leiden4
S__GCA_009392675.1	leiden2
S__GCA_009392685.1	leiden2
S__GCA_009619015.1	leiden5
S__GCA_009691085.1	leiden4
S__GCA_009692205.1	leiden2
S__GCA_009693105.1	grey
S__GCA_009693995.1	leiden4
S__GCA_009694045.1	grey
S__GCA_009885195.1	leiden5
S__GCA_009885795.1	grey
S__GCA_009886055.1	leiden6
S__GCA_009886465.1	leiden3
S__GCA_009886595.1	leiden3
S__GCA_009887135.1	leiden3
S__GCA_009887215.1	leiden3
S__GCA_009936995.1	leiden4
S__GCA_009937025.1	leiden3
S__GCA_009937115.1	leiden1
S__GCA_009937205.1	leiden4
S__GCA_009937255.1	leiden2
S__GCA_009937305.1	leiden3
S__GCA_009937405.1	leiden1
S__GCA_009937425.1	leiden4
S__GCA_009937445.1	leiden2
S__GCA_009937625.1	leiden3
S__GCA_010365175.1	leiden1
S__GCA_011049595.1	leiden5
S__GCA_011049715.1	grey
S__GCA_011049795.1	leiden4
S__GCA_011050075.1	grey
S__GCA_011053245.1	leiden4
S__GCA_011055585.1	leiden4
S__GCA_011088205.1	leiden4
S__GCA_011391555.1	leiden1
S__GCA_011523425.1	leiden4
S__GCA_011525755.1	leiden3
S__GCA_011771415.1	leiden3
S__GCA_011772755.1	grey
S__GCA_011773465.1	leiden5
S__GCA_011774835.1	leiden4
S__GCA_012103325.1	leiden5
S__GCA_012270675.1	grey
S__GCA_012271165.1	leiden4
S__GCA_012927545.1	leiden2
S__GCA_012959215.1	leiden1
S__GCA_012959275.1	leiden2
S__GCA_012959435.1	leiden2
S__GCA_012959465.1	leiden3
S__GCA_012959475.1	leiden6
S__GCA_012959525.1	leiden2
S__GCA_012959595.1	leiden1
S__GCA_012959665.1	leiden2
S__GCA_012959805.1	leiden2
S__GCA_012959845.1	leiden2
S__GCA_012959865.1	leiden3
S__GCA_012960055.1	leiden2
S__GCA_012960105.1	leiden3
S__GCA_012960305.1	leiden4
S__GCA_012960315.1	leiden1
S__GCA_012960345.1	leiden4
S__GCA_012960355.1	leiden2
S__GCA_012960505.1	leiden4
S__GCA_012960705.1	leiden2
S__GCA_012960725.1	leiden6
S__GCA_012960755.1	leiden1
S__GCA_012960805.1	leiden4
S__GCA_012960835.1	leiden4
S__GCA_012960975.1	leiden6
S__GCA_012961035.1	leiden2
S__GCA_012961055.1	leiden3
S__GCA_012961165.1	leiden1
S__GCA_012963075.1	leiden1
S__GCA_012963185.1	leiden1
S__GCA_012963785.1	leiden1
S__GCA_012963975.1	leiden1
S__GCA_012964085.1	leiden2
S__GCA_012964335.1	leiden4
S__GCA_012964845.1	leiden4
S__GCA_012965105.1	leiden1
S__GCA_012965315.1	leiden1
S__GCA_012965445.1	leiden4
S__GCA_012965585.1	leiden1
S__GCA_012965625.1	leiden3
S__GCA_012965955.1	leiden4
S__GCA_012966015.1	leiden4
S__GCA_012974295.1	leiden5
S__GCA_012974305.1	grey
S__GCA_012974315.1	leiden5
S__GCA_012974425.1	leiden4
S__GCA_012974435.1	leiden4
S__GCA_012974475.1	leiden5
S__GCA_013003285.1	leiden4
S__GCA_013003675.1	leiden4
S__GCA_013003805.1	leiden3
S__GCA_013138675.1	leiden4
S__GCA_013138735.1	leiden2
S__GCA_013138755.1	leiden5
S__GCA_013138975.1	leiden2
S__GCA_013139195.1	leiden5
S__GCA_013139265.1	leiden1
S__GCA_013139415.1	leiden4
S__GCA_013139435.1	leiden5
S__GCA_013139935.1	leiden5
S__GCA_013151645.1	leiden3
S__GCA_013202595.1	leiden3
S__GCA_013202615.1	leiden5
S__GCA_013202965.1	leiden5
S__GCA_013203065.1	leiden5
S__GCA_013203195.1	grey
S__GCA_013203245.1	leiden4
S__GCA_013203465.1	grey
S__GCA_013203755.1	leiden5
S__GCA_013203845.1	leiden1
S__GCA_013203955.1	grey
S__GCA_013204045.1	leiden5
S__GCA_013204265.1	grey
S__GCA_013204495.1	leiden1
S__GCA_013204585.1	leiden2
S__GCA_013205645.1	leiden1
S__GCA_013214075.1	leiden1
S__GCA_013214205.1	leiden4
S__GCA_013214625.1	leiden1
S__GCA_013214975.1	leiden3
S__GCA_013215055.1	leiden1
S__GCA_013215285.1	leiden4
S__GCA_013215295.1	leiden2
S__GCA_013215385.1	leiden1
S__GCA_013215465.1	leiden1
S__GCA_013215515.1	leiden2
S__GCA_013215565.1	leiden3
S__GCA_013215605.1	leiden4
S__GCA_013215615.1	leiden4
S__GCA_013215655.1	leiden1
S__GCA_013215875.1	leiden2
S__GCA_013216005.1	leiden3
S__GCA_013216015.1	leiden4
