taxon	module
S__Schulz_GVMAG_M_3300025652_16	leiden4
S__Schulz_GVMAG_M_3300025822_14	leiden1
S__Schulz_GVMAG_M_3300027779_26	leiden3
S__Schulz_GVMAG_M_3300027810_23	grey
S__Schulz_GVMAG_S_1024967_63	leiden1
S__Schulz_GVMAG_S_1096102_67	leiden1
S__Schulz_GVMAG_S_1102104_120	leiden2
S__Schulz_GVMAG_S_1102105_81	leiden3
S__Schulz_GVMAG_S_1102114_126	leiden2
S__Schulz_GVMAG_S_1102114_93	leiden1
S__Schulz_GVMAG_S_1102238_66	leiden2
S__Schulz_GVMAG_S_403982_53	leiden3
S__Schulz_GVMAG_S_403983_43	leiden1
S__Schulz_GVMAG_S_405408_30	leiden3
S__TARA_ANE_MAG_00022	leiden3
S__TARA_ANE_MAG_00034	leiden4
S__TARA_AON_82_MAG_00093	leiden3
S__TARA_AON_82_MAG_00120	leiden2
S__TARA_AON_82_MAG_00231	leiden3
S__TARA_AON_NCLDV_00003	leiden4
S__TARA_AON_NCLDV_00015	leiden3
S__TARA_AOS_82_MAG_00018	leiden3
S__TARA_AOS_82_MAG_00046	leiden3
S__TARA_AOS_82_MAG_00047	leiden1
S__TARA_AOS_82_MAG_00068	leiden3
S__TARA_AOS_82_MAG_00074	leiden3
S__TARA_AOS_82_MAG_00091	leiden3
S__TARA_AOS_82_MAG_00104	leiden3
S__TARA_AOS_82_MAG_00110	leiden3
S__TARA_ARC_108_MAG_00005	leiden4
S__TARA_ARC_108_MAG_00010	leiden4
S__TARA_ARC_108_MAG_00011	leiden2
S__TARA_ARC_108_MAG_00012	leiden2
S__TARA_ARC_108_MAG_00014	leiden3
S__TARA_ARC_108_MAG_00015	leiden1
S__TARA_ARC_108_MAG_00017	leiden4
S__TARA_ARC_108_MAG_00019	leiden5
S__TARA_ARC_108_MAG_00020	leiden1
S__TARA_ARC_108_MAG_00021	leiden4
S__TARA_ARC_108_MAG_00022	leiden4
S__TARA_ARC_108_MAG_00026	leiden2
S__TARA_ARC_108_MAG_00029	leiden1
S__TARA_ARC_108_MAG_00032	leiden4
S__TARA_ARC_108_MAG_00033	leiden2
S__TARA_ARC_108_MAG_00034	leiden1
S__TARA_ARC_108_MAG_00037	leiden2
S__TARA_ARC_108_MAG_00039	leiden4
S__TARA_ARC_108_MAG_00043	leiden2
S__TARA_ARC_108_MAG_00044	leiden2
S__TARA_ARC_108_MAG_00050	leiden4
S__TARA_ARC_108_MAG_00052	leiden1
S__TARA_ARC_108_MAG_00053	leiden4
S__TARA_ARC_108_MAG_00055	leiden4
S__TARA_ARC_108_MAG_00056	leiden1
S__TARA_ARC_108_MAG_00057	leiden2
S__TARA_ARC_108_MAG_00061	leiden1
S__TARA_ARC_108_MAG_00065	leiden1
S__TARA_ARC_108_MAG_00066	leiden4
S__TARA_ARC_108_MAG_00067	leiden4
S__TARA_ARC_108_MAG_00069	leiden4
S__TARA_ARC_108_MAG_00071	leiden1
S__TARA_ARC_108_MAG_00073	leiden2
S__TARA_ARC_108_MAG_00074	leiden4
S__TARA_ARC_108_MAG_00078	leiden2
S__TARA_ARC_108_MAG_00079	leiden2
S__TARA_ARC_108_MAG_00082	leiden4
S__TARA_ARC_108_MAG_00084	leiden2
S__TARA_ARC_108_MAG_00092	leiden2
S__TARA_ARC_108_MAG_00097	leiden3
S__TARA_ARC_108_MAG_00099	leiden4
S__TARA_ARC_108_MAG_00104	leiden3
S__TARA_ARC_108_MAG_00105	leiden2
S__TARA_ARC_108_MAG_00109	leiden1
S__TARA_ARC_108_MAG_00110	leiden4
S__TARA_ARC_108_MAG_00112	leiden1
S__TARA_ARC_108_MAG_00113	leiden2
S__TARA_ARC_108_MAG_00117	leiden1
S__TARA_ARC_108_MAG_00120	leiden1
S__TARA_ARC_108_MAG_00124	leiden1
S__TARA_ARC_108_MAG_00128	leiden4
S__TARA_ARC_108_MAG_00131	leiden1
S__TARA_ARC_108_MAG_00141	leiden1
S__TARA_ARC_108_MAG_00142	leiden1
S__TARA_ARC_108_MAG_00146	leiden4
S__TARA_ARC_108_MAG_00153	leiden2
S__TARA_ARC_108_MAG_00159	leiden2
S__TARA_ARC_108_MAG_00163	leiden1
S__TARA_ARC_108_MAG_00168	leiden1
S__TARA_ARC_108_MAG_00170	leiden2
S__TARA_ARC_108_MAG_00172	leiden2
S__TARA_ARC_108_MAG_00181	leiden3
S__TARA_ARC_108_MAG_00196	leiden2
S__TARA_ARC_108_MAG_00198	leiden2
S__TARA_ARC_108_MAG_00202	leiden4
S__TARA_ARC_108_MAG_00204	leiden3
S__TARA_ARC_108_MAG_00205	leiden4
S__TARA_ARC_108_MAG_00206	leiden2
S__TARA_ARC_NCLDV_00001	leiden1
S__TARA_ARC_NCLDV_00002	leiden1
S__TARA_ARC_NCLDV_00030	leiden1
S__TARA_ARC_NCLDV_00033	leiden2
S__TARA_ARC_NCLDV_00036	leiden3
S__TARA_ARC_NCLDV_00040	grey
S__TARA_ARC_NCLDV_00042	leiden1
S__TARA_ARC_NCLDV_00047	leiden3
S__TARA_ARC_NCLDV_00055	leiden1
S__TARA_ARC_NCLDV_00091	grey
S__TARA_ARC_NCLDV_00096	leiden1
S__TARA_ARC_NCLDV_00100	leiden1
S__TARA_ARC_NCLDV_00107	grey
S__TARA_ARC_NCLDV_00116	leiden4
S__TARA_ARC_NCLDV_00117	leiden3
S__TARA_ARC_NCLDV_00127	leiden3
S__TARA_ARC_NCLDV_00137	leiden1
S__TARA_ARC_NCLDV_00176	leiden1
S__TARA_ARC_NCLDV_00188	leiden3
S__TARA_MED_95_MAG_00038	leiden3
S__TARA_MED_95_MAG_00057	leiden3
S__TARA_MED_95_MAG_00112	leiden2
S__TARA_MED_95_MAG_00126	leiden4
S__TARA_MED_95_MAG_00192	leiden3
S__TARA_MED_95_MAG_00207	leiden3
S__TARA_MED_95_MAG_00363	leiden3
S__TARA_MED_95_MAG_00365	leiden2
S__TARA_MED_95_MAG_00401	leiden4
S__TARA_MED_MAG_00108	leiden3
S__TARA_PON_109_MAG_00083	leiden3
S__TARA_PON_NCLDV_00047	leiden1
S__TARA_PSE_93_MAG_00076	leiden3
S__TARA_PSE_93_MAG_00155	grey
S__TARA_PSE_93_MAG_00185	grey
S__TARA_PSE_93_MAG_00191	leiden3
S__TARA_PSW_86_MAG_00046	leiden3
S__TARA_PSW_86_MAG_00162	leiden3
S__TARA_PSW_MAG_00046	grey
S__TARA_SOC_28_MAG_00004	leiden1
S__TARA_SOC_28_MAG_00006	grey
S__TARA_SOC_28_MAG_00007	leiden4
S__TARA_SOC_28_MAG_00016	leiden2
S__TARA_SOC_28_MAG_00018	leiden3
S__TARA_SOC_28_MAG_00024	leiden4
S__TARA_SOC_28_MAG_00025	leiden1
S__TARA_SOC_28_MAG_00029	leiden1
S__TARA_SOC_28_MAG_00030	leiden2
S__TARA_SOC_28_MAG_00041	leiden2
S__TARA_SOC_28_MAG_00043	leiden2
S__TARA_SOC_28_MAG_00046	leiden1
S__TARA_SOC_NCLDV_00007	leiden3
S__TARA_SOC_NCLDV_00026	leiden2
