sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	analysis_partition	harmonization_mode
LV3003047154	ST8	35.13012	4.5282892	9.04625505944773	-0.59294319904147	-0.274245528987235	-0.511834029432763	-0.456072635334083	0.0837738412620601	0.424886783936553	training	corewise_z
LV3003047142	ST8	35.5823	4.487593	9.11794716980078	0.292478353389274	-0.240290006827009	-0.629045305989391	-0.242560038182594	0.34956131013176	0.0680282556652596	training	corewise_z
LV3003047129	ST8	36.0373	4.450373	9.19008638473871	1.43482941915639	-0.199400986866981	-0.565272827787802	-0.0240480157581847	0.809051758168329	0.505641397626729	training	corewise_z
LV3003047113	ST8	36.48927	4.4548927	9.26174520006947	2.09877742411755	-0.105926804037539	-0.344345730184862	0.199881841719838	1.15854992885524	0.796968067678609	training	corewise_z
LV3003047096	ST8	36.89377	4.4589377	9.23725876185055	2.24496867926559	-0.207181727094654	-0.480049991218253	-0.0427172373630769	0.900284421217287	0.563098200812873	training	corewise_z
LV3003047083	ST8	37.30319	4.4448405	9.1756505076159	0.0402914126303067	-0.376525853747646	-0.558806289672847	-0.354784789552713	0.273781470271936	0.483275227271033	training	corewise_z
LV3003047068	ST8	37.78969	4.4205155	9.10244349358346	-0.248903446989808	-0.348887832772821	-0.641462135693709	-0.352369459916053	0.318942067401277	0.467323405957562	training	corewise_z
LV3003047166	ST8	38.27343	4.4482802	9.0296517958074	0.389492942206149	-0.34496974442913	-0.322557083537859	-0.189169919462928	0.791651047545669	0.617985581604653	training	corewise_z
LV3003047153	ST8	38.71393	4.5099502	8.96336671938132	0.355164630805001	-0.308361932965549	-0.400368144330057	-0.302928819869185	0.828569886460608	0.688427396637832	training	corewise_z
LV3003047141	ST8	39.15347	4.55	8.89722610078355	-0.683036716743389	-0.413217868267814	-0.705746334326861	-0.54675531653838	-1.50406059915614	-2.12334472392408	training	corewise_z
LV3003047128	ST8	39.57797	4.55	8.83334865482924	1.25456738000121	-0.254043331897011	-0.403593407063999	0.102607029805489	0.790485643938936	0.465918557808049	training	corewise_z
LV3003047112	ST8	40.0335	4.54866	8.76480191052874	-0.267636325364706	-0.350956987192998	-0.369111485978832	-0.293557728269804	0.682485182755051	0.601685000131615	training	corewise_z
LV3003047095	ST8	40.9751666666667	4.51099333333333	8.62310282547109	-0.507893173842097	-0.36836521968368	-0.446787353594235	-0.41204956398702	0.0292992459786018	0.428021691781471	training	corewise_z
