sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	harmonization_mode
LV3003047003	ST13	212.1932	3.617728	8.56290756999161	-43.3843128267439	-30.7061479509996	-97.7337161649098	-73.5174402489137	-18.7708298505078	3.60460808475125	corewise_z
LV3003047005	ST13	200.4688	3.53	7.23574361358611	-40.9554870632603	-39.7550665530532	-86.3770149214435	-74.7742783417107	-71.3062815991919	15.4985894653532	corewise_z
LV3003047006	ST13	226.4976	4.24024	6.43381620902443	-45.0464486258964	-45.1090651864939	-105.229233291631	-82.6766790536396	-207.942864085941	-207.399610114212	corewise_z
LV3003047009	ST8	20.142	4.97864	7.48471804810772	-47.0409417294631	456.752264453774	-87.0464196208172	18.7216823905566	26.280469404709	32.6200206866933	corewise_z
LV3003047010	ST8	13.676	4.20872	6.95319000495699	-27.8307831013762	-53.6087668582599	399.956957181256	-23.0095752876317	-38.2939495013478	42.9940477545101	corewise_z
LV3003047013	ST8	5.885	3.32195	6.33782936611152	-38.9568493244871	-54.3657584688166	267.069405571269	-72.0880922147736	-97.5767398512887	28.3356452637266	corewise_z
LV3003047014	ST13	299.738	4.07502	7.95684327914308	-43.2321301557151	-47.1346005305795	-101.715206715664	-75.7885578730015	-138.010522341991	-179.736926596539	corewise_z
LV3003047016	ST13	290.3862	4.103862	5.42810442321151	-29.4292788110025	-35.2381867912054	-75.2911010053475	-82.3803314214264	-177.955803168361	-102.736542138725	corewise_z
LV3003047017	ST13	279.1155	4.219605	5.48196583163779	-36.6091807336701	-47.1717078594393	-101.234330669849	-80.8053485730983	-186.328359307273	-184.51586592453	corewise_z
LV3003047020	ST13	265.346	4.46076	6.4707219635057	-41.4990240721589	-33.9583164063217	-82.5763415290643	-74.2146266106003	-115.098433912375	-71.5843526123582	corewise_z
LV3003047021	ST13	240.9775	3.53775	10.0742043431472	-43.4804420603114	-46.4795192735555	-105.488764220219	-83.6438731357289	-227.816508618776	-295.409696859789	corewise_z
LV3003047022	ST13	224.8334	4.298326	6.66980996201863	-39.1478325629239	-35.028675058692	-98.0508062594848	-80.8425615403394	-178.913756124315	-107.806199487952	corewise_z
LV3003047023	ST13	210.5074	3.585222	8.48669614055518	-45.0464486258964	-38.1049210155085	-102.984558179837	-79.0221692798332	-130.301059940848	-80.001149817592	corewise_z
LV3003047024	ST13	196.6898	3.764816	7.35099524179306	-45.0464486258964	-47.1717078594393	-108.862138762094	-85.0815616122226	-257.928606186618	-431.064924354518	corewise_z
LV3003047025	ST13	163.332	4.69336	11.2870420485066	-42.6370989531513	-45.382395399632	-103.656844210705	-81.6174139712112	-196.943897892563	-309.707993475302	corewise_z
LV3003047026	ST8	19.565	4.97695	7.455559454585	-43.8607606310553	545.581159938457	33.0573889109825	186.574476545975	148.588950220853	137.657876619592	corewise_z
LV3003047027	ST8	12.877	4.04278	6.85356548641879	18.6224341370528	-47.1752208217383	424.481813584363	14.8899143041453	81.3280737015608	82.0240738389901	corewise_z
LV3003047028	ST8	4.753	3.26988	6.51953039778323	-49.0700850613466	-56.2322230532703	-123.130377568983	-112.513869512632	-248.189490177914	-373.124904037641	corewise_z
LV3003047029	ST13	298.5948	4.205688	7.54360179614953	-45.0464486258964	-46.6776715534701	-107.468462256865	-85.5160025747346	-236.393551131224	-335.181962564541	corewise_z
LV3003047030	ST13	289.0782	4.063128	5.41530563625051	-24.7617606047311	-30.4547524676156	17.7286278409663	-60.6492315068171	-23.181763841166	74.2964441469301	corewise_z
LV3003047033	ST13	262.3765	4.453765	5.98675883207389	-38.3243060673754	-43.5448089617537	-73.7042507714167	-78.5587324979572	-89.9145736889073	-53.7485673381371	corewise_z
LV3003047035	ST13	238.84	3.4512	10.5745125716866	-43.5443217927707	-43.2503834463464	-103.119185917917	-82.91560680982	-225.748594390267	-290.392351538665	corewise_z
LV3003047036	ST13	223.0918	4.43541	6.9167795090771	-45.0464486258964	-45.7317867853012	-107.500607108048	-84.8145008225148	-247.431155374693	-341.661232232846	corewise_z
LV3003047037	ST13	208.787	3.65491	8.40892051877179	-31.0232743573541	-36.3367032544962	-71.0089687389146	-61.047798598733	-14.6389838958535	28.2228298970426	corewise_z
LV3003047039	ST13	193.0062	3.919504	9.32739216096218	-30.2228346742029	-19.7710617182014	-53.2154578021522	-31.3297448924749	100.858512072327	81.6622946565995	corewise_z
LV3003047041	ST8	19.097	4.96291	7.4319091568924	-20.2545529012726	245.013020233313	93.0040506900504	439.005098638942	234.392321135138	186.346049468121	corewise_z
LV3003047044	ST8	12.078	3.93092	6.75394096788059	87.6450964110373	-44.764909873894	-71.0691793901118	-8.47580659582749	68.0127367157498	24.1092321322164	corewise_z
LV3003047045	ST8	3.5865	3.295865	6.70676913757569	-25.3945640488915	-54.6291862037754	276.931992957585	-66.89121251178	-36.3389086387321	73.2722766860093	corewise_z
LV3003047046	ST13	297.4084	4.246908	7.11474446985184	-45.0464486258964	-41.8503783069464	-107.152346320183	-84.7681919942122	-223.971179893622	-371.649654759398	corewise_z
LV3003047048	ST13	287.7924	3.993012	5.40272407640765	-11.2543607447508	-30.8248266738133	-22.8820460377119	-54.5439206008869	3.86497869795425	80.7095724709952	corewise_z
LV3003047052	ST13	259.2385	4.50569	5.47533390988732	-45.0464486258964	-41.9259857491991	-107.360183055445	-83.4888092695234	-223.184298952383	-286.649267793843	corewise_z
LV3003047053	ST13	235.5074	3.68463	9.46019713867995	-45.0464486258964	-45.2181432658758	-107.393716666897	-84.6545101557002	-243.645895224377	-371.351521076343	corewise_z
LV3003047054	ST13	221.4128	4.29192	7.15487199271925	-6.57028393910106	-38.5492874363852	-43.9985232299626	-59.7828333999587	-41.54371504908	39.3643052778921	corewise_z
LV3003047055	ST13	207.3198	3.757614	8.3425915300014	-43.5397289882635	-32.2498531916127	-80.7051573613379	-65.3827550710425	-81.6216184129544	-27.4483871719526	corewise_z
LV3003047056	ST13	187.9216	4.455296	10.3024689799939	-34.5423245867062	-40.2152616390235	-101.470964536203	-66.0162638695303	-71.8324682631411	-54.2714679454458	corewise_z
LV3003047059	ST8	107.683	4.08781	9.62921190579469	-49.0700850613466	-45.4756589101116	-127.406352831417	-110.946848789592	-194.799692442376	-237.017009915354	corewise_z
LV3003047060	ST8	106.686	4.02744	9.16482148751936	-49.0700850613466	-52.0422451091189	-124.755143941499	-108.878628758074	-197.757600326272	-215.692882277526	corewise_z
LV3003047061	ST8	105.689	3.95335	8.70043106924403	-49.0700850613466	-49.8818767031037	-134.23528783511	-111.955000024451	-216.719266929535	-287.177723195256	corewise_z
LV3003047062	ST8	104.692	3.87156	8.38459253919963	-47.4883500434823	-36.1878247699229	-133.756483885602	-109.749066596012	-212.034236942318	-314.633106034718	corewise_z
