sample	MEgrey	MEleiden1	MEleiden2	MEleiden3	MEleiden4	MEleiden5	MEleiden6
LV7008867310	-1.32887665336767	-2.72268313891142	5.39714682841818	3.49764055886031	3.8462151720368	1.81641362141027	-2.84020488595057
LV7008867383	-1.29872672865601	0.967272237500693	4.32194463132955	13.6153151191864	2.88299290023129	6.96135744620869	-3.100073401905
LV7008867323	0.31506098101932	-5.19578571588332	-6.97243065180422	2.68302989261374	0.54965553321668	2.39620743375573	-2.7358957195466
LV7008867396	3.57430663110544	-5.31116314076508	-3.45866182430074	4.79076463993016	3.88854984842535	5.10629697043206	-3.06967027481623
LV7008867360	8.74713790766935	-6.55494493302373	-9.51171079925217	-1.52776080331068	-0.765378153052896	6.72566462197942	-3.37276998406842
LV7008867336	17.9118425371492	-3.47284004672233	-3.99524673081696	11.2532183780028	4.80987952278417	10.8088611945125	-1.81772354355
LV7008867312	5.17342621057695	-6.48273398252494	-11.0658326212895	-1.42740470952952	-2.68524403840199	3.51056579934932	-2.10073364082501
LV7008867385	2.96003071939692	-6.73694877885892	-12.2237093992804	-2.68853919887211	-7.342819813689	0.506037557687655	-3.46819735736922
LV7008867361	1.86227375170437	-7.18132773345668	-15.0412389359937	-6.96689042533807	-16.5525822818485	-0.757679497230953	-3.07277281030307
LV7008867325	3.89139777542709	-7.07544744615845	-14.5066787615597	-6.28242653195605	-12.7071508123662	1.8072698103852	-3.46819735736922
LV7008867398	7.91076684151752	-7.39870401388388	-16.4897354721624	-7.3892922964985	-16.7486697357805	0.748635361560964	-3.46819735736922
LV7008867374	-1.24737035664873	-7.38756880462992	-17.0283113051314	-8.26216605883925	-24.4441549072354	-2.92843935098855	-3.19817582004724
LV7008867350	-0.706583965835981	-7.48798418729341	-17.6564579541514	-8.63081382147333	-29.2019769712618	-2.02073506651736	-3.46819735736922
LV7008867326	-0.338943029992665	-6.8101755075903	-15.9307732831747	-5.82461152273308	-16.723308011057	-2.01454789563031	-3.46819735736922
LV7008886726	-1.60303828222409	-5.56387024936308	-5.91531109524766	9.32878683799903	6.27782391731425	-2.96928146319937	-3.18454846073765
LV7008886702	-1.59180487851714	-1.35607810243542	4.05485628673338	-3.19072141718458	7.71348444867877	24.3644250623668	-2.99245963031655
LV7008886763	-0.784991247919889	-6.26941022052013	-11.0967531148477	-7.55664001974151	-8.13108489161638	17.7301500572602	-3.46819735736922
LV7008886739	-3.07994259963061	46.5025469702177	19.0052209234024	11.9356487925303	14.6409437644812	8.86472554105134	0.133006881618602
LV7008886715	-2.02705382466046	8.67221431464133	13.0911495200361	-0.850230708587337	8.65924894318327	-0.99709230051962	21.5617144133416
LV7008886226	2.29502417578736	-4.60590879215909	-3.30134099593924	-6.22689594492092	2.54748145389917	-1.45633071817098	-2.57259165131836
LV7008886752	-1.13859068544349	-5.85609408640029	2.97819184019252	-6.9579852745948	4.51182035061742	-2.75983499871647	2.95941853057865
LV7008886728	-0.941809762588723	-5.93298084132401	1.59604185611747	-7.13794312599214	2.74553010348916	-3.64374860043743	1.87998839106768
LV7008886704	-0.451109885910327	-6.90306406840293	-4.27496681730199	-6.24870836199387	1.23651780684577	-3.56112458052419	-2.41049308104661
LV7008886753	0.0903855887711538	-5.9324644112204	-10.65245807659	-5.11115113737217	-4.11213095230175	-3.53239757148639	-3.31965869455247
LV7008886717	-1.42079330399422	-6.23589993193093	-8.02164925294953	-4.33217938108872	0.331210464823628	-2.74332814237124	-2.43129828246611
LV7008886229	21.3319032651811	1.88331477936962	9.88918813752841	21.8597903686166	14.2657940439949	0.0366087131232962	-0.953055107918913
LV7008886766	9.40432216533352	3.37630525590937	8.34277223497692	29.1766511765072	13.4407409611014	0.309817496858112	-0.911065818703936
LV7008886742	19.5421422426199	7.47414959323099	12.4443591625224	21.1937407493957	15.4038301864932	0.751339643118743	0.774743208953075
LV7008886718	12.0700787665206	-1.95834885644274	4.49012579967892	7.969470341088	9.12762167596716	-1.74883233168863	-2.9770763923197
LV7008886755	25.9408300265547	-5.85427921207769	-3.41738640044804	7.6495238940378	8.19868353614585	-2.39537126219324	-3.46819735736922
LV7008886731	18.3690032202569	-6.12154457939861	-9.80772998251323	-4.90556072946579	3.02962577154967	-2.04912918463529	-2.96809027135431
LV7008886707	26.9013351884022	-5.50233908966099	-6.48698265524612	-0.272202215682657	6.73201647145504	-2.35005469580725	-2.48061341310804
LV7008886780	18.3819050986771	-2.33465151981272	6.4887595270561	15.924112608142	12.2072977635471	-1.63097453230836	-3.46819735736922
