sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	analysis_partition	harmonization_mode
LV3003047064	ST8	96.283	3.77264	6.64358420103273	-0.364432806474985	-0.741685855264688	-0.418620362653777	-2.31284501817379	-1.72659459411794	training	corewise_z
LV3003047079	ST8	97.52	3.8664	6.85473981358423	-0.256248754577576	1.02433181011101	-0.397600043341936	-0.509873834469937	-0.979767849010467	training	corewise_z
LV3003047078	ST8	98.757	3.80916	7.06589542613573	-0.364432806474985	-0.741685855264688	-0.418620362653777	-2.15651986268187	-1.63395696646198	training	corewise_z
LV3003047077	ST8	99.7145	3.801435	7.22934045363618	-0.328555692119018	-0.741685855264688	-0.3947845650611	-1.6178515832541	-1.31025102054961	training	corewise_z
LV3003047074	ST8	100.672	3.88392	7.39278548113664	-0.315198992243732	-0.741685855264688	-0.418620362653777	-2.33762974986261	-1.72659459411794	training	corewise_z
LV3003047073	ST8	101.685	3.8789	7.56570434574025	-0.364432806474985	-0.741685855264688	-0.418620362653777	-2.39729508038102	-1.72659459411794	training	corewise_z
LV3003047162	ST8	102.698	3.87396	7.78994871915485	-0.326075435314005	-0.741685855264688	-0.418620362653777	-2.11571898315516	-1.67811326471278	training	corewise_z
LV3003047063	ST8	103.695	3.9078	8.08727062917724	-0.364432806474985	-0.741685855264688	-0.418620362653777	-2.11547639226359	-1.52340245999756	training	corewise_z
LV3003047062	ST8	104.692	3.87156	8.38459253919963	-0.303859781557783	-0.741685855264688	-0.418620362653777	-1.64342554915709	-1.38550617997627	training	corewise_z
LV3003047061	ST8	105.689	3.95335	8.70043106924403	-0.364432806474985	-0.741685855264688	-0.418620362653777	-1.50098273443496	-1.44944618294773	training	corewise_z
LV3003047060	ST8	106.686	4.02744	9.16482148751936	-0.364432806474985	-0.609243327938158	-0.40092706453596	-1.02642427353121	-1.32003993695613	training	corewise_z
LV3003047059	ST8	107.683	4.08781	9.62921190579469	-0.364432806474985	-0.703766784310639	-0.418620362653777	-1.16364229903922	-1.29318030119951	training	corewise_z
