sample	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	MEgrey
LV3003047074	-0.0261152305579606	-0.0650349308829091	-0.0344572624621079	-0.188850019910797	-0.138559764877118	-0.0815224764262253
LV3003047073	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.193302851738248	-0.138559764877118	-0.0812405949836824
LV3003047162	-0.0268595800835835	-0.0650349308829091	-0.0344572624621079	-0.172288788853102	-0.134966073483329	-0.0807726306973981
LV3003047063	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.17227068426148	-0.123498094072433	-0.0805640830573054
LV3003047062	-0.0253392106734735	-0.0650349308829091	-0.0344572624621079	-0.137041464879022	-0.113276495761738	-0.0778604314415276
LV3003047061	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.126410938013998	-0.118016065431478	-0.076881638121928
LV3003047060	-0.0294846378201382	-0.0561218937369579	-0.0333050348407717	-0.0909945747702451	-0.108423793143808	-0.0737707911445913
LV3003047059	-0.0294846378201382	-0.0624830761669375	-0.0344572624621079	-0.101235174897208	-0.106432815523285	-0.076401005417264
LV7001898100	-0.0294846378201382	0.16426697741599	0.00100664220511802	0.05813141340136	0.0181633003625364	-0.00162339167387834
LV7001898088	-0.0230111039566915	0.121655932136842	0.0441091083919677	0.078956340609704	0.0833308966329836	0.0767586318168321
LV7001898076	0.235808658744812	0.0774594288361493	0.268035596196591	0.0963366108116928	0.107628868349596	0.202294256782443
LV7001898064	0.208544513213503	-0.0265158136091474	0.0245114785342798	0.0558452790078921	0.0594210585696037	0.0264290337796992
LV3003061546	0.268801399908015	-0.0626310090803636	-0.0172107043439847	-0.00562848008880192	-0.0243769952119125	-0.030125743704904
LV3003061533	0.286370291361149	-0.0458943327739494	-0.0172847432166254	0.0288725849692501	0.0203642207773902	-0.00548471242158411
LV3003061518	0.0362036743886866	0.0433284688032322	0.181788675688614	0.0811866493697218	0.0899431816725352	0.131936736276379
LV3003061506	0.13429743184523	-0.0505996338610516	-0.0244269879037438	0.0234345225494143	0.0187562798092578	-0.0267143029290813
LV3003061492	0.152090546585632	0.0344621370383778	0.29024526687738	0.0969083737295054	0.110977062097174	0.210696658295574
LV3003061477	0.0347576710974283	0.0442749795651859	0.292672410996639	0.0950586612627899	0.110407782323581	0.182594503871419
LV3003061572	0.0629363155764727	0.0123181373156194	0.268474325675813	0.0897292055952054	0.105960342087963	0.165075230729531
LV3003061559	-0.00895028913280416	0.0111380447062955	0.0110440240781375	0.0546924815569752	0.0697839499641175	0.0656937374384197
LV3003061545	-0.00893658366093885	-0.0212477435926386	0.0472557468891105	0.0597778635742773	0.0757857372904058	0.101682110123347
LV3003061531	-0.0048483565966994	0.0386099069416013	0.0492976818465058	0.0661490241567008	0.0772385920950306	0.13799242926383
LV3003061517	-0.0190580120938386	0.0826384669391798	0.0637769086386049	0.0693266439605157	0.0794121584179273	0.112282319577702
LV3003061505	-0.0241833743693375	-0.0411839074137145	-0.0168689501231897	0.0387039295429549	0.050807727292025	-0.00445879689175399
LV3003061488	-0.00948699844708213	0.0125653946798875	0.0388926033475401	0.0639588719595426	0.0748092240441405	0.106136496788661
LV3003061476	-0.0245057075242632	0.0451998072156879	-0.0221764599797175	0.0428783114635141	0.0606739232898535	0.0399851256347269
LV3003061571	-0.0102418558345727	-0.0590634104181519	-0.0233297908132677	0.0342464670864604	0.0386079035960048	0.0149018901087094
LV3003061558	-0.0251376176618822	0.0128105797550432	-0.0148557169563813	0.0512466768169018	0.0598927641806717	0.0336658184199694
LV3003061544	-0.0262130133110364	0.0130015595877525	-0.0245378983342604	0.0413251932415735	0.0536852424532563	0.00470723440908216
LV3003061530	-0.0294846378201382	-0.0208762655058326	-0.0319759019926315	0.0191439608198997	0.0141638413216736	-0.0371449939382693
LV3003061516	-0.0294846378201382	-0.0304628327273607	-0.0315514476293029	0.0321687815341111	0.0315373592183798	-0.0239576605755024
LV3003061504	-0.0294846378201382	-0.0357329557243163	-0.0344572624621079	0.0264259007638914	0.0315280877485515	-0.0230941973657645
LV3003061486	-0.0294846378201382	-0.0604210778063715	-0.0344572624621079	-0.0121011194812026	-0.045150735606804	-0.054426941931197
LV3003061475	-0.0294846378201382	-0.0208591850194658	-0.0327537161064684	0.024771585189109	0.0209242158965332	-0.0239893630461635
LV3003061570	-0.0294846378201382	0.0745900712741693	-0.0309066450451485	0.0464717553055007	0.0474498129854237	0.0102144398445915
LV3003061557	-0.0294846378201382	0.0972170093125088	-0.0317703041702813	0.0276883363932153	0.0339567850220256	-0.00756466812871578
LV3003061543	-0.0262479713921209	0.107245441789053	0.0273049405212571	0.0654505139370188	0.0724281515783218	0.0933093767403348
LV3003061529	-0.00179326524186855	0.116053570932994	0.0818267837314953	0.0754115024334235	0.0807473252526274	0.105030671777242
LV3003061515	-0.0248227741431688	0.188198756710193	0.0914599833934008	0.0829965035482822	0.0807783425546786	0.16073437574506
LV3003061503	-0.0258600892212074	0.116002874693104	-0.00156700667381895	0.0727172816410922	0.0606025659289599	0.0781115902499224
LV3003061485	-0.0275156812431581	0.161018282130132	0.0716874201234463	0.0852871905624677	0.0770327854941252	0.144533141448549
LV3003061474	-0.0294846378201382	0.0837951751044906	-0.0286441432508738	0.0509852170103715	0.0430504648077243	0.030867388231237
LV3003061569	-0.0280043141204833	0.135804520280511	-0.0245155810227463	0.0564040321948224	0.0501591903647178	0.0403224439928141
LV3003061556	-0.0294846378201382	0.0886773634254258	-0.031651772233751	0.0321503852849325	0.0132245974542619	-0.012935327641767
LV3003061541	-0.0294846378201382	0.0437198224745684	-0.0303376915662331	0.0458861098353244	0.0358345092517145	0.00442834799752623
LV3003061528	-0.0294846378201382	0.147738029715511	0.0203475491454195	0.0696034290728546	0.0639820018435319	0.0873816790956355
