sample	MEpink	MEbrown	MEmagenta	MEblue	MEred	MEturquoise	MEyellow	MEgreen	MEblack	MEpurple	MEgrey
LV3003047064	0.0220362756759998	0.025761522533154	0.016235032869916	0.0223460879250574	0.0410658009565703	0.048064186036701	-0.00813433501959976	-0.0816159702053303	-0.171343067471609	-0.035440624018977	0.0309524448988726
LV3003047079	0.0821624101065672	0.0717600973017252	0.0536222475760726	-0.013029072093142	-0.0188955014593543	-0.0380437134558019	-0.040255367448861	-0.0895558045217522	-0.0488945020090991	-0.0238673326881904	0.00503054224807455
LV3003047078	0.0390443871156515	0.037601875774618	0.0241353784879224	0.0313290774243107	0.0550885816318962	0.0694667513263106	-0.000622386901859502	0.00607422428891708	-0.0830632911368992	0.0186681592322771	0.0275611606591337
LV3003047077	-0.00281526450304308	0.00884644880304642	0.00393514970207589	0.0093039788439197	0.0192340264577888	0.0186578369020097	-0.0198295302273249	-0.0136716628671581	-0.104964968118226	-0.119681459106942	0.00778217178344193
LV3003047074	0.0563363995824625	0.0497614407621535	0.0322487146365205	0.0455523102347385	0.0694894115269422	0.0914463222252273	0.00709208068689322	-0.00733951727093122	-0.0526774234633202	0.0742356961902151	0.0358983149010569
LV3003047073	0.0767338079888661	0.0638627721364849	0.0416576730737673	0.0529964145471017	0.0861899164071404	0.116935820659501	0.0160384750650683	0.0331666882795171	0.0170454627958252	0.138676838048704	0.0429228205745656
LV3003047162	0.0171639174870458	0.0226959569142322	0.0141895678900919	0.0250415828945954	0.0374351867811908	0.0425228844411715	-0.0100792406665213	-0.0629821023230056	-0.159653997080995	-0.0494498366019142	0.0258325290303697
LV3003047063	0.0166155352225272	0.0227009341769697	0.0141928889139716	0.0189516889180236	0.0374410814586813	0.0425318813172386	-0.0100760829111157	-0.0219319632052988	-0.163924765736266	-0.0494270911968441	0.018402031902831
LV3003047062	0.000251221066015974	0.0112103820000097	0.00652594421321565	0.0206970905194544	0.0238325775796217	0.0225100457399609	-0.0173661045884452	-0.0237223099176409	-0.0650029464372475	-0.101937331769995	0.0100785283966392
LV3003047061	0.000153612806155793	0.0111885914792737	0.00651140472765302	0.0100346030637926	0.0238067706052138	0.0229675312678531	-0.0173799292825138	-0.0423693212876516	0.0275284178118213	-0.102036911448015	0.0123011109766396
LV3003047060	0.0089426264871297	0.00686257835074191	0.00362491999476947	0.00466953328111285	0.0186833817955333	0.0154541639290007	-0.0201245083939201	-0.0287331109808195	0.130998231738636	-0.0235154608781102	0.0130820274394964
LV3003047059	-0.0207209183260429	-0.00398715835338776	-0.00497932663047537	-0.00251575508208899	0.00341120648370606	-0.00806945054777262	-0.0283057522744113	-0.0674774105102179	0.0117070380316472	-0.129505321009532	0.0178848850440293
LV7001898100	0.0920161518590952	0.0897880061842217	0.124190833617253	-0.0793415685440808	-0.104624101565585	-0.106460754750121	-0.0786201789899708	-0.192491634281295	-0.214302498184314	-0.135839432218955	-0.0591074890770263
LV7001898088	0.0359386303509335	0.0570804160021019	0.0286851335081457	-0.0747468597943759	0.010950520313882	0.00438950111859013	-0.0500496394561654	-0.0230409843630957	-0.0941874194675058	-0.070544821865361	-0.0646285112702743
LV7001898076	-0.0122506678802078	-0.0162238959481623	0.0055909624610895	0.211956700455748	0.310264210624449	0.215161264064847	-0.0495553323577041	0.013730795844993	-0.0250418750825973	-0.0283770722307912	-0.0604680918957188
LV7001898064	-0.0845565614699231	-0.063391243268479	-0.0394083724410688	0.202847667539074	-0.0304271294000071	-0.00220647203857319	-0.0602249452445332	0.00772528915060741	-0.0196838285259145	-0.019741150018462	-0.0371960052404237
LV3003061546	-0.0905653050636073	-0.0553713229578874	-0.0333682108660484	0.268629234151961	-0.0549265167905378	-0.0737525788119726	-0.0612531152791065	-0.0897019834821201	-0.0832623207746439	-0.116840470430598	-0.0160906248012902
LV3003061533	-0.0901856808509648	-0.05862917445468	-0.0383850512291923	0.287450681374235	-0.0112035709335297	-0.0567975810194276	-0.0626282227254894	-0.0170018254549592	-0.0337718321533542	-0.0260156577141963	-0.0224347002089113
LV3003061518	-0.0339627535408084	-0.0306078498333623	-0.034615495893508	0.0166013089022795	0.19278639768431	0.156916611474817	-0.0208966697329354	0.039197950161617	0.0110032202755528	0.0160996002583173	-0.0435581541841022
LV3003061506	-0.0766947698536735	-0.0503324074033115	-0.0345378058850292	0.13176845766753	-0.036681193792381	-0.0498569255420387	-0.0532230283374256	0.0182090007322678	0.0171894527130377	0.0114824364952676	-0.0362386089115054
LV3003061492	-0.0578197661125837	-0.0512313397224034	-0.00274467551875988	0.12559403219139	0.342114073325139	0.239813056003603	-0.00274161218841294	0.0263644432558465	-0.0194797706214034	-0.0209898858951099	-0.0541612170547753
