sample	MEblack	MEgreen	MEpink	MEyellow	MEred	MEturquoise	MEmagenta	MEblue	MEbrown	MEgrey
LV3003061515	0.0122483106381274	-0.0268625578876197	0.136493651751398	0.283365480326745	0.162747002691911	0.0894441593516923	0.0845702292386376	0.0795711542638285	0.126358724378153	0.0125335861103117
LV3003061503	-0.0194568029631531	-0.0316095710589012	0.0897724899967063	0.100448246317889	0.104027315828609	0.00765871128014225	0.0864349806708729	0.0591191273149442	0.0840311398088708	0.0115918510726084
LV3003061485	-0.0320596765057751	-0.0308463591983044	0.119981200794095	0.18527224462144	0.162979009566236	0.0749260475556185	0.0760134019948527	0.0832582612558317	0.115039874828094	0.0241057874986401
LV3003061474	-0.0464924135286784	-0.0299934532488886	0.0563775699706952	0.0372094166131108	0.0300869462680221	-0.0230183687530208	0.0538142074026463	0.0352303607010712	0.051970312593115	0.0253434651138148
LV3003061569	-0.0548393337854217	-0.0341591796237999	0.0810081653812116	0.107499119715168	0.0790275053503646	-0.0212962367233113	0.050955998407285	0.039220887944001	0.0660028447527682	0.0380466376323872
LV3003061556	-0.0403566608518072	-0.0364917447893579	0.0551905778645663	0.0405224309071838	-0.0236691590026864	-0.046990098003338	0.0220433750806311	-0.00449830273319398	0.0155233959988675	0.00914849276592123
LV3003061541	-0.0379325952132266	-0.0369872767904386	0.0515675176594779	0.00681915351729517	-0.0197715733398929	-0.040014749697743	0.0414260705556925	0.0307165640825474	0.0319980749236032	0.0536285226646759
LV3003061528	-0.0517828251504596	-0.0358894393454505	0.109410574108444	0.161592587096037	0.137748158875902	0.0170008260088914	0.0703988883677479	0.0571620464392718	0.0899365396780167	0.0343157367023738
LV3003061514	-0.0403759567457727	-0.0329543438386127	0.129082573001047	0.231597485006606	0.163539477654518	0.0643957687845382	0.0706405014039706	0.0667915602457555	0.118838848625842	0.0475343358827659
LV3003061501	-0.025933229045565	-0.036867440925256	0.0815934243437206	0.0613897926128179	-0.011418771082287	-0.0457752681080398	0.0237346284109119	-0.0309218791790096	0.032212011902706	0.0534395451173495
LV3003061489	-0.0334295602941101	-0.0354152309362249	0.0108835485948439	0.0132508056400913	-0.05423506175423	-0.0580252205823051	-0.0746952118516058	-0.162771106769578	-0.0890539324253278	-0.0164004969322737
LV3003061473	-0.0548393337854217	-0.035464806066055	-0.105293222419169	-0.0462387969872065	-0.0694382244532447	-0.061250908643247	-0.18163426485077	-0.155366173713482	-0.178232037807081	-0.0331058703206465
LV3003061568	-0.0548393337854217	-0.0380076982203977	-0.173379595341511	-0.0548873405002723	-0.0773520895674751	-0.0609545851000578	-0.263298515613642	-0.238112499016349	-0.250683807051323	-0.0340974494713078
LV3003061555	-0.0548393337854217	-0.0380076982203977	-0.173379595341511	-0.0550001008569569	-0.0773520895674751	-0.0613315384652111	-0.222690976501113	-0.189954266142001	-0.213586419079102	-0.0346075194916236
LV3003061539	-0.0505842612300587	-0.0365072939909785	-0.0246797758652899	-0.0462687668582866	-0.0695128630679028	-0.0419892536194698	-0.134307806664446	-0.00712379728998533	-0.0328142617459748	-0.0349347044698866
LV3003061527	-0.0548393337854217	-0.0370886998108784	-0.173379595341511	-0.0560072323562718	-0.0773520895674751	-0.0618603430293269	-0.328975466269013	-0.246114121483779	-0.237562357800815	-0.035448137686281
LV3003061513	-0.0507372878969854	-0.0334426212317988	-0.0154666206597528	-0.0464929358706212	-0.0746248763465632	-0.044640442731888	-0.105451250053085	-0.0202217871256665	-0.0514002882426899	-0.0338540241096627
