sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	harmonization_mode
LV3003047126	ST8	64.210824	4.38529888	7.97137649847746	-44.1394192440055	-69.0375000167536	-62.7387579743112	-3.18503037917933	-12.2044389244694	corewise_z
LV3003047127	ST8	47.6248	4.423736	8.72209745713196	-41.7965107210435	-83.4772748841926	-64.7213235304665	-106.044286723908	-132.165144955627	corewise_z
LV3003047128	ST8	39.57797	4.55	8.83334865482924	-34.8533375911053	-83.4772748841926	-39.1145372482286	44.8857970193558	59.5548294540828	corewise_z
LV3003047129	ST8	36.0373	4.450373	9.19008638473871	-22.9428948987329	-83.4772748841926	-46.2180145306451	45.3881634047473	57.3001438269481	corewise_z
LV3003047130	ST8	31.936	4.60128	8.53983459962896	-41.7163288455042	-50.3274181088268	-56.831163269428	20.6377185064216	49.1306843733694	corewise_z
LV3003047131	ST8	28.2453333333333	4.74509333333333	7.95468779538517	-37.168053338102	-14.1834353354466	-59.5141892337441	83.1247171199757	52.5208868483024	corewise_z
LV3003047132	ST8	23.987	4.81065	7.67902444688563	53.9702703836987	19.866932326261	536.586390187012	206.955958128944	151.272813536246	corewise_z
LV3003047133	ST8	70.162	4.3038	9.41847614468938	-44.1394192440055	-14.1196292673252	-64.7213235304665	34.3753310047101	-9.29462843942531	corewise_z
LV3003047134	ST8	68.807	4.46035	8.5256420642359	-44.1394192440055	156.899345140399	-61.6819254459752	-3.44847064397049	-65.1598513084691	corewise_z
LV3003047136	ST8	67.8766	4.422468	8.08372539793979	-44.1394192440055	106.722213590016	-62.8348298017904	40.8433926217738	8.83386735916975	corewise_z
LV3003047137	ST8	66.9462	4.446994	8.05521044883768	-39.743816410304	-77.9593097473585	-62.1742484385463	-83.804054797623	-34.3380589032159	corewise_z
LV3003047138	ST8	66.0158	4.567946	8.02669549973556	-44.1394192440055	70.707322898363	-64.7213235304665	19.8901217956742	-44.1828572996279	corewise_z
LV3003047139	ST8	58.6141266666667	4.4531524	8.62798528680874	-41.7122678567014	-83.4772748841926	-59.9547542581106	-39.4779453045011	15.1122251719011	corewise_z
LV3003047140	ST8	46.0948	4.361896	8.58009723613548	-44.1394192440055	-83.4772748841926	-64.7213235304665	-259.241034637965	-134.898327507867	corewise_z
LV3003047141	ST8	39.15347	4.55	8.89722610078355	-44.1394192440055	-83.4772748841926	-64.7213235304665	-378.57421520007	-176.679963167605	corewise_z
LV3003047142	ST8	35.5823	4.487593	9.11794716980078	-36.6820046453532	-83.4772748841926	-54.7526339998732	-26.167316908214	32.047656818641	corewise_z
LV3003047143	ST8	31.398	4.61204	8.45453592350455	-38.5469022289089	-16.05489163837	-62.1847697884781	63.2538847509325	58.7571325176039	corewise_z
LV3003047144	ST8	27.729	4.75	7.87282431997209	-39.1031613070781	-43.2822056617597	31.8924331358257	113.782293664144	99.8277951448611	corewise_z
LV3003047145	ST8	23.446	4.8377	7.65168510703157	282.824333547964	-50.8196675257009	20.7615470476244	94.6046932076096	78.2809264182511	corewise_z
LV3003047146	ST8	63.2667	4.484661	7.94244093548725	-33.5367012076596	-55.5869769336816	-29.5506723506257	76.880068871989	73.97520490078	corewise_z
LV3003047147	ST8	62.3217	4.577481	7.91347852480206	-37.1727476060395	-74.5129921675394	-59.6490668620477	9.97556616431244	35.4155845122176	corewise_z
LV3003047148	ST8	61.3767	4.543903	7.88451611411687	-39.417628268696	-72.6757288161895	-59.885217563736	12.2854709289813	5.75535010303003	corewise_z
LV3003047149	ST8	60.4317	4.561147	7.85555370343168	-41.7631389704512	-65.3905624925093	-61.5897417903528	-12.9664786405011	-25.7221992994406	corewise_z
LV3003047150	ST8	59.5217933333333	4.51870486666667	8.44254713374637	-33.6285519038567	-71.9581451988536	-35.835760803325	44.9546243189739	73.380835124539	corewise_z
LV3003047152	ST8	45.00002	4.3300006	8.47849004532337	-41.9748145611878	-13.4396884307286	-61.860324222129	52.7824776761605	52.7807305089847	corewise_z
LV3003047153	ST8	38.71393	4.5099502	8.96336671938132	-41.5810050240361	-21.8547055381395	-60.0323070548468	76.8053048980547	66.4784867512849	corewise_z
LV3003047154	ST8	35.13012	4.5282892	9.04625505944773	-39.627576001741	-42.0989159557298	-64.7213235304665	43.394310180565	24.8944282430726	corewise_z
LV3003047155	ST8	30.9475	4.62	8.38311017332974	-41.6393365118569	-83.4772748841926	-61.6916224570885	-45.0388675084488	-30.7346076154458	corewise_z
LV3003047156	ST8	27.1996666666667	4.75	7.84137599187233	-35.2443607112492	-52.6403261280426	17.5002978979428	81.5407211569995	77.9702172375004	corewise_z
LV3003047158	ST8	57.70646	4.4723876	7.06485967649701	-39.7480980726355	-78.2585898660117	-55.4289222391162	-48.7449986799338	19.5168038659805	corewise_z
LV3003047159	ST8	56.7987933333333	4.41390346666667	6.86838342718166	-41.5737916035924	-30.9324001040906	-64.7213235304665	-0.748613977991547	-33.2932326501179	corewise_z
LV3003047160	ST8	55.8911266666667	4.34564506666667	6.67190717786631	-44.1394192440055	-83.4772748841926	-64.7213235304665	-401.984555231575	-173.108099089583	corewise_z
LV3003047161	ST8	54.98346	4.3111578	6.47543092855096	-44.1394192440055	-83.4772748841926	-64.7213235304665	-388.909277463288	-165.494563499693	corewise_z
