sample	MEblue	MEbrown	MEgreen	MEgrey	MEturquoise	MEyellow
LV7008886756	-4.22199483873379	-3.0253069097154	-0.740113232174506	-9.57604456782106	1.94952152720006	-5.88425276667012
LV7008886720	-3.37005259241028	-2.63081065279058	6.80756735306188	-3.70837341777286	3.22934136594555	-6.28034362057309
LV7008886228	-4.22199483873379	-2.74625769883528	-5.63292458983592	-14.8916312458324	-24.4544050508722	-11.0810424968476
LV7008886769	-4.03017867183389	-2.38771962096521	-5.63292458983592	-11.9828969456184	-19.2049154751496	-9.29333395409721
LV7008886745	-4.22199483873379	-3.0253069097154	-4.26151922982187	-12.4966169093968	-7.12383820371266	-6.16967255214768
LV7008886721	-3.50523147219839	-1.9921362523395	-1.23394154049383	-6.79189864112714	2.84962052032735	2.64605432819955
LV7008886782	-3.74791853119631	-2.8713133426452	-3.84407769226407	-5.67322319723847	1.62037736551032	1.86499385617038
LV7008886758	-3.94148900137074	-2.87771656898182	-5.63292458983592	-14.357264162343	-19.8776522794195	-11.3045335663727
LV7008886223	-4.22199483873379	-3.0253069097154	-5.63292458983592	-10.1258396731641	-9.62377928117371	-6.51549570470809
LV7008886710	-4.22199483873379	-2.74964690623076	-5.63292458983592	-12.9318532109149	-7.59425106686374	-8.49353489173225
LV7008886783	-4.22199483873379	-2.78047515026782	-5.63292458983592	-14.0815845830982	-13.8887631265969	-9.57800860920937
LV7008886747	-4.22199483873379	-2.85904135120728	-5.63292458983592	-12.4066921824272	-6.66577855495482	-6.45592100253836
LV7008886723	-2.13111697970109	-2.37445704542446	-2.00241848971067	3.78582199610093	3.98732941230787	3.17434298201943
LV7008886699	-4.22199483873379	-3.0253069097154	-5.63292458983592	-14.158948054347	-17.2956842306948	-11.1723169606885
LV7008886772	-4.22199483873379	-3.0253069097154	-5.63292458983592	-14.4416525738294	-17.1421054567841	-11.3676792903575
LV7008886748	-3.73282436830101	-2.73318118959349	1.13985808381248	-8.8043351920672	-0.464883670454428	-3.31571104905994
LV7008886712	-4.22199483873379	-2.73187371392827	-2.55545421039106	-11.4396931077884	-1.7618261852376	-6.44607687587451
LV7008867165	-4.22199483873379	-3.0253069097154	-4.52016085436424	-14.2088318268964	-17.7190753135144	-12.266182888307
LV7008867141	-4.22199483873379	-3.0253069097154	-5.63292458983592	-13.1148874339908	-15.2568777547447	-8.19674178000315
LV7008867117	-4.22199483873379	-3.0253069097154	-5.63292458983592	-14.9949684265945	-16.5330255937041	-10.4944532938988
LV7008867154	1.42254336294463	-2.14923914702261	-3.31747352610818	10.1325785218241	6.8965902476764	5.25347649328754
LV7008867130	-1.88756794273283	0.331200940353901	4.48448725598159	12.5701568637937	9.48722107660784	4.41758064328959
LV7008867106	-1.91911159943643	-2.01188913323755	3.00783701678701	8.10614677451337	8.37009515656819	4.72211076658295
LV7008867179	-1.9019898762611	-2.51603618570203	-0.599407167077131	6.41905024892066	7.56926779199385	3.93924797170747
LV7008867143	-2.98980477478258	-1.15094049638552	4.23891950147115	2.46941874594783	5.75495294822687	0.66644217107415
LV7008867119	4.48511422165937	-1.43247938673235	10.0225219808135	22.0328799009935	10.2589151465204	5.23522558814688
LV7008867168	-4.22199483873379	-3.0253069097154	-5.63292458983592	-15.2635221079832	-31.5010003126488	-13.4572192931288
LV7008867144	-4.22199483873379	-2.37695926893787	-5.63292458983592	-14.7817212715752	-27.3425904256425	-12.7721491666856
