sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	core_ord	state_inferred	state	harmonization_mode
LV3003047138	ST8	66.0158	4.567946	8.02669549973556	-31.2435674967365	96.0159207008309	39.4695119295975	1	4	4	corewise_z
LV3003047137	ST8	66.9462	4.446994	8.05521044883768	-130.186420966373	-14.9832663402056	-44.0295256564882	1	1	1	corewise_z
LV3003047136	ST8	67.8766	4.422468	8.08372539793979	22.9584730710797	124.696484477562	36.6234650631017	1	4	4	corewise_z
LV3003047134	ST8	68.807	4.46035	8.5256420642359	-27.1925981836179	138.777127300002	119.334687770391	1	5	5	corewise_z
LV3003047133	ST8	70.162	4.3038	9.41847614468938	-30.7048507150353	52.2379316347592	-42.8138515761544	1	1	1	corewise_z
LV3003047107	ST8	71.517	4.21483	10.3113102251429	-4.94431335256459	64.3238976181707	-44.438750740708	1	1	1	corewise_z
LV3003047125	ST8	72.872	4.22744	9.79667019017442	-192.684701713272	-4.03431194835757	31.0182162315725	1	2	2	corewise_z
LV3003047124	ST8	74.227	4.01184	8.74840765343023	-295.393997196118	-59.9735517157664	48.8262208907551	1	2	2	corewise_z
LV3003047123	ST8	75.589	4.01479	7.91867251010661	-338.504923893701	-71.2315840169932	71.7095759204838	1	2	2	corewise_z
LV3003047122	ST8	76.951	4.07902	8.14654944891421	-296.097434194962	-58.7583750137114	47.2876645496359	1	2	2	corewise_z
LV3003047093	ST8	79.675	3.94875	8.33291896762292	-18.6194102094345	117.04602324666	64.20486185732	1	4	4	corewise_z
LV3003047106	ST8	81.06375	3.818725	7.9892783476803	-174.537867471916	3.57591646821949	24.6638134509018	1	2	2	corewise_z
LV3003047105	ST8	82.4525	3.813575	7.94999819731899	-309.140949922213	-58.9956839749876	60.5770560022156	1	2	2	corewise_z
LV3003047104	ST8	83.84125	3.8215875	8.14686985631632	-295.004797075233	-52.9406423435986	55.8405263406951	1	2	2	corewise_z
LV3003047101	ST8	85.23	3.9753	8.34374151531365	-108.623054562418	20.4081278049829	-11.8220856199501	1	4	4	corewise_z
LV3003047100	ST8	86.61175	4.13341	8.5396208419164	-20.827397942758	104.277157537455	49.2670397697559	1	4	4	corewise_z
LV3003047080	ST8	87.9935	4.110455	8.44662940914954	-17.3009959672218	75.7327649473156	-14.5385027008613	1	4	4	corewise_z
LV3003047091	ST8	89.37525	4.072495	8.08112030852452	-116.03494177329	62.8915593469427	73.0064166346514	1	4	4	corewise_z
LV3003047090	ST8	90.757	4.03729	7.7156112078995	-283.639607384088	-43.1579418038357	61.3284979084246	1	2	2	corewise_z
LV3003047089	ST8	92.1385	3.96892	7.35016823882878	-264.498091991245	-3.80886563709991	121.310681459232	1	2	2	corewise_z
LV3003047088	ST8	93.52	3.8688	6.98472526975806	-315.26341683347	-45.9805197017615	92.3994125338867	1	2	2	corewise_z
LV3003047087	ST8	94.9015	3.776895	6.61928230068734	-286.72403083904	-48.6894011530236	55.4474155611011	1	2	2	corewise_z
LV3003047064	ST8	96.283	3.77264	6.64358420103273	-402.663891928052	-92.1466434761823	105.722244509905	1	2	2	corewise_z
LV3003047079	ST8	97.52	3.8664	6.85473981358423	-140.549868306452	54.073760604359	109.668242298655	1	2	2	corewise_z
LV3003047078	ST8	98.757	3.80916	7.06589542613573	-383.044050504737	-86.2291703738619	94.6341712104817	1	2	2	corewise_z
LV3003047077	ST8	99.7145	3.801435	7.22934045363618	-312.912046647193	-69.4403277811302	58.1486476725969	1	2	2	corewise_z
LV3003047074	ST8	100.672	3.88392	7.39278548113664	-403.610585256643	-96.5347173789407	108.908564366968	1	2	2	corewise_z
LV3003047073	ST8	101.685	3.8789	7.56570434574025	-410.52503369702	-94.967656127558	109.518624989476	1	2	2	corewise_z
LV3003047162	ST8	102.698	3.87396	7.78994871915485	-380.601908924022	-87.9714199334842	96.3498947782286	1	2	2	corewise_z
LV3003047063	ST8	103.695	3.9078	8.08727062917724	-373.175136704325	-84.0281080205667	87.9431324557996	1	2	2	corewise_z
LV3003047062	ST8	104.692	3.87156	8.38459253919963	-320.015760597137	-71.6042826219116	63.2274318993404	1	2	2	corewise_z
LV3003047061	ST8	105.689	3.95335	8.70043106924403	-311.928134382697	-62.9459987869103	57.0773496421534	1	2	2	corewise_z
LV3003047060	ST8	106.686	4.02744	9.16482148751936	-256.02005725271	-40.2107874100117	38.8361062387386	1	2	2	corewise_z
LV3003047059	ST8	107.683	4.08781	9.62921190579469	-270.918702330952	-48.5903964490037	37.4852498019898	1	2	2	corewise_z
LV7001898100	ST13	5.659	3.30613	6.37410536713431	155.941592355373	169.042797810926	68.2684925481637	2	5	5	corewise_z
LV7001898088	ST13	6.031	3.33124	6.31439442739767	259.845636662754	133.633642112041	-19.7520103228344	2	4	4	corewise_z
LV7001898076	ST13	6.429	3.34716	6.25051014241062	512.631196315061	-217.39010989708	85.9902570296722	2	3	3	corewise_z
LV7001898064	ST13	6.808	3.36232	6.18967560972194	213.182892054973	-173.611908755561	3.1086752843243	2	3	3	corewise_z
LV3003061546	ST13	7.197	3.37985	6.14534613060279	24.1297462572041	-274.320705106449	102.183513833681	2	3	3	corewise_z
LV3003061533	ST13	7.912	3.4156	6.23449698261132	129.872368918064	-253.890817496718	66.8875500546457	2	3	3	corewise_z
LV3003061518	ST13	9.804	3.49256	6.47040385254158	342.494271909926	-34.9908467301726	-36.4263808596601	2	3	3	corewise_z
LV3003061506	ST13	11.95	3.904	6.73798109507347	63.4260987844024	-124.171537155982	-10.4428419002636	2	3	3	corewise_z
LV3003061492	ST13	14.437	4.37177	7.04807643625558	486.070453233794	-183.192520536526	8.40236931878916	2	3	3	corewise_z
LV3003061477	ST13	16.726	4.84438	7.31209108888136	448.724887133162	-76.5812962127314	-40.5830774680672	2	3	3	corewise_z
LV3003061572	ST13	19.099	4.96297	7.43201022654066	419.580055325263	-114.30825772906	-50.7612146893812	2	3	3	corewise_z
LV3003061559	ST13	21.069	4.90793	7.53156383007576	154.385510963194	48.4181478209292	-84.7118142241463	2	1	1	corewise_z
LV3003061545	ST13	23.172	4.8514	7.63783856522009	177.351482199925	12.7427367423505	-113.432929596112	2	1	1	corewise_z
LV3003061531	ST13	28.445	4.7411	7.98634449117112	213.140211744886	51.9257282454825	-66.0061415336697	2	1	1	corewise_z
LV3003061517	ST13	30.678	4.62	8.34038156140496	240.218861423119	88.793791091106	-37.0971575524797	2	4	4	corewise_z
LV3003061505	ST13	32.81	4.5838	8.67840531139984	71.4024677066109	29.044404391522	-116.325442548596	2	1	1	corewise_z
LV3003061488	ST13	35.041	4.53631	9.03212528618341	190.148744072071	42.0659470626231	-89.004036615397	2	1	1	corewise_z
