sample	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	nondmg_total_reads	nondmg_n_taxa	core	age_kyr	state	state_label
LV3003047087	-84.6271102481542	-13.8155105579643	0	-11.3293123907752	-1.76733710576635	-0.85545112297323	ko	67	62	33	52	0.972273624955293	0.537577557653133	0.8088544015426	64307	67	ST8	94.9015	2	IG-E
LV3003047088	-102.42091826708	-13.8155105579643	0	-11.1535514640623	-1.67930706510873	-0.90016101092066	ko	66	58	29	47	0.962745098039216	0.492915279319275	0.793636699963004	54060	66	ST8	93.52	2	IG-E
LV3003047089	-132.2761125039	-13.8155105579643	0	-1.94480678367932	-2.01892178013718	-0.857327497144962	ko	80	74	40	59	0.988559545427919	0.552064905395115	0.84698611680628	170710	80	ST8	92.1385	2	IG-E
LV3003047090	-127.469443920894	-13.8155105579643	0	-3.30800740162458	-0.453937953903643	-0.760687153820199	ko	76	72	38	55	0.994361111258187	0.608428153144806	0.886062679028099	188867	76	ST8	90.757	2	IG-E
LV3003047091	-174.969891478365	-13.8155105579643	0	-10.5173636917896	-0.580112942886543	-0.994781993790775	ko	76	69	33	55	0.979658487155612	0.42902722243523	0.782432765514597	146056	76	ST8	89.37525	1	IG-D
LV3003047093	-163.603970904593	-13.8155105579643	0	-10.9513173610207	-1.30546127345828	-0.86401420174238	ko	128	118	63	91	0.987201619345492	0.494435192331126	0.841633155963551	295428	128	ST8	79.675	1	IG-D
LV3003047094	-27.6656153292867	-13.8155105579643	6.50942046941298	-3.62932656171188	-1.66025012771723	-0.575746460871972	ko	207	170	108	134	0.969669275738944	0.640980049611748	0.86119279572767	482547	207	ST8	50.6848	4	IG-B
LV3003047095	-45.3392174557812	-13.8155105579643	7.05943561668749	-3.16888399335921	-1.57941887099832	-0.609585821840671	ko	181	156	89	119	0.983657791643673	0.587224010097092	0.846450992498211	366046	181	ST8	40.9751666666667	4	IG-B
LV3003047096	33.5722301902188	-13.8155105579643	6.84634432015269	-1.86125145510169	-1.54342382634492	-0.411438621928468	ko	247	221	139	171	0.986861854862769	0.705502312052506	0.877738570256563	429056	247	ST8	36.89377	5	G-A
LV3003047097	-111.794456327798	-13.8155105579643	5.97689753983261	-2.42112757429164	-0.384121985816372	-0.839499194807958	ko	234	194	125	153	0.840892366618066	0.51435858292693	0.723480156680638	437578	234	ST8	32.835	5	G-A
LV3003047098	-119.982864296102	-13.8155105579643	6.09530066663175	-1.99517197905065	-0.399970059807471	-0.81059958805978	ko	198	165	105	133	0.847053041824166	0.517332603093414	0.746597782874244	408998	198	ST8	29.278	5	G-A
LV3003047099	-102.2274152274	-13.8155105579643	6.96484393991911	-2.28787121744991	-1.05806347770815	-0.43496747484874	ko	192	176	110	141	0.983906380294139	0.593205887772534	0.87947431048537	320189	192	ST8	25.058	3	IG-A
LV3003047100	-132.296153868073	-13.8155105579643	0	-10.1491620269034	-1.00150669090618	-0.748022041974726	ko	130	112	58	81	0.986796855677309	0.582093275837966	0.826234232684181	464965	130	ST8	86.61175	1	IG-D
