taxon	n_samples_non_damaged	total_reads_non_damaged	has_comp	has_ko	oap_v3	n_classes	dominant_class	o2_eff	so4_eff	ch4_eff	no3_eff	has_oap	light_filter_rule
S__GCA_016188905.1	4	779	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016189835.1	9	1779	TRUE	TRUE	276.183486238532	4	NO3	0	0.333333333333333	0.4	0.75	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016189845.1	3	344	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016189945.1	1	100	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016189965.1	59	66183	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190025.1	49	23426	TRUE	TRUE	66.5	2	ANX	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190055.1	1	141	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190155.1	8	1199	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190175.1	18	4043	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190405.1	106	119498	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190445.1	25	6369	TRUE	TRUE	518.6	3	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190485.1	13	2957	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190505.1	6	1030	TRUE	TRUE	666.666666666667	2	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190535.1	3	331	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190585.1	1	111	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190695.1	1	128	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190895.1	2	285	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016190945.1	44	29333	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016191085.1	3	876	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
