sample	MEbrown	MEgreenyellow	MEblue	MEgreen	MEred	MEtan	MEmagenta	MEpurple	MEpink	MEyellow	MEblack	MEturquoise	MEgrey
LV3003047150	-0.0434895335324189	-0.0757223844524664	-0.0776679891585719	-0.0787223035530866	0.00872895029380502	-0.0196629875889029	-0.103684694898387	-0.0980773506300497	-0.0913882259773065	-0.078573007568756	-0.0999993182114206	-0.0943301926936893	-0.121808737948097
LV3003047149	-0.0159681471917179	-0.057067042758291	-0.0445965382431782	-0.0711895750724965	-0.0629151749721797	-0.0650734100836622	-0.0633305439172551	-0.039579010507631	-0.0294384046962387	-0.0290749241181171	-0.0296959676307589	-0.0350287243157529	-0.0536361750830623
LV3003047148	-0.0682322170744629	-0.109187218465937	-0.0992629109357276	-0.115379350037132	-0.0832622518274118	-0.106860634911874	-0.103692838020888	-0.0908281961556657	-0.0821432451854411	-0.080393437034665	-0.100349369189816	-0.100776224850077	-0.124301529591464
LV3003047147	-0.0374182117965083	-0.0575364040861671	-0.0702597549009278	-0.0782423954161363	-0.0311195560650673	-0.0757096645096102	-0.0804320452530156	-0.0741116434043254	-0.0601852993246183	-0.0571928919232656	-0.067811565019251	-0.069911888088329	-0.0972393510654283
LV3003047146	-0.0225938931830704	-0.0449774996130976	-0.0698285518724801	-0.0375266956733743	0.0190293805090985	-0.0183996092624803	-0.0851751811508175	-0.0900600545928078	-0.0869875630980425	-0.0734521247256611	-0.0892893183808594	-0.0836379311267784	-0.108720204818568
LV3003047126	-0.0428573158613786	-0.0996418672037846	-0.0790562172329027	-0.0981229261210159	-0.0864563516489641	-0.0926392536261127	-0.0837191831845377	-0.0737951576118747	-0.0640254427126606	-0.0617304736874814	-0.0702769717109314	-0.0731580121272089	-0.104285201101626
LV3003047138	-0.0278555523870403	-0.00341278603398542	-0.0711974294126348	-0.0744698653516479	-0.125427604034075	-0.0837334196186624	0.0340202092794299	-0.019414210597778	-0.050500425437661	-0.0481193588942242	-0.0576077183497346	-0.0550834267011623	-0.066617125580815
LV3003047137	-0.106457566454445	-0.100316501612758	-0.077310602735768	-0.100991696507755	-0.0749021242414077	-0.0557554862446044	-0.0857495700594031	-0.0713055201408556	-0.0587276013347383	-0.0553815202583893	-0.062448418054822	-0.064937678760944	-0.0855237006155688
LV3003047136	-0.0332247514198399	0.0102970072499287	-0.0870001251790319	-0.07936220672088	-0.0860566432240721	-0.0996617790484948	0.0559876806751619	0.00514923749108436	-0.0702601412277139	-0.0655745471579187	-0.0811885977321454	-0.0767546605174296	-0.0882574564524261
LV3003047134	-0.0160305990288829	0.0670501253468514	-0.0512863886202031	-0.0445533698646952	-0.12132991647801	-0.0635505193419726	0.110282511926734	0.0742652054236728	-0.0182410818266477	-0.0305579819366388	-0.0352020506459134	-0.0155179458586811	-0.0352259175812409
LV3003047133	-0.0686117324386762	-0.0698794452032867	-0.114749695774237	-0.124808613104978	-0.132588081804204	-0.115328009068377	-0.0452517837085928	-0.0990062180841061	-0.0936530193956918	-0.0924550458505042	-0.107861907308735	-0.110377607530849	-0.120595472480664
LV3003047107	-0.0352537275822465	-0.018761678653135	-0.0899366874163291	-0.0979716794940506	-0.07213454470946	-0.102457566872883	-0.0216017531105987	-0.0805524477104335	-0.0687330461071466	-0.0711756073854314	-0.0847489450995384	-0.0807081241462645	-0.0981744741937588
LV3003047125	-0.0536466555981698	-0.0637659142249401	-0.0237110548420702	-0.0490745748296211	-0.101634200925999	-0.0362104400108514	0.00141717249167639	-0.00654783809427473	0.00892111809537436	-0.00367237961870989	-0.000385324347250285	0.0029071740578823	-0.00802207279402621
LV3003047124	-0.108323527403226	-0.0567715493728301	0.0201077546579818	-0.0140487944442641	-0.0636648781076749	-0.00178603740239143	-0.010767169119193	0.0274316939277273	0.0519327029317556	0.0337770656497236	0.0512356875268719	0.0500044919819619	0.0462035956554092
LV3003047123	-0.059024342706208	-0.00390849174171892	0.0920836858037533	0.0449614983028773	-0.00353367542027835	0.0619502459873903	0.0461466123273887	0.098445396739262	0.130379765584599	0.094764156928065	0.127845497796074	0.136194609684971	0.133574157446209
LV3003047122	-0.101711140028339	-0.0669423785018229	0.0204223681020268	-0.0125479562237797	-0.053818304508303	0.00191831016030408	-0.00745934480982591	0.0315590045102905	0.0563565301134198	0.0349605556162957	0.0481704330352131	0.0541829881995543	0.0424336992440927
LV3003047093	-0.0258955135328968	0.0147513201200714	-0.0729571600079862	-0.0716419468411892	-0.135259736193191	-0.0860938537514263	0.0715814386420838	0.0262093499311793	-0.0266706970364001	-0.0526183209789687	-0.0639102740013499	-0.0535245497815445	-0.0559211013127445
LV3003047106	-0.10819124273223	-0.147046534851887	-0.087682010031559	-0.0988043911994146	-0.147569630311206	-0.0902341919578203	-0.0366733600117125	-0.066962236793483	-0.0388118691254484	-0.0570936660413676	-0.0691828637539271	-0.068691724825151	-0.0730920675847869
LV3003047105	-0.0950583055043893	-0.0594602207826469	0.0294938004052744	-0.00407510784439548	-0.0571769944390196	0.0107627948519135	0.00429586480423511	0.0414133539327391	0.0676755442348351	0.0429458815754351	0.0594336045509576	0.0657910179548952	0.0601012958101738
