sample	MEpurple	MEmagenta	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV3003047087	-0.0207201941208635	-0.0405684049332476	-0.0500930374642046	-0.0326542254203802	-0.0494790801280516	-0.111220713523372	-0.116487490770477	-0.0653174018529304	-0.0382562334269976	-0.0673859459051608	-0.0273850285481396
LV3003047064	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0323672272286448	-0.0494790801280516	-0.128514374745165	-0.193631104056758	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.0206425100777206
LV3003047079	0.131122311327353	0.0062386069595524	0.0861333608109111	-0.020448940679184	-0.0494790801280516	-0.0824966770623504	-0.0508420041982766	-0.0293854316455606	-0.035542837270973	-0.0694782653328122	-0.0193735720348681
LV3003047078	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0327677654223249	-0.0494790801280516	-0.128514374745165	-0.190601406743187	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.029440234927016
LV3003047077	-0.0267369105143155	-0.0405684049332476	-0.0681112431384553	-0.0277310270030149	-0.0494790801280516	-0.111065301968028	-0.142840759141771	-0.0653174018529304	-0.0357295611306336	-0.0644364720073407	-0.0243572172039889
LV3003047074	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0313346274905051	-0.0494790801280516	-0.128514374745165	-0.193351014989575	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.0302605597065647
LV3003047073	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.033710323713843	-0.0494790801280516	-0.128514374745165	-0.193890027163501	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.0310452017423773
LV3003047162	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0271487959966287	-0.0494790801280516	-0.128514374745165	-0.188294489732107	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.0203106320553902
LV3003047063	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0316843437457365	-0.0494790801280516	-0.125421819228755	-0.18477681776332	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.0275625473847351
LV3003047062	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0218249494870389	-0.0494790801280516	-0.116743191683392	-0.149518775812521	-0.0653174018529304	-0.0382562334269976	-0.0663092939942491	-0.0260034781603211
LV3003047061	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0310782927965288	-0.0494790801280516	-0.12667863954976	-0.122721081598101	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.0256858754959073
LV3003047060	-0.030144775975999	-0.0405684049332476	-0.0547128275070235	-0.0327154212580841	-0.0494790801280516	-0.125184255567656	-0.0662347336110327	-0.0653174018529304	-0.0370667871970381	-0.0670107340386872	-0.0221234380051334
LV3003047059	-0.0248472936468618	-0.0405684049332476	-0.0641304415460389	-0.0327399002440252	-0.0494790801280516	-0.121790343599186	-0.0866930308206187	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.00727515641123132
LV7001898100	0.126438108231025	0.136595901429652	0.147531286245963	-0.0295691327375394	-0.0436198260317213	0.00286063386047796	0.0181740498388769	0.0892548039605527	-0.0121604644055626	-0.0356487104566815	-0.031026269935642
LV7001898088	0.0899898763276832	0.05938237970917	0.0926639278911187	-0.0249710008291295	-0.0149621340768125	0.0549303393896521	0.0396181014326033	0.0899475501179737	0.0375529956684393	0.0969937347957028	-0.028942801078906
LV7001898076	-0.00806150032691371	0.0527855296569677	0.0352580415343859	0.172515642818561	-0.0158956734247057	0.0714082177390463	0.0352703832298839	0.157623696668824	0.257981202548336	0.150338491420894	-0.025431584302526
LV7001898064	-0.030144775975999	-0.0357687219299876	-0.0274317977314431	0.213657980419236	-0.0387551985984625	0.0607912647053516	0.0353924460782102	0.0659140745972462	0.0316796460644977	0.0385160142075813	-0.0141544224566103
LV3003061546	-0.030144775975999	-0.0246124663548846	-0.0657080570193411	0.304680228727374	-0.0494790801280516	-0.0288304103035844	-0.0122464216094699	-0.0580350843520539	-0.014334526888439	-0.041409466180686	0.000920444239960799
LV3003061533	-0.030144775975999	-0.0352166195636819	-0.0444992799288052	0.317099200673268	-0.0494790801280516	0.0243998633548658	0.0253688792789539	-0.0241862753998256	-0.0191552263692654	-0.00787256473970316	-0.00367450664211971
LV3003061518	-0.016389906512545	0.0138867638306595	0.0212150803961358	0.0356444873942753	-0.00837139971094528	0.0620828645986427	0.0382918024222866	0.129729584233547	0.186612787753563	0.138539899113679	-0.0236190366407982
