taxon	brown	green	blue	turquoise	yellow	grey	assigned_module	assigned_kME	max_bio_kME	max_bio_module	next_best_bio_kME	setting_id	module_type	assigned_is_max_kME	kME_margin	weak_assigned_kME	negative_assigned_kME	strong_hub	grey_rescuable	magenta	pink	red	black
S__GCF_002836775.1	0.397959342435961	0.122963679185649	0.518722007521409	0.453889333134596	0.141763606973433	-0.0523596884706815	turquoise	0.453889333134596	0.518722007521409	blue	0.518722007521409	exp3	biological	FALSE	-0.064832674386813	FALSE	FALSE	FALSE	FALSE		-0.000123437825199687	0.433441698497085	0.206923882840121
S__GCF_002943715.1	0.34335315393735	0.0809065599014707	0.626955897846916	0.785177449204768	0.195328133584759	0.0646003847286362	turquoise	0.785177449204768	0.785177449204768	turquoise	0.626955897846916	exp3	biological	TRUE	0.158221551357851	FALSE	FALSE	TRUE	FALSE		0.0663106263351828	0.481945603413274	0.504407481759692
S__GCF_002954445.1	0.222678489244492	0.129711617851958	0.359452916981478	0.663723086278201	0.324494715991903	0.185276810799314	turquoise	0.663723086278201	0.663723086278201	turquoise	0.402079819863492	exp3	biological	TRUE	0.261643266414709	FALSE	FALSE	FALSE	FALSE		0.144570595057284	0.402079819863492	0.163075311913913
S__GCF_002994615.1	0.0860360341590016	-0.0404246405960517	0.148076175887448	0.229438780488172	0.15288354523094	0.449538204775216	turquoise	0.229438780488172	0.229438780488172	turquoise	0.208369327954323	exp3	biological	TRUE	0.021069452533849	FALSE	FALSE	FALSE	FALSE		-0.0103422627711557	0.208369327954323	0.100802934212243
S__GCF_003047265.1	0.0962123049382425	0.0280434644313464	0.248506019617359	0.223149390542668	0.0836478875572423	-0.136729120883347	grey	-0.136729120883347	0.455195537349381	black	0.455195537349381	exp3	technical	FALSE	-0.591924658232728	TRUE	TRUE	FALSE	FALSE		0.16202843026134	0.143977073100202	0.455195537349381
S__GCF_003201655.1	-0.0994766724960512	-0.1585853136746	0.228300554631533	0.263349866647586	-0.197261201424923	-0.15998443310069	black	0.709645913054543	0.709645913054543	black	0.263349866647586	exp3	biological	TRUE	0.446296046406957	FALSE	FALSE	TRUE	FALSE		-0.198379633093053	-0.0625449630037739	0.709645913054543
S__GCF_003326015.1	0.275948966459314	0.0726173276446306	0.343411847889329	0.683029687677871	0.616309674081431	0.193244398472064	turquoise	0.683029687677871	0.683029687677871	turquoise	0.616309674081431	exp3	biological	TRUE	0.0667200135964399	FALSE	FALSE	FALSE	FALSE		0.39936294017554	0.534711098803383	0.0478629839718312
S__GCF_003333305.1	0.358985330578261	0.231922788038072	0.443030922463469	0.383071456058146	0.105473014126139	-0.0497132351571806	turquoise	0.383071456058146	0.443030922463469	blue	0.443030922463469	exp3	biological	FALSE	-0.0599594664053238	FALSE	FALSE	FALSE	FALSE		0.0271113712988612	0.357697333532278	0.208970142875144
S__GCF_003352085.1	0.423010630457387	0.286707364388964	0.400694652594774	0.256841236726523	0.13363554690027	-0.0777683967071694	grey	-0.0777683967071694	0.423010630457387	brown	0.423010630457387	exp3	technical	FALSE	-0.500779027164557	TRUE	TRUE	FALSE	FALSE		0.182931466311906	0.377459240755051	0.0907523538966495
S__GCF_003719305.1	-0.106014843076569	-0.126512281965965	0.131498064626647	0.175775667625743	-0.159378822913868	-0.121850204512499	black	0.527853592866502	0.527853592866502	black	0.175775667625743	exp3	biological	TRUE	0.35207792524076	FALSE	FALSE	FALSE	FALSE		-0.146079499362411	-0.0880901525918081	0.527853592866502
