from	to	w
S__3300027685_11	S__3300027838_66	0.119419475392198
S__3300027685_16	S__3300027838_66	0.142765281384542
S__3300027685_31	S__3300027838_66	0.182597968261408
S__3300027685_36	S__3300027838_66	0.170193737145679
S__3300027687_20	S__3300027838_66	0.118819998637221
S__3300027687_7	S__3300027838_66	0.13215927645131
S__3300027700_13	S__3300027838_66	0.120791698436668
S__3300027752_17	S__3300027838_66	0.138836238889603
S__3300027771_26	S__3300027838_66	0.161130292512474
S__3300027779_22	S__3300027838_66	0.148508914272825
S__3300027779_26	S__3300027838_66	0.151128325985069
S__3300027779_27	S__3300027838_66	0.170320912840415
S__3300027780_12	S__3300027838_66	0.183025101136722
S__3300027788_10	S__3300027838_66	0.174202232310588
S__3300027791_27	S__3300027838_66	0.138344699890219
S__3300027801_21	S__3300027838_66	0.181185688139532
S__3300027801_7	S__3300027838_66	0.161552720748123
S__3300027810_12	S__3300027838_66	0.154788808550686
S__3300027827_16	S__3300027838_66	0.152004809429125
S__3300000179_4	S__3300027838_7	0.156748726945306
S__3300001683_21	S__3300027838_7	0.129257186319553
S__3300001683_28	S__3300027838_7	0.180181364830777
S__3300001683_31	S__3300027838_7	0.16553163998526
S__3300001683_4	S__3300027838_7	0.210249805285
S__3300006311_3	S__3300027838_7	0.118780703527201
S__3300020187_18	S__3300027838_7	0.138198354886392
S__3300020263_16	S__3300027838_7	0.137735799830753
S__3300020303_5	S__3300027838_7	0.134942654085208
S__3300020389_17	S__3300027838_7	0.199672163025231
S__3300020389_47	S__3300027838_7	0.202077202599263
S__3300022920_20	S__3300027838_7	0.144489240497449
S__3300024058_15	S__3300027838_7	0.125740975394011
S__3300024516_18	S__3300027838_7	0.158405526835066
S__3300024516_24	S__3300027838_7	0.118077555111905
S__3300024516_26	S__3300027838_7	0.176468607580198
S__3300024516_38	S__3300027838_7	0.117227771907906
S__3300025276_12	S__3300027838_7	0.126582924792688
S__3300025623_36	S__3300027838_7	0.120184094430991
S__3300025690_38	S__3300027838_7	0.133955831425812
S__3300025892_34	S__3300027838_7	0.147121360533109
S__3300025894_53	S__3300027838_7	0.15108981049291
S__3300026087_14	S__3300027838_7	0.111031376250561
S__3300026108_2	S__3300027838_7	0.153986414712978
S__3300026108_4	S__3300027838_7	0.132959251259292
S__3300026119_8	S__3300027838_7	0.156954268035649
S__3300026253_8	S__3300027838_7	0.144781023153182
S__3300026264_29	S__3300027838_7	0.139831371655767
S__3300026267_11	S__3300027838_7	0.166460903375455
S__3300027668_18	S__3300027838_7	0.192414901973318
S__3300027685_11	S__3300027838_7	0.128333245135374
S__3300027685_16	S__3300027838_7	0.161748047609022
S__3300027685_31	S__3300027838_7	0.193676257605075
S__3300027685_36	S__3300027838_7	0.189783729683457
S__3300027687_20	S__3300027838_7	0.115335960636277
S__3300027687_7	S__3300027838_7	0.133123109007021
S__3300027700_13	S__3300027838_7	0.148265888491447
S__3300027752_17	S__3300027838_7	0.150126725014045
S__3300027771_26	S__3300027838_7	0.19230508938114
S__3300027779_22	S__3300027838_7	0.155731146896462
S__3300027779_26	S__3300027838_7	0.140477800483131
S__3300027779_27	S__3300027838_7	0.160059774698247
S__3300027780_12	S__3300027838_7	0.194283753613197
S__3300027788_10	S__3300027838_7	0.17272000053112
S__3300027791_27	S__3300027838_7	0.13849549103986
S__3300027801_21	S__3300027838_7	0.201635106529563
S__3300027801_7	S__3300027838_7	0.162318038873579
S__3300027810_12	S__3300027838_7	0.143481914258734
S__3300027827_16	S__3300027838_7	0.17215467593494
S__3300027838_66	S__3300027838_7	0.207346994426178
S__3300024433_34	S__3300027839_66	0.139048976783616
S__3300006902_27	S__3300027839_78	0.119361322871946
S__3300020477_98	S__3300027839_78	0.118201031376254
S__3300025673_14	S__3300027839_78	0.138361314987575
S__3300025890_25	S__3300027839_78	0.160991362051023
S__3300027685_28	S__3300027839_78	0.136085868276863
S__3300001683_4	S__3300027844_42	0.120818588857737
S__3300020389_47	S__3300027844_42	0.155171779136228
S__3300027685_31	S__3300027844_42	0.133219566382941
S__3300027779_27	S__3300027844_42	0.13627833687984
S__3300027801_21	S__3300027844_42	0.122470533005894
S__3300027838_66	S__3300027844_42	0.165613217427455
S__3300027838_7	S__3300027844_42	0.164703907110712
S__3300020389_47	S__3300027844_60	0.112148303819748
S__3300027779_27	S__3300027844_60	0.110658774030358
S__3300027838_66	S__3300027844_60	0.11080303411903
S__3300027838_7	S__3300027844_60	0.11216875879604
S__3300000179_4	S__3300027844_72	0.125569563611452
S__3300001683_21	S__3300027844_72	0.111829706210814
S__3300001683_28	S__3300027844_72	0.14706893119062
S__3300001683_31	S__3300027844_72	0.142358692045501
S__3300001683_4	S__3300027844_72	0.167651117656979
S__3300020187_18	S__3300027844_72	0.113037540015576
S__3300020263_16	S__3300027844_72	0.112912276659411
S__3300020303_5	S__3300027844_72	0.116601459597799
S__3300020389_17	S__3300027844_72	0.162503295087074
S__3300020389_47	S__3300027844_72	0.191581269282038
S__3300022920_20	S__3300027844_72	0.131702696491816
S__3300024516_18	S__3300027844_72	0.123774646991483
S__3300024516_26	S__3300027844_72	0.140789570978514
S__3300025690_38	S__3300027844_72	0.116160776043864
S__3300025892_34	S__3300027844_72	0.127802195228034
S__3300025894_53	S__3300027844_72	0.126239609819849
S__3300026108_2	S__3300027844_72	0.118188903775145
S__3300026108_4	S__3300027844_72	0.123001419995261
S__3300026119_8	S__3300027844_72	0.124072019201564
S__3300026253_8	S__3300027844_72	0.119501627605485
S__3300026264_29	S__3300027844_72	0.121661552377185
S__3300026267_11	S__3300027844_72	0.144522763978021
S__3300027668_18	S__3300027844_72	0.156663557214163
S__3300027685_16	S__3300027844_72	0.130716315648308
S__3300027685_31	S__3300027844_72	0.173202854238311
S__3300027685_36	S__3300027844_72	0.168741863695202
S__3300027687_7	S__3300027844_72	0.118044766104361
S__3300027700_13	S__3300027844_72	0.124085596200262
S__3300027752_17	S__3300027844_72	0.122712276765462
S__3300027771_26	S__3300027844_72	0.155527669606335
S__3300027779_22	S__3300027844_72	0.128830861102831
S__3300027779_26	S__3300027844_72	0.130787023975636
S__3300027779_27	S__3300027844_72	0.145252506964495
S__3300027780_12	S__3300027844_72	0.15987788175572
