sample	module	module_abundance	core	age_kyr	state	state_label	index	value
LV3003047060	leiden1	0.0110699535913484	ST8	106.686	2	IG-E	OAP	228.95
LV3003047061	leiden4	0.521830789159534	ST8	105.689	2	IG-E	OAP	404.852921300629
LV3003047061	leiden3	0.106931497802951	ST8	105.689	2	IG-E	OAP	239.00452219989
LV3003047061	leiden2	0.117294455309746	ST8	105.689	2	IG-E	OAP	596.514434180139
LV3003047061	leiden5	0.159965456808311	ST8	105.689	2	IG-E	OAP	-209.652961724544
LV3003047061	leiden1	0.0551675090802875	ST8	105.689	2	IG-E	OAP	-164.829281767956
LV3003047061	grey	0.038810291839171	ST8	105.689	2	IG-E	OAP	117.234973477542
LV3003047062	leiden1	0.0603264185478951	ST8	104.692	2	IG-E	OAP	-0.502781289506956
LV3003047062	leiden5	0.239043115720968	ST8	104.692	2	IG-E	OAP	-190.328875770381
LV3003047062	leiden4	0.44727476103315	ST8	104.692	2	IG-E	OAP	310.461544808053
LV3003047062	grey	0.04220052877771	ST8	104.692	2	IG-E	OAP	56.6475159330182
LV3003047062	leiden2	0.0929174293268253	ST8	104.692	2	IG-E	OAP	639.541291966427
LV3003047062	leiden3	0.111373805165751	ST8	104.692	2	IG-E	OAP	104.223108280255
LV3003047063	leiden1	0.175253961804145	ST8	103.695	2	IG-E	OAP	-160.428819846974
LV3003047063	leiden5	0.251279967492889	ST8	103.695	2	IG-E	OAP	-200.025671086675
LV3003047063	leiden3	0.149776513612353	ST8	103.695	2	IG-E	OAP	197.48699444885
LV3003047063	leiden4	0.2503860219423	ST8	103.695	2	IG-E	OAP	309.738949987588
LV3003047063	grey	0.0818366517675742	ST8	103.695	2	IG-E	OAP	-74.021796716948
LV3003047063	leiden2	0.0914668833807395	ST8	103.695	2	IG-E	OAP	568.017103744021
LV3003047064	leiden4	0.366758747697974	ST8	96.283	2	IG-E	OAP	171.481831695967
LV3003047064	grey	0.0900092081031307	ST8	96.283	2	IG-E	OAP	161.140530705168
LV3003047064	leiden5	0.195303867403315	ST8	96.283	2	IG-E	OAP	-30.6257661480434
LV3003047064	leiden3	0.268324125230203	ST8	96.283	2	IG-E	OAP	394.558583032491
LV3003047064	leiden1	0.0566298342541437	ST8	96.283	2	IG-E	OAP	-233.2
LV3003047064	leiden2	0.0229742173112339	ST8	96.283	2	IG-E	OAP	456.501317528674
LV3003047065	leiden4	0.729876493681405	ST8	53.61018	2	IG-E	OAP	345.918811384425
LV3003047065	leiden5	0.0313637275410494	ST8	53.61018	2	IG-E	OAP	237.00404311383
LV3003047065	leiden3	0.0316144654268275	ST8	53.61018	2	IG-E	OAP	321.027120966105
LV3003047065	leiden2	0.141530790612374	ST8	53.61018	2	IG-E	OAP	534.697537312346
LV3003047065	grey	0.0141416167578875	ST8	53.61018	2	IG-E	OAP	526.657138949672
LV3003047065	leiden1	0.0514729059804568	ST8	53.61018	2	IG-E	OAP	600.218450257875
LV3003047067	leiden4	0.73902937240262	ST8	42.86602	4	IG-B	OAP	429.403504077298
LV3003047067	leiden1	0.013784060554505	ST8	42.86602	4	IG-B	OAP	545.491824552297
LV3003047067	leiden2	0.193759786737176	ST8	42.86602	4	IG-B	OAP	614.241633269771
LV3003047067	leiden5	0.0147214200183137	ST8	42.86602	4	IG-B	OAP	550.169243858219
LV3003047067	leiden6	0.00831432426135532	ST8	42.86602	4	IG-B	OAP	468.614701691229
LV3003047067	leiden3	0.0285434084123948	ST8	42.86602	4	IG-B	OAP	487.822241911825
LV3003047067	grey	0.00184762761363452	ST8	42.86602	4	IG-B	OAP	645.757575757576
LV3003047068	leiden4	0.774593772242593	ST8	37.78969	4	IG-B	OAP	399.797449843527
LV3003047068	leiden2	0.179458722807112	ST8	37.78969	4	IG-B	OAP	581.420579340441
LV3003047068	leiden3	0.0240582633657956	ST8	37.78969	4	IG-B	OAP	252.628851787468
LV3003047068	leiden1	0.0127206549568726	ST8	37.78969	4	IG-B	OAP	489.227740705434
LV3003047068	leiden6	0.00523196389236525	ST8	37.78969	4	IG-B	OAP	338.561795634584
LV3003047068	leiden5	0.00393662273526128	ST8	37.78969	4	IG-B	OAP	251.313399468284
LV3003047069	leiden4	0.730071652063903	ST8	33.7436870748299	4	IG-B	OAP	479.939637396661
LV3003047069	leiden1	0.0115177962942742	ST8	33.7436870748299	4	IG-B	OAP	633.307957734852
LV3003047069	leiden2	0.218936025211888	ST8	33.7436870748299	4	IG-B	OAP	599.328566016321
LV3003047069	leiden6	0.00945069261151629	ST8	33.7436870748299	4	IG-B	OAP	289.612418981482
LV3003047069	leiden3	0.0191084721129264	ST8	33.7436870748299	4	IG-B	OAP	410.861819355308
LV3003047069	grey	0.00241350357130755	ST8	33.7436870748299	4	IG-B	OAP	695.580187207488
LV3003047069	leiden5	0.00850185813418477	ST8	33.7436870748299	4	IG-B	OAP	454.859768995398
LV3003047070	leiden4	0.684001162975102	ST8	30.128	5	G-A	OAP	385.77671442819
LV3003047070	leiden1	0.0256977850610562	ST8	30.128	5	G-A	OAP	574.933102181778
LV3003047070	leiden2	0.187665195326955	ST8	30.128	5	G-A	OAP	567.32298941339
LV3003047070	leiden6	0.0537413437648676	ST8	30.128	5	G-A	OAP	376.469309343126
LV3003047070	leiden5	0.0200514087857483	ST8	30.128	5	G-A	OAP	303.033547536662
LV3003047070	leiden3	0.0263255273034836	ST8	30.128	5	G-A	OAP	349.08745866573
LV3003047070	grey	0.00251757678278797	ST8	30.128	5	G-A	OAP	629.69512195122
LV3003047071	leiden1	0.0515240520427732	ST8	26.141	5	G-A	OAP	574.796546584497
LV3003047071	leiden3	0.0201829670847873	ST8	26.141	5	G-A	OAP	530.949836799339
LV3003047071	leiden4	0.581205678536623	ST8	26.141	5	G-A	OAP	448.109139434456
LV3003047071	leiden2	0.290198640995585	ST8	26.141	5	G-A	OAP	620.435910963711
LV3003047071	leiden6	0.0328680562105065	ST8	26.141	5	G-A	OAP	384.838682786619
LV3003047071	grey	0.00497388430048998	ST8	26.141	5	G-A	OAP	570.591478555305
LV3003047071	leiden5	0.0190467208292352	ST8	26.141	5	G-A	OAP	407.683463019728
LV3003047073	leiden5	0.345617095508068	ST8	101.685	2	IG-E	OAP	-244
LV3003047073	leiden3	0.234845180985608	ST8	101.685	2	IG-E	OAP	185.523537604457
LV3003047073	leiden1	0.134976013955517	ST8	101.685	2	IG-E	OAP	-100.815185783522
LV3003047073	grey	0.0985608373310074	ST8	101.685	2	IG-E	OAP	64.830781322776
LV3003047073	leiden4	0.186000872219799	ST8	101.685	2	IG-E	OAP	66.5
LV3003047074	leiden5	0.397179644389945	ST8	100.672	2	IG-E	OAP	-243.558196974375
LV3003047074	leiden3	0.183936235438381	ST8	100.672	2	IG-E	OAP	-11.1488363636363
LV3003047074	leiden2	0.0131207847946045	ST8	100.672	2	IG-E	OAP	666.666666666667
LV3003047074	leiden1	0.0955242182709994	ST8	100.672	2	IG-E	OAP	-233.2
LV3003047074	grey	0.0982219497240956	ST8	100.672	2	IG-E	OAP	-110.255470136014
LV3003047074	leiden4	0.212017167381974	ST8	100.672	2	IG-E	OAP	74.6116252168884
LV3003047077	leiden4	0.540474279143434	ST8	99.7145	2	IG-E	OAP	324.50581543148
LV3003047077	grey	0.154173265930442	ST8	99.7145	2	IG-E	OAP	268.924389421946
LV3003047077	leiden2	0.161832027944718	ST8	99.7145	2	IG-E	OAP	656.280460733024
LV3003047077	leiden3	0.110997808682823	ST8	99.7145	2	IG-E	OAP	-1.5259991476432
LV3003047077	leiden5	0.0272287431385737	ST8	99.7145	2	IG-E	OAP	-87.2834309819546
LV3003047077	leiden1	0.00529387516000955	ST8	99.7145	2	IG-E	OAP	820
LV3003047078	grey	0.114213197969543	ST8	98.757	2	IG-E	OAP	31.4012605191841
LV3003047078	leiden2	0.0963720513586145	ST8	98.757	2	IG-E	OAP	635.072701149425
LV3003047078	leiden3	0.185204538668259	ST8	98.757	2	IG-E	OAP	-58.7249002339342
LV3003047078	leiden4	0.37249925350851	ST8	98.757	2	IG-E	OAP	291.902405717116
LV3003047078	leiden5	0.231710958495073	ST8	98.757	2	IG-E	OAP	-232.500644329897
LV3003047079	leiden3	0.199708471809224	ST8	97.52	1	IG-D	OAP	484.213088662368
LV3003047079	leiden4	0.530482187627544	ST8	97.52	1	IG-D	OAP	387.011497710801
LV3003047079	grey	0.0837094046994345	ST8	97.52	1	IG-D	OAP	146.580489348704
LV3003047079	leiden5	0.105894700017492	ST8	97.52	1	IG-D	OAP	-172.216449619008
LV3003047079	leiden2	0.062451169028045	ST8	97.52	1	IG-D	OAP	616.006614694946
LV3003047079	leiden1	0.0167395487143607	ST8	97.52	1	IG-D	OAP	589.134508618051
LV3003047079	leiden6	0.00101451810390065	ST8	97.52	1	IG-D	OAP	820
LV3003047080	leiden4	0.71049988903684	ST8	87.9935	1	IG-D	OAP	340.317081380128
LV3003047080	leiden1	0.00652185974256547	ST8	87.9935	1	IG-D	OAP	594.31720344949
LV3003047080	leiden3	0.0854471815357301	ST8	87.9935	1	IG-D	OAP	345.402758771401
LV3003047080	leiden5	0.0809420772303595	ST8	87.9935	1	IG-D	OAP	-83.5880322547225
LV3003047080	grey	0.038598535286285	ST8	87.9935	1	IG-D	OAP	233.30458312923
LV3003047080	leiden2	0.0779904571682202	ST8	87.9935	1	IG-D	OAP	541.117882906192
LV3003047081	leiden4	0.709164102347932	ST8	52.20718	4	IG-B	OAP	423.17382597124
LV3003047081	leiden2	0.204295409518189	ST8	52.20718	4	IG-B	OAP	551.304759274659
LV3003047081	leiden6	0.00877137517739465	ST8	52.20718	4	IG-B	OAP	555.218921224872
LV3003047081	leiden3	0.0321347777824615	ST8	52.20718	4	IG-B	OAP	513.890448063928
LV3003047081	leiden5	0.00941772400904888	ST8	52.20718	4	IG-B	OAP	355.415860443187
LV3003047081	leiden1	0.0312460481389369	ST8	52.20718	4	IG-B	OAP	586.026611508622
LV3003047081	grey	0.00497056302603662	ST8	52.20718	4	IG-B	OAP	637.898792943361
LV3003047082	leiden4	0.804272810061779	ST8	41.9168333333333	4	IG-B	OAP	404.737094305616
LV3003047082	leiden6	0.0037510152846489	ST8	41.9168333333333	4	IG-B	OAP	203.622047244094
LV3003047082	leiden2	0.140367717640109	ST8	41.9168333333333	4	IG-B	OAP	591.004522188029
LV3003047082	leiden3	0.02979152821876	ST8	41.9168333333333	4	IG-B	OAP	486.560083840964
LV3003047082	leiden1	0.0132811538556204	ST8	41.9168333333333	4	IG-B	OAP	680.300260747005
LV3003047082	leiden5	0.00761032759851338	ST8	41.9168333333333	4	IG-B	OAP	108.319598965071
LV3003047082	grey	0.000925447340569544	ST8	41.9168333333333	4	IG-B	OAP	666.666666666667
LV3003047083	leiden1	0.0151838688941267	ST8	37.30319	4	IG-B	OAP	540.215019762846
LV3003047083	leiden4	0.747999497565409	ST8	37.30319	4	IG-B	OAP	431.970088855262
LV3003047083	leiden6	0.00895515771274041	ST8	37.30319	4	IG-B	OAP	495.622217049491
