state	sample	core	age_kyr	state_label	index	value	state_label_source
1	LV3003047091	ST8	89.37525	state_03	DCI	-1.34430950065039	IG-D
1	LV3003047093	ST8	79.675	state_03	DCI	-1.51861655345742	IG-D
1	LV3003047100	ST8	86.61175	state_03	DCI	-2.0759190392455	IG-D
1	LV3003047101	ST8	85.23	state_03	DCI	-2.19037646983834	IG-D
1	LV3003047107	ST8	71.517	state_03	DCI	-1.65633812910487	IG-D
1	LV3003047133	ST8	70.162	state_03	DCI	-1.96293591295924	IG-D
1	LV3003047134	ST8	68.807	state_03	DCI	-2.2161473831282	IG-D
1	LV3003047136	ST8	67.8766	state_03	DCI	-2.05916261049277	IG-D
1	LV3003047137	ST8	66.9462	state_03	DCI	-2.08482858496782	IG-D
1	LV3003047138	ST8	66.0158	state_03	DCI	-1.98422356601554	IG-D
1	LV3003061474	ST13	77.7798	state_03	DCI	-1.62622157199098	IG-D
1	LV3003061485	ST13	75.7796	state_03	DCI	-1.22030600921515	IG-D
1	LV3003061500	ST13	148.086	state_03	DCI	-1.74760647564405	IG-D
1	LV3003061501	ST13	105.5872	state_03	DCI	-1.48894543131583	IG-D
1	LV3003061503	ST13	73.1472	state_03	DCI	-1.41907990907759	IG-D
1	LV3003061514	ST13	100.6726	state_03	DCI	-1.38824151055289	IG-D
1	LV3003061515	ST13	71.0012	state_03	DCI	-1.58113430018658	IG-D
1	LV3003061528	ST13	95.118	state_03	DCI	-1.69641895701381	IG-D
1	LV3003061529	ST13	66.015	state_03	DCI	-1.36265386117953	IG-D
1	LV3003061541	ST13	91.09	state_03	DCI	-1.43329637838539	IG-D
1	LV3003061543	ST13	62.293	state_03	DCI	-1.06711377161529	IG-D
1	LV3003061556	ST13	86.6174	state_03	DCI	-1.48224348255796	IG-D
1	LV3003061557	ST13	58.082	state_03	DCI	-0.919857580664643	IG-D
1	LV3003061569	ST13	81.6946	state_03	DCI	-1.36379714272065	IG-D
1	LV7001898088	ST13	6.031	state_03	DCI	-1.95151567181392	IG-D
1	LV7001898100	ST13	5.659	state_03	DCI	-2.77697877639923	IG-D
1	LV7008886229	GeoB25202_R2	68.149	state_03	DCI	-1.67411145532002	IG-D
1	LV7008886695	GeoB25202_R1	95.3875	state_03	DCI	-1.55465912953719	IG-D
1	LV7008886706	GeoB25202_R1	79.0255	state_03	DCI	-1.29101499959218	IG-D
1	LV7008886707	GeoB25202_R2	95.3875	state_03	DCI	-1.57567047000976	IG-D
1	LV7008886708	GeoB25202_R1	109.6305	state_03	DCI	-1.45692400412694	IG-D
1	LV7008886714	GeoB25202_R1	0.692	state_03	DCI	-2.48686830445375	IG-D
1	LV7008886718	GeoB25202_R2	79.0255	state_03	DCI	-1.46401731146296	IG-D
1	LV7008886719	GeoB25202_R1	87.2825	state_03	DCI	-1.52132464947892	IG-D
1	LV7008886720	GeoB25202_R2	109.6305	state_03	DCI	-1.57060785124515	IG-D
1	LV7008886726	GeoB25202_R2	0.692	state_03	DCI	-4.32607110167299	IG-D
1	LV7008886730	GeoB25202_R1	75.351	state_03	DCI	-1.40219233194895	IG-D
1	LV7008886731	GeoB25202_R2	87.2825	state_03	DCI	-1.34170686729673	IG-D
1	LV7008886742	GeoB25202_R2	75.351	state_03	DCI	-1.45881670926275	IG-D
1	LV7008886743	GeoB25202_R1	81.6705	state_03	DCI	-1.46083775762208	IG-D
1	LV7008886744	GeoB25202_R1	105.5785	state_03	DCI	-1.69551108976676	IG-D
1	LV7008886754	GeoB25202_R1	71.8895	state_03	DCI	-2.02191185542728	IG-D
1	LV7008886755	GeoB25202_R2	81.6705	state_03	DCI	-1.24797026113797	IG-D
