state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance	state_label_source
2	state_05	grey	MGI	29	29	-13.3116652088621	-13.8155105579643	2.71329024222359	0	0.203828010970202	0.319643315435098	0	0.520098933068577	0.0551058486737416	IG-E
2	state_05	leiden1	MGI	34	34	-13.8155105579643	-13.8155105579643	0	0	0	-0.157113499304297	0	0.157113499304297	0.0387062244345803	IG-E
2	state_05	leiden2	MGI	38	38	-13.8155105579643	-13.8155105579643	0	0	0	-0.0640855926489652	0	0.0640855926489652	0.0925204740169838	IG-E
2	state_05	leiden3	MGI	39	39	-13.8155105579643	-13.8155105579643	0	0	0	-0.136970742983234	0	0.136970742983234	0.112779957189028	IG-E
2	state_05	leiden4	MGI	39	39	-13.8155105579643	-13.8155105579643	0	0	0	-0.136970742983234	0	0.136970742983234	0.627529278841774	IG-E
2	state_05	leiden5	MGI	36	36	-13.4118152168969	-13.8155105579643	2.42217204640453	0	0.180599867149449	0.255310369502252	0	0.390602176205623	0.10197139417222	IG-E
2	state_05	leiden6	MGI	7	7	-13.8155105579643	-13.8155105579643	0	0	0	-5.07530525542929e-16	0	5.07530525542929e-16	0.0034840971926742	IG-E
2	state_05	grey	MFI	29	29	-0.479943753298593	0	2.58457620966763	0	5.38516480713451	-0.375139277739276	0	0.566034258067371	0.0551058486737416	IG-E
2	state_05	leiden1	MFI	34	34	0	0	0	0		0.089392052682947	0	0.209884732946499	0.0387062244345803	IG-E
2	state_05	leiden2	MFI	38	38	0	0	0	0		0.00714085727533729	0	0.114950097511147	0.0925204740169838	IG-E
2	state_05	leiden3	MFI	39	39	0	0	0	0		0.0779315331082102	0	0.182976433850794	0.112779957189028	IG-E
2	state_05	leiden4	MFI	39	39	0	0	0	0		0.0779315331082102	0	0.182976433850794	0.627529278841774	IG-E
2	state_05	leiden5	MFI	36	36	-0.0430453524140167	0	3.12833168849766	0	72.6752486170609	0.0413804751198777	0	0.65648652284374	0.10197139417222	IG-E
2	state_05	leiden6	MFI	7	7	0	0	0	0		0	0	0	0.0034840971926742	IG-E
2	state_05	grey	DCI	29	29	-2.01691229560111	0	6.18908093485363	0.753129885161656	3.06859199993575	0.880728843143968	1.896290551379	4.00466582303127	0.0551058486737416	IG-E
