sample	MEgreen	MElightcyan	MEsalmon	MEtan	MEbrown	MEpurple	MEblue	MEgreenyellow	MEblack	MEred	MEturquoise	MEyellow	MEgrey60	MEcyan	MEmidnightblue	MEmagenta	MEpink	MEgrey
LV3003047141	0.00970968916095181	0.0930904070241458	0.0650253657292335	-0.0674953029943964	0.0728953063734159	0.0624799303905999	0.0445366903406875	0.13297579297915	0.0810602866738541	0.0743757804089254	0.087422865025946	0.0317985543249651	0.0426001714179376	0.047071644967632	0.0350016638467057	0.0569739436349625	0.0623917558785848	0.0952787258138932
LV3003047128	0.0901665044092308	-0.0040327974462823	0.0286532036396903	0.0478081959449218	0.0911537852195645	0.0715322918850909	-0.0260066843830602	-0.0375737433029614	-0.0293944719160961	-0.0058020423903277	-0.0213780190293217	-0.0225224595697228	-0.128730232372386	-0.0306875347868681	-0.0174393044689779	-0.049591947925556	-0.0776267000906938	-0.0464210130614187
LV3003047112	-0.0245961444594853	0.0792321159868583	0.0926201707976502	0.0679988669557022	0.0328580386627937	0.0923264282694598	-0.0299085131965939	-0.0322136569004419	-0.0470104954009068	-0.0308817538984556	-0.0296030759322944	-0.0201904434834183	0.0619780303110674	-0.0333279827757654	-0.0254301832523576	-0.0419355081174122	-0.0498210801496803	-0.0465972142089514
LV3003047095	-0.0313371877251736	0.0589136193061493	0.0616016406112045	0.0262365416681567	-0.0637998241866813	0.0406286589092443	-0.0324473916181652	-0.076273922913754	-0.0469786548569026	-0.0300661177507491	-0.0371211215014374	-0.0203789091760106	0.0509464975092172	-0.0327472615521694	-0.0275960815174604	-0.0381869573911462	-0.0275571142889262	-0.0390486294299563
LV3003047082	-0.0233235457704037	0.0608055906323008	0.0967348078335931	0.0571866082406631	-0.0511857378637999	0.0795880355613195	-0.0220906258256727	-0.0610220511351986	-0.0307791166134869	-0.0238075508519292	-0.0299252660477908	-0.0136439829497682	0.0535996526785133	-0.0172465904406459	-0.0177805114665986	-0.0322884146242012	-0.0261581808950874	-0.0363607157279774
LV3003047067	0.00724983755916823	0.0604603587991226	0.0690794575819889	0.0544144724806506	0.048349802257819	0.0762203447690198	-0.0171824661182745	-0.00269588476449077	-0.0362170039735974	-0.0371336665666296	-0.0370327385416777	-0.0217400619158944	0.053441172130232	-0.0359114030516603	-0.0273641161428543	-0.0418292041090954	-0.0101570520061859	-0.0245674729249209
LV3003047164	0.00449327459861581	0.0793205546189231	0.113728385714099	0.0727095455025333	-0.0192576607242708	0.0696808618630387	-0.0245183687004496	-0.0500262846184468	-0.0378875723727743	-0.0182583969967491	-0.0221528377684344	-0.00706246061520204	0.04792237983795	-0.0223225198794178	-0.0166987822107123	-0.0308462751206213	-0.0440304837277084	-0.0423429689378942
LV3003047152	-0.00488875574682256	0.0853651646495646	0.0869422966757283	0.0673547079995118	-0.0097578343802838	0.0816674106996795	-0.0268202692883265	-0.0699779246953955	-0.0482101067280329	-0.0238932333538454	-0.0328976281741279	-0.0181371637082153	0.0556568673308243	-0.030156325105568	-0.0177073420048885	-0.0204250461435971	-0.0198362724820971	-0.0327630780114094
LV3003047140	-0.00900543158196898	-0.0440447330709559	0.0404830987739395	0.0798157991404151	0.00843899418172796	0.00398804006414637	0.0123261078315793	0.0500729633994027	0.0292633709145694	0.03241822146671	0.0369876759476459	0.0124295385886646	-0.0783200167938539	0.016929840689209	0.0113630414788438	0.0188286636787381	0.0117127325012136	0.0139055307657867
LV3003047127	-0.0276886727340794	-0.0608450594948901	0.0777781250354833	0.049068366244342	-0.054161192978246	-0.0739353039249276	-0.00453915941331865	-0.0185229815094124	-0.0174272315848065	-0.00229854774730106	-0.00351494772198255	0.00504503442753561	0.0425792340578864	-0.00801026758231972	-0.00819616591957612	-0.0127337273237484	-0.0263284286594859	-0.0186597887865959
LV3003047110	-0.0283318846612391	0.0801428625904429	0.109341539917239	0.0584638265879294	-0.0527552671862661	0.0425796010359973	-0.0238600144127503	-0.0529676128806516	-0.0314526245804996	-0.0134546559652379	-0.0238044071217439	-0.0113071967506716	0.0457561103653022	-0.0156252472531826	-0.018017587428497	-0.0258149699851554	-0.0468601957420503	-0.0325516241531941
LV3003047094	-0.0292079707629929	0.0511716321529745	0.0554755210210265	0.0316653574725023	-0.0742721421629947	0.0115036080313554	-0.0322133099066676	-0.0726955746435192	-0.0505828383287771	-0.0283764759902147	-0.0412845576448558	-0.020115692871926	0.074683660145798	-0.0326988930642121	-0.0275581486714116	-0.03500492375087	-0.00485403710885668	-0.00556446828692737
LV3003047081	0.00443482691801293	0.0545084155426952	0.0632078586022101	0.05910469547309	0.0241087192313028	0.0676587209158426	-0.0234488400093012	-0.0471666088901121	-0.0317211426483464	0.00438517694022198	-0.0174257516982526	-0.0184988119165046	0.0200744573165339	-0.0214974214685852	-0.0258306482053893	-0.0336004193376344	-0.0182864430584049	-0.0157132557778326
LV3003047065	-0.0370540176001836	-0.0988650557725764	-0.0458441233609136	-0.0220280632243842	-0.0415947848257652	-0.0488371557271664	0.00180276013349862	-0.0270384081258273	-0.0181987707177338	-0.00245764143949511	-0.00769418448319358	-0.00882796274574276	-0.0917923811730365	-0.0156401919970697	-0.0141799119577891	-0.0162918665473578	-0.0377887009243935	-0.0257046738917669
LV3003047161	0.00813042004896124	0.0817148851572823	0.0204573792627074	-0.0731795152393584	0.0679336781846372	0.0657593747531076	0.0423200340910697	0.127150780722281	0.0772735167614106	0.0714277110083313	0.083879130800614	0.0301653957619392	0.0337007054706931	0.0449537874680026	0.0333407402603057	0.0542937368867359	0.0592356107501348	0.0910018514152483
LV3003047160	0.0108512676911766	0.101313230756161	0.031991057537701	-0.0901620806032376	0.0790480096672807	0.0681879589982458	0.0444478490337275	0.137186417299128	0.083797562542878	0.0765067995669516	0.0899844619556565	0.0329450122906188	0.0490331720881244	0.0486025434277464	0.0362022665129532	0.0589113376212745	0.0649115497395125	0.103042589024202
LV3003047159	-0.0343565405813028	0.116774963312996	0.117482610399691	0.0748380884445822	-0.0385234768061078	0.0125554683509518	-0.0177158454316211	-0.0397002828531512	-0.0381641547693426	-0.014566135695486	-0.0232536163940658	-0.0114889368427531	0.117526583486024	-0.0167610080984429	-0.0135965422777895	-0.0109906628624492	0.00133998348937476	-0.0404493918589526
LV3003047158	-0.0364273199746951	-0.00496458024704636	0.0480406728426703	0.0897345823029097	0.0452937533427626	0.0802633920041046	-0.0207470583994102	-0.0593621237564908	-0.0313697619192923	-0.0229674528578682	-0.0189109962247674	-0.0136413673778522	-0.136581128085335	-0.0192955977612248	-0.0198408958558136	-0.0288524035133546	-0.0539038419221754	-0.0577049455534791
