sample	MEcyan	MEpink	MEpurple	MEblack	MEtan	MEgreen	MEyellow	MEmagenta	MEturquoise	MEblue	MEbrown	MEred	MEgreenyellow	MEsalmon	MEgrey
LV3003047117	-0.0260325145742373	-0.0338078147171611	-0.0405684049332476	-0.0230766775561025	-0.0254049896007275	0.094066293672851	-0.0435053201518931	-0.03094634804051	-0.0262237311568121	0.0466076645245825	0.0531090922917914	0.00834378199673222	0.0736823760837143	0.0525563332033054	-0.0311627893095722
LV3003047098	-0.030144775975999	-0.0681112431384553	-0.0405684049332476	-0.0214756737824663	-0.0261632612056489	0.17830303578989	-0.0613672328952445	-0.0267111185829901	-0.031348984066753	-0.010695896101096	0.0319831705227995	0.00380695786446727	0.0127340524020214	0.0167531828014038	-0.026918385529061
LV3003047085	-0.020998863523731	-0.0638676216554595	-0.0405684049332476	-0.0031820965383794	-0.0108887676508144	0.22496738328972	-0.0145455059788133	0.00283517660666877	-0.0051836223491242	0.00334139649080112	0.00443995625520464	0.0942917352388322	0.0495338396727846	0.0761924823146982	-0.0248803382917952
LV3003047070	-0.030144775975999	-0.0641056142375567	-0.0405684049332476	-0.0168316433038047	-0.0222676805461544	0.183001892841489	-0.0564055429372879	-0.0466654792521342	-0.0242921481901792	0.0421938593848355	0.0344214337683791	0.0241118766391742	0.0533042681327389	0.0438599663114569	-0.0236366650045984
LV3003047168	-0.0219037110614449	-0.0564753552412554	-0.0405684049332476	0.0109513091166522	-0.00575881725348691	0.165384054532483	-0.022612047504913	-0.00144351573070654	-0.00605461545266256	-0.00380493264585558	0.00473138816674382	0.114887112809503	0.046935548809223	0.0597349085825558	-0.0103730273825013
LV3003047155	-0.030144775975999	-0.0681112431384553	-0.0405684049332476	-0.0248504488583326	-0.0177135133308736	0.279142253067606	-0.0637583938647874	-0.0410119221322687	-0.0313703642655689	-0.0365606539944764	0.00949748543536924	0.00434730590325735	-0.00914673568955156	-0.0246562321369733	-0.00756857809298376
LV3003047143	-0.0218430356605772	-0.00258012017197336	-0.0340624623739752	-0.0241418749406517	-0.0201817669207861	0.198183766131946	-0.042777116802671	-0.0391330514909695	-0.0323674792252259	0.0445733322393465	0.0497223359269939	0.0337224824079302	0.0707811605605686	0.0542583118886311	-0.0198476428142862
LV3003047130	-0.030144775975999	-0.0381877617785962	-0.0341637747223781	-0.0305164276306341	-0.0283090179994706	0.130093602458377	-0.0577693344800372	-0.0409727573375624	-0.0299478442123381	0.0312395793903035	0.0438549994321436	0.0556261010685658	0.0568481394852764	0.0506297490711045	-0.0287435288243947
LV3003047114	-0.0255601674696439	-0.0212928807395067	-0.0166204092078629	-0.0347808931342322	-0.0283090179994706	0.0405343925763595	-0.0537082784611016	-0.047348864662413	-0.0363490940262033	0.0354720810015235	0.0509445595526743	-0.0045153074573036	0.0226249229446376	0.0485900757598722	-0.0267823949641126
LV3003047097	-0.030144775975999	-0.0233136862502802	-0.0215020359305308	-0.0274576390796084	-0.0214100603449034	0.145790990372327	-0.0461055555473472	-0.0205269854797583	-0.0338845269734885	0.051879815976172	0.0536821757309409	0.0273562866535883	0.0703281213583602	0.0547116237735962	-0.0223075698964592
LV3003047084	-0.00940375823604942	0.0673013897836593	0.0605275677140237	-0.0218179699226905	-0.0240791055310522	0.0205978340315095	0.03126586924868	0.0403675263399548	-0.0143758235859043	0.0518405832399876	0.0393134338127024	-0.00679840045468346	0.0554233545623017	0.0550328064346362	-0.0139162259016361
LV3003047069	-0.0263226918326062	-0.0482395598551427	-0.0405684049332476	-0.0185239196868754	-0.0194797579836163	0.00899830024099139	-0.0367820465021445	-0.021265873346978	-0.0323006563599896	0.0561737360969613	0.0648941003553672	-0.0182096259023592	0.0782985567448274	0.0283069985314689	-0.0293606190866309
LV3003047167	-0.0271754330309985	-0.0681112431384553	-0.0405684049332476	-0.0260366463423876	-0.0283090179994706	0.0085401990000355	-0.0606744524829866	-0.0394454016244883	-0.0267805504038847	-0.0125364923960533	0.027644949406174	0.000628519763791115	0.0227618134503413	0.0144185256439365	-0.0301353172448369
LV3003047154	-0.0260892875053745	-0.0323411014998994	-0.0405684049332476	-0.0205919298607517	-0.0179262257788925	-0.0323472670538265	-0.0517638656618984	-0.0390860727374983	-0.0341020734441673	0.059924305754366	0.0645262064133601	-0.0494305681167435	0.0409666298107271	0.0227250569262535	-0.0257904215398118
LV3003047142	-0.030144775975999	-0.0681112431384553	-0.0405684049332476	-0.0207032056232662	-0.0168028526698247	0.0358118213139741	-0.0491753923459886	-0.0312344139368859	-0.0253114664859198	-0.0114425907200889	0.02918911457528	0.0595191813142878	0.0455953004656657	0.050757509564032	-0.0344221175554416
LV3003047129	-0.0277119637623511	-0.0681112431384553	-0.0405684049332476	-0.000728894519305907	-0.025531196307592	0.122090948505905	-0.0408582306163887	-0.0129008735779851	-0.0131410743476182	0.0265419845596662	0.0290144491760275	0.108393325339781	0.0554534209289222	0.071673198991152	-0.0223260320541311
LV3003047113	-0.030144775975999	-0.0573155512730006	-0.0405684049332476	-0.00998140490428059	-0.00857838984051735	0.144556504002668	0.0231605876893898	0.0734445803902876	-0.0100048805379122	0.0472768536072185	0.0374605827819958	0.0670774739762646	0.071557651515686	0.0762333995892855	-0.0212580600416914
LV3003047096	-0.030144775975999	-0.0617652905101767	-0.0405684049332476	-0.0138101838302992	-0.0283090179994706	0.164366196986012	-0.0226772664468924	0.0260255780076879	-0.0233116259318107	0.037432352006147	0.0358689732775292	0.0725022713191225	0.0739229075884288	0.0710493009850466	-0.0210192119260653
LV3003047083	-0.030144775975999	-0.043246944412218	-0.0405684049332476	-0.0303080576451585	-0.0251690769051737	0.011377965781212	-0.0474292088971426	-0.0260708684355226	-0.0275854595639705	0.0599571728765656	0.0607170169010932	-0.045101462246542	0.0620431507702609	0.0515836823260279	-0.0311790620384977
LV3003047068	-0.030144775975999	-0.0567993033263856	-0.0405684049332476	-0.0256843750239312	-0.025201174544263	-0.00917057822912111	-0.0559284908082657	-0.010746546269506	-0.0281206711266163	0.0650103460129799	0.0580139324689525	-0.0305534048126549	0.0521522265791987	0.0476646117389253	-0.0289866001081525
LV3003047166	-0.030144775975999	-0.0205158144999453	-0.0295500191994663	-0.0281412630920801	-0.0239741629279186	0.045747197323673	-0.0375510020397616	-0.0251748053009017	-0.0213426923088	0.0576646678995606	0.0460719360941368	0.0543481944502205	0.0717649209694419	0.0735385962293038	-0.0280413100945164
LV3003047153	-0.030144775975999	-0.0169946303229326	-0.0405684049332476	-0.0253433351568411	-0.0262976011303964	0.0212554639492307	-0.0470047636614276	-0.0192137159719095	-0.0271391809470162	0.061940547262142	0.0497472687767173	0.0371306332001195	0.0669006780226713	0.0905014548666247	-0.0303093793540366
LV3003047141	-0.030144775975999	-0.0681112431384553	-0.0405684049332476	-0.0361069409406147	-0.0225990469469241	-0.0494790801280516	-0.0653174018529304	-0.0548312395262192	-0.0382562334269976	-0.157663017781232	-0.188295308621668	-0.0754408313624073	-0.126858579816609	-0.124982216871319	-0.0316686158119157
LV3003047128	-0.0233836644430252	-0.0644257539703569	-0.0405684049332476	-0.0226084298782248	-0.0182325529762784	0.0968113154046811	-0.0120683398893026	-0.00827836084815142	-0.00395601246924218	0.0232542956369751	0.0198956584379683	0.0793733639816017	0.0417020692943439	0.0920812490584331	-0.0250957275018771
LV3003047112	-0.030144775975999	-0.0337698755782258	-0.0361057072286525	-0.0295700521573517	-0.020848458269068	-0.0155608621414072	-0.0219433638502966	-0.0054942504095104	-0.0244912674196972	0.0670377529101594	0.0537386165630275	0.0257198001796033	0.076376666853131	0.0444414658400211	-0.0321187709063487
LV3003047095	-0.030144775975999	-0.0189902671209336	-0.0405684049332476	-0.0291173645656439	-0.0232725826557913	-0.0300879837853137	-0.0509558191928741	-0.0363345153241307	-0.0292331815873052	0.0627101759360087	0.0596796336005118	-0.0608092781859789	0.0249979581955196	0.0185374431804786	-0.0261524553042506
LV3003047082	-0.0225985621421666	-0.0421768022941785	-0.0405684049332476	-0.0279608351255807	-0.0283090179994706	-0.030028506668234	-0.0554484651705795	-0.0389069812335343	-0.0373317528675641	0.0384875433630831	0.0669489306431646	-0.0523141139349141	0.0393653891980353	-0.0286203421211529	-0.0257942755545699
LV3003047067	-0.0266476302030869	0.00252584742977195	-0.0373649620066422	-0.0158488092056356	-0.00216274099805393	0.0228456230270683	0.0104017218029091	-0.012719150195883	-0.0268821720938351	0.0635746957514006	0.0470378594621173	0.0243547352144658	0.0713257739223716	0.0854923449884151	-0.0304497566916927
LV3003047164	-0.030144775975999	-0.059489226896837	-0.0405684049332476	-0.0305514287207471	-0.0283090179994706	0.0139952026856053	-0.0607116061711033	-0.0447867052695893	-0.0314757247952568	0.039845774752851	0.061061043218201	-0.0265126239993632	0.00104566898269982	-0.00650389632953248	-0.0260750058531351
LV3003047152	-0.030144775975999	-0.00541171835500186	-0.0263182686370112	-0.0270207519481823	-0.0250712080000294	0.0035639586824167	-0.0552633991163056	-0.0363138061395097	-0.0326141806864617	0.0607676931945975	0.0482970116112807	-0.019016855809914	0.0754035980566496	0.0372087433453827	-0.0265249795528161
LV3003047140	-0.030144775975999	-0.0681112431384553	-0.0405684049332476	-0.0361069409406146	-0.0283090179994706	-0.044320781287413	-0.0653174018529304	-0.0548312395262192	-0.0382562334269976	-0.14286349768742	-0.0690151007485638	-0.0725085455865599	-0.104986926229384	-0.0883684457396223	-0.0342165004426363
LV3003047127	-0.030144775975999	-0.0681112431384553	-0.0405684049332476	-0.0257300049136262	-0.0215167775380341	-0.0447792662954854	-0.0653174018529304	-0.0548312395262192	-0.0350728814959426	-0.0630483549764575	0.0355252921639535	-0.0754408313624073	-0.0926007085804804	-0.110849900319127	-0.0187680486023258
