state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance
5	IG-C	yellow	MII	13	13	-2.95589470316684	-2.93393535185108	0.141733593618561	0.20211713284841	0.0479494731211881	2.98366458633958	2.74079292295608	3.12100014940514	0.0226467423624946
1	G-A	blue	SRPI	66	66	-4.19423901162743	-1.8549173474627	3.99595440575148	8.2286211939923	0.952724533502678	-2.30325257974077	-0.676234102524535	2.7484690126835	0.00292340260748472
1	G-A	brown	SRPI	60	60	-1.47007717742227	-0.413204457867441	2.88082766947463	1.06466243743024	1.95964382939818	0.367488734904127	0.89652701041347	1.80191309415242	0.00167454912824539
1	G-A	green	SRPI	67	67	-3.6866422501473	-1.73652096842572	3.5387801387796	7.90100898912784	0.95989247088952	-1.71296129489444	-0.679148169188555	2.25760827966562	0.00729897573293151
1	G-A	grey	SRPI	75	75	-0.557315095989593	-0.50348678746612	0.231054594746395	0.256972460368316	0.414585207558616	1.36599742210047	1.12529504326819	1.37028122679793	0.264992591477075
1	G-A	turquoise	SRPI	75	75	-0.885579603855127	-0.897357268731065	0.11463947926082	0.117422039399119	0.129451354527327	1.03773291423494	0.892485321430334	1.09766244216241	0.643992105144893
1	G-A	yellow	SRPI	75	75	-1.06392614873787	-1.04661962214503	0.160986272985848	0.198848517584512	0.151313390667976	0.859386369352196	0.816139119862489	1.03352467853408	0.0805826514594304
2	IG-D	blue	SRPI	14	14	-5.4817870534459	-9.21034037197618	4.47651371058447	8.46240883439362	0.816615761783467	-3.18816626266694	-5.31631552119997	3.95723569773511	0.00188229200204814
2	IG-D	brown	SRPI	18	18	-3.65101100908361	-4.60517018598809	3.67454608700692	4.46020227235554	1.00644618103445	-1.42771054218347	-1.29196443282759	2.89650097821796	0.00564892514845446
2	IG-D	green	SRPI	26	26	-4.86440770879289	-2.54548477175578	3.8571709086627	7.56185994873863	0.79293742210187	-2.6634427399347	-1.38180911893823	3.32220867987121	0.015747604135016
2	IG-D	grey	SRPI	51	51	-0.325224740221378	-0.326458661682434	0.275857613175608	0.225402314775914	0.848206114294484	1.42369216100683	1.40251950812601	1.44905202656081	0.470146461803202
2	IG-D	turquoise	SRPI	51	51	-0.81876820894536	-0.794757376057056	0.240479580457886	0.377721617423772	0.293708986048253	0.930148692282846	0.662087295372858	1.09117796530468	0.483202554193621
2	IG-D	yellow	SRPI	47	47	-1.36197624412727	-1.06277139142793	1.74274222005362	0.625031617302863	1.2795687351877	0.415675428875924	0.391104529602047	1.21622906355806	0.0391857390627829
3	IG-A	blue	SRPI	31	31	-2.56762317455419	-1.5736155264403	2.64001023600822	0.76483438805295	1.02819224494132	-1.27819011068303	-0.543486709300013	1.33413197573662	0.0126907272325412
3	IG-A	brown	SRPI	32	32	-0.71522215897519	-0.743280604702628	0.266297302024876	0.309278701618238	0.372328092304134	0.559183982232555	0.401214872522686	0.577843784267233	0.044409691195722
3	IG-A	green	SRPI	30	30	-2.02981837766528	-1.54569563031351	1.98702099116351	0.302973457883045	0.978915657197371	-0.775395701801788	-0.480958710742512	0.971245859665239	0.0068277564500307
3	IG-A	grey	SRPI	32	32	-0.522336286646728	-0.598152775658696	0.294559611289756	0.406357668186628	0.563927145825455	0.752069854561017	0.432803569512857	0.752069854561017	0.287632889784009
