sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	state	label
LV3003047160	ST8	55.8911266666667	4.34564506666667	6.67190717786631	2.73865492633375	-0.357149754687216	0.79894716360989	5	IG-C
LV3003047124	ST8	74.227	4.01184	8.74840765343023	2.04538026506216	-0.302246120009537	0.418291089335506	5	IG-C
LV3003047123	ST8	75.589	4.01479	7.91867251010661	2.38078351342507	-0.309413167704617	0.60665082820957	5	IG-C
LV3003047122	ST8	76.951	4.07902	8.14654944891421	2.01366611977631	-0.306726863570841	0.399363629024775	5	IG-C
LV3003047105	ST8	82.4525	3.813575	7.94999819731899	2.16974712639792	-0.236942531047015	0.525481707955701	5	IG-C
LV3003047104	ST8	83.84125	3.8215875	8.14686985631632	2.07120788525959	-0.228132186815225	0.472937731174286	5	IG-C
LV3003047090	ST8	90.757	4.03729	7.7156112078995	1.98242523172154	-0.10816063728951	0.506546966362275	5	IG-C
LV3003047088	ST8	93.52	3.8688	6.98472526975806	2.19363958741502	-0.0126832540432364	0.70964249771418	5	IG-C
LV3003047087	ST8	94.9015	3.776895	6.61928230068734	1.93534408009452	-0.17842548039144	0.440455124031731	5	IG-C
LV3003047064	ST8	96.283	3.77264	6.64358420103273	2.82928315771552	-0.351261543209519	0.851537696928774	5	IG-C
LV3003047078	ST8	98.757	3.80916	7.06589542613573	2.66893256157998	-0.338500335621674	0.76350754266569	5	IG-C
LV3003047077	ST8	99.7145	3.801435	7.22934045363618	2.12041168583093	-0.318813415886459	0.457187682265336	5	IG-C
LV3003047074	ST8	100.672	3.88392	7.39278548113664	2.83391140980097	-0.351916360340608	0.854016501859115	5	IG-C
LV3003047073	ST8	101.685	3.8789	7.56570434574025	2.8733731147796	-0.357499504898188	0.87515145022723	5	IG-C
LV3003047162	ST8	102.698	3.87396	7.78994871915485	2.68611306437412	-0.331005466390735	0.774858482681245	5	IG-C
LV3003047063	ST8	103.695	3.9078	8.08727062917724	2.57444923846985	-0.349095384486203	0.707714919556237	5	IG-C
LV3003047062	ST8	104.692	3.87156	8.38459253919963	2.19902784717762	-0.317933426998588	0.50189222328006	5	IG-C
LV3003047061	ST8	105.689	3.95335	8.70043106924403	2.13818583641668	-0.296154260437938	0.472158574224442	5	IG-C
LV3003047060	ST8	106.686	4.02744	9.16482148751936	1.70192551090376	-0.129971729249668	0.331724231342093	5	IG-C
LV3003047059	ST8	107.683	4.08781	9.62921190579469	1.83371587424161	-0.281970017766112	0.302833425293979	5	IG-C
LV3003061546	ST13	7.197	3.37985	6.14534613060279	1.5373483770357	-0.559592815241385	-0.17360308782968	5	IG-C
LV3003061486	ST13	52.105	4.32365	7.61349281773178	1.77183670659177	-0.454562879260195	-0.163453495830965	5	IG-C
LV3003061473	ST13	117.088	3.5312	13.8380743760062	3.07917103093117	-0.345468666866878	0.679959074435032	5	IG-C
LV3003061568	ST13	121.6354	3.209168	15.0912241071525	4.13217586001295	-0.549970196853212	1.15235545221661	5	IG-C
LV3003061555	ST13	126.443	3.25303	13.9174660887275	3.65069264483208	-0.529439732862176	0.88417627132555	5	IG-C
LV3003061527	ST13	133.7754	4.634866	11.4223768846317	4.16270710531847	-0.554939391609117	1.1685667533222	5	IG-C
LV7008886690	GeoB25202_R1	2.324	3.21564	6.90941715213889	1.70697261086701	-0.505689266868807	0.224506538224302	5	IG-C
LV7008886741	GeoB25202_R1	58.997	4.43018	9.918947659625	2.56068651489955	-0.587950475984655	0.636817739119225	5	IG-C
LV7008886705	GeoB25202_R1	59.738	4.55546	7.834293148625	1.81403236768514	-0.410133785341736	0.291858719715269	5	IG-C
LV7008886781	GeoB25202_R1	120.0235	3.269765	15.13774048625	2.70291743466441	-0.589850580707872	0.716940150101903	5	IG-C
LV7008886757	GeoB25202_R1	123.1195	3.120315	15.0483957938462	2.56102408578508	-0.59093833519271	0.636361859100387	5	IG-C
LV7008886753	GeoB25202_R2	58.997	4.43018	9.918947659625	1.41968575799486	-0.302791057620261	0.10214326803665	5	IG-C
LV7008886228	GeoB25202_R2	120.0235	3.269765	15.13774048625	3.21867844344608	-0.674604883442571	0.916803159803008	5	IG-C
LV7008886769	GeoB25202_R2	123.1195	3.120315	15.0483957938462	2.64980429318324	-0.643123393001905	0.601512991875739	5	IG-C
LV7008886745	GeoB25202_R2	136.2775	4.81445	10.5709554267778	1.47507705424928	-0.54037776068989	-0.0228433534141004	5	IG-C
