sample	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV3003061505	-0.0298954588238713	-0.0422150695519834	0.0376540301224091	-0.0256806494885207	0.0396423792271425	-0.0213885595213287	0.0100705092606621	-0.0281663615114951	-0.0284980382836856
LV3003061488	-0.0228516138370537	0.000867758420615543	0.161569836277041	-0.0114355684804115	0.0730544803117601	0.0894327492104764	0.143841858296032	0.00051039023874832	-0.0248597180387234
LV3003061476	-0.0210999006632307	0.0324162746378828	0.0621920403862648	-0.0253110365287402	0.0497859421211233	0.0198071042361197	0.0409376079659521	-0.0257489556522952	-0.0231490414556983
LV3003061571	-0.0298954588238713	-0.0542610959246351	0.0501398033307331	-0.00837108881075401	0.0387841974587562	-0.0210818588740812	0.0286007962900439	-0.0269149885782329	-0.0103328512208109
LV3003061558	-0.0298954588238713	-0.000819909802411305	0.0809130911490309	-0.0240348004472831	0.0569905806197743	0.00354976191840456	0.0487172467689441	-0.0220486696879331	-0.0253500690234784
LV3003061544	-0.027471143041722	-0.00499452560038609	0.000805093105930169	-0.0293538882898676	0.0469983790996827	-0.0205289296722822	0.00990717333545529	-0.0291362375780383	-0.0241732892680561
LV3003061530	-0.0251819466198255	-0.0249587709478861	-0.0284567945304834	-0.033329110812266	0.0150415472944764	-0.0399949901364106	-0.043858547585453	-0.0325307865357179	-0.0231607929135056
LV3003061516	-0.0212791815158588	-0.0355073457687303	-0.0188566262630975	-0.031352150075157	0.0302618746025979	-0.0478407510650272	-0.0173497767162003	-0.0325307865357179	-0.0280458838455724
LV3003061504	-0.0240283245978659	-0.0352700153175557	-0.0151210951356182	-0.0324860957211227	0.0264912181689337	-0.0411378538801165	-0.0254767128642383	-0.0289241866525762	-0.0288596640819686
LV3003061486	-0.0298954588238713	-0.0541522270876469	-0.0433832494660147	-0.0314165365629115	-0.0239402609874283	-0.0554142910747356	-0.0555178439543916	-0.0325307865357179	-0.0180764814530219
LV3003061475	-0.0298954588238713	-0.0282317333337749	-0.0412539252674253	-0.0281783463649701	0.0246424050306177	-0.0423463920868246	-0.0301299647791748	-0.0309471640901312	-0.0111557662790286
LV3003061570	-0.011878681784989	0.0594394269365156	-0.0164572842819707	-0.0316101832710992	0.0495046477002798	-0.00813144065173975	-0.0112225692501435	-0.0234565523318744	-0.020967991920215
LV3003061557	-0.00459544656442651	0.106477817286385	-0.0327990774258935	-0.0307795064284536	0.0238550634381846	0.0244382202249151	-0.0257294329734719	-0.0306336489200709	-0.0243592337580109
LV3003061543	0.01270485062424	0.11343288425369	0.0062435608699147	-0.024662641904328	0.073910475098584	0.0928561911317122	0.0770620720708248	0.0156972046710315	-0.0231323424715874
LV3003061529	0.053920838954189	0.108369809157647	-0.0354260781016813	0.00447986201050473	0.0824500054027512	0.105748143473394	0.10794030168187	0.0587238266230251	-0.00909658582335686
LV3003061515	0.293098434850644	0.241552005334052	0.0285147572786522	-0.0146552447825894	0.0961669636729859	0.185380183834659	0.0965844421486317	0.0756456517141083	-0.00201784254032603
LV3003061503	-0.0126301207828151	0.139102325668645	0.00141858057003263	-0.0246651039093788	0.0778911137294761	0.121446279901872	0.0332998479546298	-0.00553615396788405	0.00417388671414702
